"","depth","richness","x_exact","y_exact","y_exact_abs","ocean"
"1",143,28,-87.5,23.5,23.5,"atlantic"
"2",107,26,-88.5,23.5,23.5,"atlantic"
"3",97,26,-79.5,23.5,23.5,"atlantic"
"4",121,25,-71.5,21.5,21.5,"atlantic"
"5",83,25,-81.5,24.5,24.5,"atlantic"
"6",202,24,-84.5,26.5,26.5,"atlantic"
"7",71,23,-83.5,25.5,25.5,"atlantic"
"8",133,22,-84.5,27.5,27.5,"atlantic"
"9",303,21,-83.5,24.5,24.5,"atlantic"
"10",150,21,-65.5,18.5,18.5,"atlantic"
"11",137,21,-81.5,16.5,16.5,"atlantic"
"12",414,20,-84.5,25.5,25.5,"atlantic"
"13",95,20,-66.5,18.5,18.5,"atlantic"
"14",83,19,-70.5,12.5,12.5,"atlantic"
"15",58,19,-83.5,26.5,26.5,"atlantic"
"16",57,19,-86.5,21.5,21.5,"atlantic"
"17",368,18,-80.5,24.5,24.5,"atlantic"
"18",211,18,-86.5,29.5,29.5,"atlantic"
"19",203,18,-85.5,28.5,28.5,"atlantic"
"20",47,18,-87.5,22.5,22.5,"atlantic"
"21",497,16,-71.5,17.5,17.5,"atlantic"
"22",483,16,-86.5,22.5,22.5,"atlantic"
"23",41,16,-71.5,12.5,12.5,"atlantic"
"24",358,15,-75.5,24.5,24.5,"atlantic"
"25",95,15,-62.5,11.5,11.5,"atlantic"
"26",71,15,-87.5,29.5,29.5,"atlantic"
"27",54,15,-88.5,22.5,22.5,"atlantic"
"28",47,15,-91.5,28.5,28.5,"atlantic"
"29",34,15,-82.5,16.5,16.5,"atlantic"
"30",33,15,-82.5,25.5,25.5,"atlantic"
"31",28,15,-80.5,16.5,16.5,"atlantic"
"32",560,14,-86.5,28.5,28.5,"atlantic"
"33",533,14,-78.5,17.5,17.5,"atlantic"
"34",477,14,-89.5,28.5,28.5,"atlantic"
"35",256,14,-89.5,23.5,23.5,"atlantic"
"36",52,14,-63.5,11.5,11.5,"atlantic"
"37",49,14,-84.5,28.5,28.5,"atlantic"
"38",42,14,-83.5,27.5,27.5,"atlantic"
"39",24,14,-77.5,18.5,18.5,"atlantic"
"40",24,14,-75.5,23.5,23.5,"atlantic"
"41",943,13,-78.5,28.5,28.5,"atlantic"
"42",498,13,-68.5,11.5,11.5,"atlantic"
"43",230,13,-61.5,11.5,11.5,"atlantic"
"44",49,13,-92.5,28.5,28.5,"atlantic"
"45",40,13,-90.5,28.5,28.5,"atlantic"
"46",36,13,-90.5,22.5,22.5,"atlantic"
"47",928,12,-77.5,29.5,29.5,"atlantic"
"48",842,12,-78.5,29.5,29.5,"atlantic"
"49",808,12,-79.5,30.5,30.5,"atlantic"
"50",800,12,-79.5,29.5,29.5,"atlantic"
"51",790,12,-79.5,28.5,28.5,"atlantic"
"52",713,12,-61.5,15.5,15.5,"atlantic"
"53",707,12,-79.5,24.5,24.5,"atlantic"
"54",693,12,-78.5,26.5,26.5,"atlantic"
"55",583,12,-93.5,27.5,27.5,"atlantic"
"56",380,12,-73.5,11.5,11.5,"atlantic"
"57",33,12,-89.5,22.5,22.5,"atlantic"
"58",20,12,-82.5,26.5,26.5,"atlantic"
"59",1131,11,-77.5,28.5,28.5,"atlantic"
"60",860,11,-79.5,25.5,25.5,"atlantic"
"61",840,11,-78.5,30.5,30.5,"atlantic"
"62",760,11,-79.5,26.5,26.5,"atlantic"
"63",720,11,-79.5,27.5,27.5,"atlantic"
"64",706,11,-78.5,27.5,27.5,"atlantic"
"65",581,11,-62.5,17.5,17.5,"atlantic"
"66",77,11,-96.5,27.5,27.5,"atlantic"
"67",75,11,-60.5,10.5,10.5,"atlantic"
"68",43,11,-93.5,28.5,28.5,"atlantic"
"69",29,11,-80.5,29.5,29.5,"atlantic"
"70",28,11,-63.5,17.5,17.5,"atlantic"
"71",1157,10,-75.5,18.5,18.5,"atlantic"
"72",1130,10,-77.5,30.5,30.5,"atlantic"
"73",1067,10,-85.5,23.5,23.5,"atlantic"
"74",990,10,-80.5,23.5,23.5,"atlantic"
"75",898,10,-77.5,31.5,31.5,"atlantic"
"76",870,10,-74.5,20.5,20.5,"atlantic"
"77",843,10,-62.5,16.5,16.5,"atlantic"
"78",823,10,-63.5,18.5,18.5,"atlantic"
"79",303,10,-59.5,9.5,9.5,"atlantic"
"80",52,10,-60.5,9.5,9.5,"atlantic"
"81",34,10,-58.5,8.5,8.5,"atlantic"
"82",33,10,-80.5,30.5,30.5,"atlantic"
"83",24,10,-84.5,29.5,29.5,"atlantic"
"84",23,10,-83.5,28.5,28.5,"atlantic"
"85",18,10,-84.5,22.5,22.5,"atlantic"
"86",18,10,-78.5,25.5,25.5,"atlantic"
"87",1161,9,-77.5,17.5,17.5,"atlantic"
"88",1160,9,-86.5,23.5,23.5,"atlantic"
"89",1151,9,-63.5,13.5,13.5,"atlantic"
"90",986,9,-91.5,27.5,27.5,"atlantic"
"91",710,9,-94.5,27.5,27.5,"atlantic"
"92",617,9,-78.5,31.5,31.5,"atlantic"
"93",605,9,-72.5,12.5,12.5,"atlantic"
"94",518,9,-65.5,10.5,10.5,"atlantic"
"95",126,9,-51.5,5.5,5.5,"atlantic"
"96",123,9,-87.5,18.5,18.5,"atlantic"
"97",50,9,-88.5,29.5,29.5,"atlantic"
"98",16,9,-82.5,24.5,24.5,"atlantic"
"99",1264,8,-79.5,16.5,16.5,"atlantic"
"100",1250,8,-78.5,16.5,16.5,"atlantic"
"101",1184,8,-63.5,12.5,12.5,"atlantic"
"102",1098,8,-90.5,27.5,27.5,"atlantic"
"103",928,8,-92.5,27.5,27.5,"atlantic"
"104",815,8,-64.5,11.5,11.5,"atlantic"
"105",697,8,-95.5,27.5,27.5,"atlantic"
"106",440,8,-53.5,7.5,7.5,"atlantic"
"107",273,8,-56.5,7.5,7.5,"atlantic"
"108",261,8,-52.5,6.5,6.5,"atlantic"
"109",65,8,-87.5,17.5,17.5,"atlantic"
"110",48,8,-57.5,7.5,7.5,"atlantic"
"111",23,8,-59.5,8.5,8.5,"atlantic"
"112",1565,7,-25.5,37.5,37.5,"atlantic"
"113",1441,7,-77.5,27.5,27.5,"atlantic"
"114",1264,7,-80.5,15.5,15.5,"atlantic"
"115",1159,7,-51.5,35.5,35.5,"atlantic"
"116",1135,7,-65.5,11.5,11.5,"atlantic"
"117",1010,7,-83.5,16.5,16.5,"atlantic"
"118",806,7,-80.5,13.5,13.5,"atlantic"
"119",708,7,-81.5,14.5,14.5,"atlantic"
"120",487,7,-4.5,35.5,35.5,"atlantic"
"121",380,7,-54.5,7.5,7.5,"atlantic"
"122",313,7,-6.5,35.5,35.5,"atlantic"
"123",288,7,-4.5,36.5,36.5,"atlantic"
"124",257,7,-9.5,38.5,38.5,"atlantic"
"125",228,7,-2.5,35.5,35.5,"atlantic"
"126",158,7,-9.5,39.5,39.5,"atlantic"
"127",151,7,-15.5,25.5,25.5,"atlantic"
"128",136,7,-9.5,40.5,40.5,"atlantic"
"129",76,7,-49.5,3.5,3.5,"atlantic"
"130",65,7,-50.5,4.5,4.5,"atlantic"
"131",39,7,-53.5,6.5,6.5,"atlantic"
"132",38,7,-54.5,6.5,6.5,"atlantic"
"133",37,7,-56.5,6.5,6.5,"atlantic"
"134",36,7,-52.5,5.5,5.5,"atlantic"
"135",35,7,-55.5,6.5,6.5,"atlantic"
"136",26,7,-90.5,21.5,21.5,"atlantic"
"137",14,7,-61.5,12.5,12.5,"atlantic"
"138",1819,6,-19.5,25.5,25.5,"atlantic"
"139",1662,6,-24.5,37.5,37.5,"atlantic"
"140",1466,6,-85.5,27.5,27.5,"atlantic"
"141",1459,6,-17.5,23.5,23.5,"atlantic"
"142",1409,6,-9.5,33.5,33.5,"atlantic"
"143",1408,6,-7.5,35.5,35.5,"atlantic"
"144",1391,6,-30.5,34.5,34.5,"atlantic"
"145",1368,6,-81.5,23.5,23.5,"atlantic"
"146",1348,6,-9.5,42.5,42.5,"atlantic"
