"","target_fid","rich_1d_geog","x.x","y.x","depth.x","rich_2d","x.y","y.y","depth.y"
"1",129,1,20.5,-67.5,4033.75,1,20.5,-67.5,4033.75
"2",130,1,21.5,-67.5,4368.5,1,21.5,-67.5,4368.5
"3",131,1,22.5,-67.5,4381.25,1,22.5,-67.5,4381.25
"4",132,1,23.5,-67.5,4328,1,23.5,-67.5,4328
"5",133,1,24.5,-67.5,4362.5,1,24.5,-67.5,4362.5
"6",134,1,25.5,-67.5,4183.5,1,25.5,-67.5,4183.5
"7",135,1,26.5,-67.5,4004,1,26.5,-67.5,4004
"8",136,1,27.5,-67.5,3883.5,1,27.5,-67.5,3883.5
"9",137,1,28.5,-67.5,3876.5,1,28.5,-67.5,3876.5
"10",138,1,29.5,-67.5,3851.5,1,29.5,-67.5,3851.5
"11",139,1,30.5,-67.5,3618.75,1,30.5,-67.5,3618.75
"12",140,1,31.5,-67.5,2862.00024414,1,31.5,-67.5,2862.00024414
"13",141,1,32.5,-67.5,962.25,1,32.5,-67.5,962.25
"14",142,1,33.5,-67.5,1164.75,1,33.5,-67.5,1164.75
"15",143,1,34.5,-67.5,2555.99975586,1,34.5,-67.5,2555.99975586
"16",144,1,35.5,-67.5,2965.25,1,35.5,-67.5,2965.25
"17",145,1,36.5,-67.5,3285.75,1,36.5,-67.5,3285.75
"18",146,1,37.5,-67.5,3358.25,1,37.5,-67.5,3358.25
"19",147,1,38.5,-67.5,3713,1,38.5,-67.5,3713
"20",259,1,21.5,-66.5,4333.75,1,21.5,-66.5,4333.75
"21",260,1,22.5,-66.5,4584,1,22.5,-66.5,4584
"22",261,1,23.5,-66.5,4593,1,23.5,-66.5,4593
"23",262,1,24.5,-66.5,4576,1,24.5,-66.5,4576
"24",263,1,25.5,-66.5,4505,1,25.5,-66.5,4505
"25",264,1,26.5,-66.5,4452,1,26.5,-66.5,4452
"26",265,1,27.5,-66.5,4632.25,1,27.5,-66.5,4632.25
"27",266,1,28.5,-66.5,4409,1,28.5,-66.5,4409
"28",267,1,29.5,-66.5,4366.75,1,29.5,-66.5,4366.75
"29",268,1,30.5,-66.5,4278,1,30.5,-66.5,4278
"30",269,1,31.5,-66.5,4191.25,1,31.5,-66.5,4191.25
"31",270,1,32.5,-66.5,3570.25,1,32.5,-66.5,3570.25
