target_fid,rich_2d,x,y,depth
129,1,20.5,-67.5,4033.75
130,1,21.5,-67.5,4368.5
131,1,22.5,-67.5,4381.25
132,1,23.5,-67.5,4328
133,1,24.5,-67.5,4362.5
134,1,25.5,-67.5,4183.5
135,1,26.5,-67.5,4004
136,1,27.5,-67.5,3883.5
137,1,28.5,-67.5,3876.5
138,1,29.5,-67.5,3851.5
139,1,30.5,-67.5,3618.75
140,1,31.5,-67.5,2862.000244
141,1,32.5,-67.5,962.25
142,1,33.5,-67.5,1164.75
143,1,34.5,-67.5,2555.999756
144,1,35.5,-67.5,2965.25
145,1,36.5,-67.5,3285.75
146,1,37.5,-67.5,3358.25
147,1,38.5,-67.5,3713
259,1,21.5,-66.5,4333.75
260,1,22.5,-66.5,4584
261,1,23.5,-66.5,4593
262,1,24.5,-66.5,4576
263,1,25.5,-66.5,4505
264,1,26.5,-66.5,4452
265,1,27.5,-66.5,4632.25
266,1,28.5,-66.5,4409
267,1,29.5,-66.5,4366.75
268,1,30.5,-66.5,4278
269,1,31.5,-66.5,4191.25
270,1,32.5,-66.5,3570.25
271,1,33.5,-66.5,1259.25
272,1,34.5,-66.5,3558.25
273,1,35.5,-66.5,4121.5
274,1,36.5,-66.5,4272.25
275,1,37.5,-66.5,4686
276,1,38.5,-66.5,4341.25
277,1,39.5,-66.5,4385
278,1,40.5,-66.5,4497.25
279,1,41.5,-66.5,4115
280,1,42.5,-66.5,3549.5
281,1,43.5,-66.5,2929.750244
282,1,44.5,-66.5,2618.25
283,1,45.5,-66.5,2486.75
284,1,46.5,-66.5,2082
285,1,47.5,-66.5,775.25
286,1,48.5,-66.5,469.999939
287,1,49.5,-66.5,480.5000305
297,1,59.5,-66.5,2088.75
298,1,60.5,-66.5,2062.5
299,1,61.5,-66.5,1721.25
300,1,62.5,-66.5,2160.249756
301,1,63.5,-66.5,2518.5
302,1,64.5,-66.5,2882.25
303,1,65.5,-66.5,2353.5
304,1,66.5,-66.5,2240.75
305,1,67.5,-66.5,2529.75
306,1,68.5,-66.5,1963
388,1,21.5,-65.5,4798.75
389,1,22.5,-65.5,4638
390,1,23.5,-65.5,4726
391,1,24.5,-65.5,4815
392,1,25.5,-65.5,4805.75
393,1,26.5,-65.5,4821.5
394,1,27.5,-65.5,4854.75
395,1,28.5,-65.5,4943.5
396,1,29.5,-65.5,4823.25
397,1,30.5,-65.5,4850.25
398,1,31.5,-65.5,4615.25
399,1,32.5,-65.5,3851
400,1,33.5,-65.5,3425
401,1,34.5,-65.5,2440.499756
402,1,35.5,-65.5,4567.75
403,1,36.5,-65.5,4819.75
404,1,37.5,-65.5,4865.5
405,1,38.5,-65.5,4740.25
406,1,39.5,-65.5,4557.5
407,1,40.5,-65.5,4722.75
408,1,41.5,-65.5,4584.75
409,1,42.5,-65.5,4171.75
410,1,43.5,-65.5,3906.25
411,1,44.5,-65.5,3767.25
412,1,45.5,-65.5,3236.25
413,1,46.5,-65.5,3008
414,1,47.5,-65.5,2574
415,1,48.5,-65.5,1609.5
416,1,49.5,-65.5,2301.75
417,1,50.5,-65.5,2394.5
418,1,51.5,-65.5,2090.25
419,1,52.5,-65.5,1989.75
422,1,55.5,-65.5,2350.5
423,1,56.5,-65.5,2476.750244
424,1,57.5,-65.5,3007
425,1,58.5,-65.5,3532
426,1,59.5,-65.5,3510.25
427,1,60.5,-65.5,3753.25
428,1,61.5,-65.5,3876.75
429,1,62.5,-65.5,3892
430,1,63.5,-65.5,3358.25
431,1,64.5,-65.5,2846.75
432,1,65.5,-65.5,2761.5
433,1,66.5,-65.5,3253.75
434,1,67.5,-65.5,2998.25
435,1,68.5,-65.5,2683.25
436,1,69.5,-65.5,2417.5
437,1,70.5,-65.5,2837.75
438,1,71.5,-65.5,2965.25
439,1,72.5,-65.5,2860.75
440,1,73.5,-65.5,3009.5
441,1,74.5,-65.5,2919.25
442,1,75.5,-65.5,3285
443,1,76.5,-65.5,3381.5
444,1,77.5,-65.5,3258.75
445,1,78.5,-65.5,3284.25
446,1,79.5,-65.5,3423.75
447,1,80.5,-65.5,2942.5
448,1,81.5,-65.5,1701.749878
449,1,82.5,-65.5,2657.499756
450,1,83.5,-65.5,2555
451,1,84.5,-65.5,2672.5
452,1,85.5,-65.5,2922.25
453,1,86.5,-65.5,2337
454,1,87.5,-65.5,2995.25
455,1,88.5,-65.5,3004.75
456,1,89.5,-65.5,2896
457,1,90.5,-65.5,1660.500122
459,1,92.5,-65.5,482.249939
461,1,94.5,-65.5,742.750061
517,1,21.5,-64.5,4898
518,1,22.5,-64.5,4881.75
519,1,23.5,-64.5,4833.5
520,1,24.5,-64.5,4912
521,1,25.5,-64.5,4966
522,1,26.5,-64.5,5045.5
523,1,27.5,-64.5,5051.5
524,1,28.5,-64.5,5092
525,1,29.5,-64.5,5057
526,1,30.5,-64.5,5023.25
527,1,31.5,-64.5,4736.5
528,1,32.5,-64.5,4648.75
529,1,33.5,-64.5,3923
530,1,34.5,-64.5,4927.75
531,1,35.5,-64.5,4937.75
532,1,36.5,-64.5,4961.75
533,1,37.5,-64.5,4872.25
534,1,38.5,-64.5,4900.25
535,1,39.5,-64.5,4790
536,1,40.5,-64.5,4549.75
537,1,41.5,-64.5,4220.25
538,1,42.5,-64.5,4661.75
539,1,43.5,-64.5,4539.75
540,1,44.5,-64.5,4160.5
541,1,45.5,-64.5,3954.25
542,1,46.5,-64.5,3967.75
543,1,47.5,-64.5,2897
544,1,48.5,-64.5,3971
545,1,49.5,-64.5,3513.75
546,1,50.5,-64.5,3535.25
547,1,51.5,-64.5,2891.5
548,1,52.5,-64.5,3955.999756
549,1,53.5,-64.5,3441.5
550,1,54.5,-64.5,3883
551,1,55.5,-64.5,4031.5
552,1,56.5,-64.5,4063
553,1,57.5,-64.5,3988
554,1,58.5,-64.5,3978
555,1,59.5,-64.5,4093.5
556,1,60.5,-64.5,4234.5
557,1,61.5,-64.5,3932
558,1,62.5,-64.5,3597.75
559,1,63.5,-64.5,3705.5
560,1,64.5,-64.5,3905.5
561,1,65.5,-64.5,3775.75
562,1,66.5,-64.5,3497
563,1,67.5,-64.5,3374
564,1,68.5,-64.5,3190
565,1,69.5,-64.5,3131
566,1,70.5,-64.5,3295
567,1,71.5,-64.5,3312
568,1,72.5,-64.5,3538.75
569,1,73.5,-64.5,3616.75
570,1,74.5,-64.5,3455
571,1,75.5,-64.5,3430.75
572,1,76.5,-64.5,3478
573,1,77.5,-64.5,3560.75
574,1,78.5,-64.5,3589.75
575,1,79.5,-64.5,3585
576,1,80.5,-64.5,3541
577,1,81.5,-64.5,3579.75
578,1,82.5,-64.5,3538.75
579,1,83.5,-64.5,3517.75
580,1,84.5,-64.5,3570.75
581,1,85.5,-64.5,3523
582,1,86.5,-64.5,3507.75
583,1,87.5,-64.5,3387
584,1,88.5,-64.5,3672
585,1,89.5,-64.5,3721
586,1,90.5,-64.5,3460.5
587,1,91.5,-64.5,3000
588,1,92.5,-64.5,2977.75
589,1,93.5,-64.5,2731.5
590,1,94.5,-64.5,2115.75
595,1,99.5,-64.5,626.5
598,1,102.5,-64.5,1551.75
599,1,103.5,-64.5,822.250061
600,1,104.5,-64.5,2072.749512
601,1,105.5,-64.5,2005.250122
602,1,106.5,-64.5,2619.25
603,1,107.5,-64.5,3216.75
604,1,108.5,-64.5,2988.75
