rich_geog,x_exact,y_exact,depth_geog
NA,20.5,-68.5,3584.75
NA,21.5,-68.5,3723.25
NA,22.5,-68.5,3578.5
NA,23.5,-68.5,3379.25
NA,24.5,-68.5,3713.25
NA,25.5,-68.5,3653.25
NA,26.5,-68.5,3439.75
NA,27.5,-68.5,3453
NA,28.5,-68.5,3254
NA,29.5,-68.5,3248.25
NA,30.5,-68.5,2721.250244
NA,31.5,-68.5,396.25
NA,32.5,-68.5,276.5
NA,33.5,-68.5,250.5000153
NA,34.5,-68.5,199.000061
NA,35.5,-68.5,40.00000381
NA,36.5,-68.5,1415.749756
NA,37.5,-68.5,1333.250122
NA,38.5,-68.5,215.7501221
NA,39.5,-68.5,276.2500305
NA,40.5,-68.5,363.5000305
NA,41.5,-68.5,57.75007248
NA,42.5,-68.5,0
NA,43.5,-68.5,0
NA,44.5,-68.5,0
NA,45.5,-68.5,0
NA,46.5,-68.5,0
NA,47.5,-68.5,0
NA,48.5,-68.5,0
NA,49.5,-68.5,0
NA,50.5,-68.5,0
NA,51.5,-68.5,0
NA,52.5,-68.5,0
NA,53.5,-68.5,0
NA,54.5,-68.5,0
NA,55.5,-68.5,0
NA,56.5,-68.5,0
NA,57.5,-68.5,0
NA,58.5,-68.5,0
NA,59.5,-68.5,0
NA,60.5,-68.5,0
NA,61.5,-68.5,0
NA,62.5,-68.5,0
NA,63.5,-68.5,0
NA,64.5,-68.5,0
NA,65.5,-68.5,0
NA,66.5,-68.5,140.4999847
NA,67.5,-68.5,230
NA,68.5,-68.5,144.5
NA,69.5,-68.5,0
NA,70.5,-68.5,979.25
NA,71.5,-68.5,445.5000916
NA,72.5,-68.5,520
NA,73.5,-68.5,690.250061
NA,74.5,-68.5,654.25
NA,75.5,-68.5,821.25
NA,76.5,-68.5,610.749939
NA,77.5,-68.5,402.7501221
NA,78.5,-68.5,57.00000381
NA,79.5,-68.5,0
NA,80.5,-68.5,36.24997711
NA,81.5,-68.5,52.74996948
NA,82.5,-68.5,402.5000305
NA,83.5,-68.5,317
NA,84.5,-68.5,421.9999695
NA,85.5,-68.5,0
NA,86.5,-68.5,0
NA,87.5,-68.5,118.4999924
NA,88.5,-68.5,135
NA,89.5,-68.5,38.24998856
NA,90.5,-68.5,32.50000763
NA,91.5,-68.5,0
NA,92.5,-68.5,0
NA,93.5,-68.5,0
NA,94.5,-68.5,0
NA,95.5,-68.5,0
NA,96.5,-68.5,0
NA,97.5,-68.5,0
NA,98.5,-68.5,231.2500458
NA,99.5,-68.5,1664.5
NA,100.5,-68.5,1012.750061
NA,101.5,-68.5,185.0000153
NA,102.5,-68.5,0
NA,103.5,-68.5,0
NA,104.5,-68.5,503.2499695
NA,105.5,-68.5,959.499939
NA,106.5,-68.5,1227
NA,107.5,-68.5,1008.25
NA,108.5,-68.5,432.75
NA,109.5,-68.5,348.9999695
NA,110.5,-68.5,388
NA,111.5,-68.5,580.25
NA,112.5,-68.5,644.5
NA,113.5,-68.5,527.75
NA,114.5,-68.5,549.5
NA,115.5,-68.5,568
NA,116.5,-68.5,492.25
NA,117.5,-68.5,581
NA,118.5,-68.5,443.0000305
NA,119.5,-68.5,158.75
NA,120.5,-68.5,209.7499847
NA,121.5,-68.5,331
NA,122.5,-68.5,161.2499695
NA,123.5,-68.5,214
NA,124.5,-68.5,74.25001526
NA,125.5,-68.5,0
NA,126.5,-68.5,41.24998474
NA,127.5,-68.5,178.2499847
NA,128.5,-68.5,567.499939
NA,129.5,-68.5,521.250061
NA,130.5,-68.5,211.7500153
NA,131.5,-68.5,117.2500229
NA,132.5,-68.5,0
NA,133.5,-68.5,0
NA,134.5,-68.5,0
NA,135.5,-68.5,0
NA,136.5,-68.5,514.5
NA,137.5,-68.5,617.5001221
NA,138.5,-68.5,131.0000153
NA,139.5,-68.5,0
NA,140.5,-68.5,100.7499771
NA,141.5,-68.5,145.7500153
NA,142.5,-68.5,0
NA,143.5,-68.5,210.2499847
NA,144.5,-68.5,104.7499924
NA,145.5,-68.5,371.9999695
NA,146.5,-68.5,834.5
NA,147.5,-68.5,385.000061
NA,148.5,-68.5,0
1,20.5,-67.5,4033.75
1,21.5,-67.5,4368.5
1,22.5,-67.5,4381.25
1,23.5,-67.5,4328
1,24.5,-67.5,4362.5
1,25.5,-67.5,4183.5
1,26.5,-67.5,4004
1,27.5,-67.5,3883.5
1,28.5,-67.5,3876.5
1,29.5,-67.5,3851.5
1,30.5,-67.5,3618.75
1,31.5,-67.5,2862.000244
1,32.5,-67.5,962.25
1,33.5,-67.5,1164.75
1,34.5,-67.5,2555.999756
1,35.5,-67.5,2965.25
1,36.5,-67.5,3285.75
1,37.5,-67.5,3358.25
1,38.5,-67.5,3713
NA,39.5,-67.5,3274.5
NA,40.5,-67.5,2717.999756
NA,41.5,-67.5,3010
NA,42.5,-67.5,2243.75
NA,43.5,-67.5,380.2501221
NA,44.5,-67.5,224.5
NA,45.5,-67.5,445
NA,46.5,-67.5,303.25
NA,47.5,-67.5,146.7500916
NA,48.5,-67.5,109.2501373
NA,49.5,-67.5,0
NA,50.5,-67.5,0
NA,51.5,-67.5,0
NA,52.5,-67.5,0
NA,53.5,-67.5,0
NA,54.5,-67.5,0
NA,55.5,-67.5,0
NA,56.5,-67.5,0
NA,57.5,-67.5,0
NA,58.5,-67.5,0
NA,59.5,-67.5,396.9999695
NA,60.5,-67.5,46.49998474
NA,61.5,-67.5,85.50004578
NA,62.5,-67.5,275.5
NA,63.5,-67.5,97.99996948
NA,64.5,-67.5,507.7499084
NA,65.5,-67.5,321.5
NA,66.5,-67.5,263.25
NA,67.5,-67.5,358.4999695
NA,68.5,-67.5,247.5
NA,69.5,-67.5,108.0000153
NA,70.5,-67.5,311.7500305
NA,71.5,-67.5,532.75
NA,72.5,-67.5,576.5
NA,73.5,-67.5,564.25
NA,74.5,-67.5,457.0000305
NA,75.5,-67.5,239.75
NA,76.5,-67.5,322.5
NA,77.5,-67.5,281.5000305
NA,78.5,-67.5,103.7499847
NA,79.5,-67.5,536.5
NA,80.5,-67.5,421.7500305
NA,81.5,-67.5,2.500012875
NA,82.5,-67.5,458
NA,83.5,-67.5,441.2500305
NA,84.5,-67.5,548.500061
NA,85.5,-67.5,611.999939
NA,86.5,-67.5,348.2499695
NA,87.5,-67.5,677.5
NA,88.5,-67.5,584
NA,89.5,-67.5,97.25003052
NA,90.5,-67.5,0
NA,91.5,-67.5,0
NA,92.5,-67.5,0
NA,93.5,-67.5,0
NA,94.5,-67.5,0
NA,95.5,-67.5,0
NA,96.5,-67.5,0
NA,97.5,-67.5,0
NA,98.5,-67.5,0
NA,99.5,-67.5,0
NA,100.5,-67.5,0
NA,101.5,-67.5,0
NA,102.5,-67.5,93.00001526
NA,103.5,-67.5,0
NA,104.5,-67.5,0
NA,105.5,-67.5,0
NA,106.5,-67.5,0
NA,107.5,-67.5,0
NA,108.5,-67.5,0
NA,109.5,-67.5,0
NA,110.5,-67.5,267.5
NA,111.5,-67.5,528.999939
NA,112.5,-67.5,760.25
NA,113.5,-67.5,930.5
NA,114.5,-67.5,853
NA,115.5,-67.5,501.5
NA,116.5,-67.5,514.75
NA,117.5,-67.5,746
NA,118.5,-67.5,856.25
NA,119.5,-67.5,361.7500305
NA,120.5,-67.5,286.0000305
NA,121.5,-67.5,365.75
NA,122.5,-67.5,159.25
NA,123.5,-67.5,0
NA,124.5,-67.5,0
NA,125.5,-67.5,84.25001526
NA,126.5,-67.5,242.7500305
NA,127.5,-67.5,256.4999695
NA,128.5,-67.5,61.00000381
NA,129.5,-67.5,102.4999924
NA,130.5,-67.5,14.9999876
NA,131.5,-67.5,112.7500076
NA,132.5,-67.5,0
NA,133.5,-67.5,0
NA,134.5,-67.5,0
NA,135.5,-67.5,66.75000763
NA,136.5,-67.5,237.75
NA,137.5,-67.5,231.5000305
NA,138.5,-67.5,0.250002056
NA,139.5,-67.5,20.24999428
NA,140.5,-67.5,28.50000572
NA,141.5,-67.5,255.75
NA,142.5,-67.5,103.5000381
NA,143.5,-67.5,210.7500153
NA,144.5,-67.5,142.7500153
NA,145.5,-67.5,264.75
NA,146.5,-67.5,140.2500305
NA,147.5,-67.5,130.75
NA,148.5,-67.5,349.4999695
NA,20.5,-66.5,4539.75
1,21.5,-66.5,4333.75
1,22.5,-66.5,4584
1,23.5,-66.5,4593
1,24.5,-66.5,4576
1,25.5,-66.5,4505
1,26.5,-66.5,4452
1,27.5,-66.5,4632.25
1,28.5,-66.5,4409
1,29.5,-66.5,4366.75
1,30.5,-66.5,4278
1,31.5,-66.5,4191.25
1,32.5,-66.5,3570.25
1,33.5,-66.5,1259.25
1,34.5,-66.5,3558.25
1,35.5,-66.5,4121.5
1,36.5,-66.5,4272.25
1,37.5,-66.5,4686
1,38.5,-66.5,4341.25
1,39.5,-66.5,4385
1,40.5,-66.5,4497.25
1,41.5,-66.5,4115
1,42.5,-66.5,3549.5
1,43.5,-66.5,2929.750244
1,44.5,-66.5,2618.25
1,45.5,-66.5,2486.75
1,46.5,-66.5,2082
1,47.5,-66.5,775.25
1,48.5,-66.5,469.999939
1,49.5,-66.5,480.5000305
1,50.5,-66.5,212
1,51.5,-66.5,0
1,52.5,-66.5,0
1,53.5,-66.5,0
1,54.5,-66.5,0
1,55.5,-66.5,0
1,56.5,-66.5,124.0000381
1,57.5,-66.5,55.74998474
1,58.5,-66.5,370.2499695
1,59.5,-66.5,2088.75
1,60.5,-66.5,2062.5
1,61.5,-66.5,1721.25
1,62.5,-66.5,2160.249756
1,63.5,-66.5,2518.5
1,64.5,-66.5,2882.25
1,65.5,-66.5,2353.5
1,66.5,-66.5,2240.75
1,67.5,-66.5,2529.75
1,68.5,-66.5,1963
NA,69.5,-66.5,1586.25
NA,70.5,-66.5,1987.5
NA,71.5,-66.5,1658.5
NA,72.5,-66.5,1250.75
NA,73.5,-66.5,1769.5
NA,74.5,-66.5,2025.75
NA,75.5,-66.5,2488.75
NA,76.5,-66.5,2537
NA,77.5,-66.5,1900
NA,78.5,-66.5,954.7498169
NA,79.5,-66.5,294.5
NA,80.5,-66.5,434.0000916
NA,81.5,-66.5,469.5000305
NA,82.5,-66.5,358.4999695
NA,83.5,-66.5,531.25
NA,84.5,-66.5,239
NA,85.5,-66.5,65
NA,86.5,-66.5,121
NA,87.5,-66.5,438.500061
NA,88.5,-66.5,465
NA,89.5,-66.5,265.4999084
NA,90.5,-66.5,440.75
NA,91.5,-66.5,89.00001526
NA,92.5,-66.5,380.75
NA,93.5,-66.5,161.7499847
NA,94.5,-66.5,134.250061
NA,95.5,-66.5,162.25
NA,96.5,-66.5,195.0000153
NA,97.5,-66.5,293.25
NA,98.5,-66.5,92.24992371
NA,99.5,-66.5,230.5000305
NA,100.5,-66.5,195.5000305
NA,101.5,-66.5,0
NA,102.5,-66.5,0
NA,103.5,-66.5,0
NA,104.5,-66.5,0
NA,105.5,-66.5,0
NA,106.5,-66.5,0
NA,107.5,-66.5,59.50006104
NA,108.5,-66.5,504.749939
NA,109.5,-66.5,319.75
NA,110.5,-66.5,53.25009918
NA,111.5,-66.5,0
NA,112.5,-66.5,0
NA,113.5,-66.5,0
NA,114.5,-66.5,0
NA,115.5,-66.5,32.99996567
NA,116.5,-66.5,93.24999237
NA,117.5,-66.5,367.2500305
NA,118.5,-66.5,623.25
NA,119.5,-66.5,527.25
NA,120.5,-66.5,426.25
NA,121.5,-66.5,161
NA,122.5,-66.5,573.999939
NA,123.5,-66.5,499.2500305
NA,124.5,-66.5,205
NA,125.5,-66.5,0
NA,126.5,-66.5,244.75
NA,127.5,-66.5,391.75
NA,128.5,-66.5,1083.25
NA,129.5,-66.5,415.5000305
NA,130.5,-66.5,490.2500305
NA,131.5,-66.5,388
NA,132.5,-66.5,58.00004196
NA,133.5,-66.5,145.9999695
NA,134.5,-66.5,324.500061
NA,135.5,-66.5,0
NA,136.5,-66.5,17.74992943
NA,137.5,-66.5,0
NA,138.5,-66.5,130.9999695
NA,139.5,-66.5,305.0000305
NA,140.5,-66.5,401.7500305
NA,141.5,-66.5,83.50009155
NA,142.5,-66.5,541.75
NA,143.5,-66.5,775.25
NA,144.5,-66.5,616.25
NA,145.5,-66.5,632.249939
NA,146.5,-66.5,214.7500305
NA,147.5,-66.5,529.750061
