TARGET_FID,richness,depth,x,y
-7559,1,3154.248535,170.5,44.5
-7548,1,5301,159.5,44.5
-7546,1,5078.5,157.5,44.5
-7545,1,5140.75,156.5,44.5
-7544,1,5298.5,155.5,44.5
-7543,1,5121.5,154.5,44.5
-7499,1,5044.500488,172.5,43.5
-7497,1,5128.75,170.5,43.5
-7494,1,4851,167.5,43.5
-7493,1,4839.250488,166.5,43.5
-7483,1,5265.75,156.5,43.5
-7439,1,5045.249512,174.5,42.5
-7438,1,4912.500488,173.5,42.5
-7435,1,2019.498901,170.5,42.5
-7433,1,5109.75,168.5,42.5
-7432,1,4959.5,167.5,42.5
-7431,1,5190.749512,166.5,42.5
-7430,1,5029.500488,165.5,42.5
-7429,1,5034.75,164.5,42.5
-7428,1,5053.5,163.5,42.5
-7426,1,5278.5,161.5,42.5
-7373,1,1959.750122,170.5,41.5
-7367,1,4748.25,164.5,41.5
-7355,1,5278,152.5,41.5
-7319,1,4557.75,178.5,40.5
-7315,1,5024,174.5,40.5
-7314,1,4462.75,173.5,40.5
-7313,1,4813.000488,172.5,40.5
-7311,1,1801.999268,170.5,40.5
-7305,1,4561.75,164.5,40.5
-7304,1,5146,163.5,40.5
-7252,1,5091.5,175.5,39.5
-7251,2,4494.25,174.5,39.5
-7251,2,5118.000488,173.5,39.5
-7243,1,5216.25,164.5,39.5
-7242,1,4922.5,163.5,39.5
-7241,1,4965.25,162.5,39.5
-7193,1,5251.75,177.5,38.5
-7191,1,4682.5,176.5,38.5
-7190,1,4499.25,175.5,38.5
-7181,1,5021.25,164.5,38.5
-7180,1,5169.5,163.5,38.5
-7179,1,3976,162.5,38.5
-7178,1,4755.25,161.5,38.5
-7133,1,4985,178.5,37.5
-7131,1,4837.75,177.5,37.5
-7129,1,3383.499756,176.5,37.5
-7128,1,4408.25,175.5,37.5
-7122,1,5266.75,169.5,37.5
-7121,1,5084.25,168.5,37.5
-7120,1,5218.25,167.5,37.5
-7119,1,5124,166.5,37.5
-7118,1,4580.750488,165.5,37.5
-7116,1,3790.999512,163.5,37.5
-7115,1,4086,162.5,37.5
