"","TARGET_FID","richness","species","depth","x","y"
"1",105,1,"Stylopathes columnaris",577.75,-178.5,-73.5
"2",209,1,"Stylopathes columnaris",704.25,-178.5,-72.5
"3",313,1,"Stylopathes columnaris",1124,-178.5,-71.5
"4",417,1,"Stylopathes columnaris",1971.25,-178.5,-70.5
"5",521,1,"Stylopathes columnaris",3124.5,-178.5,-69.5
"6",599,1,"Alternatipathes alternata",4040.75,-100.5,-69.5
"7",600,1,"Alternatipathes alternata",4168.5,-99.5,-69.5
"8",601,1,"Alternatipathes alternata",4409.25,-98.5,-69.5
"9",602,1,"Alternatipathes alternata",4263,-97.5,-69.5
"10",603,1,"Alternatipathes alternata",4329.5,-96.5,-69.5
"11",625,1,"Stylopathes columnaris",3237.75,-178.5,-68.5
"12",700,1,"Alternatipathes alternata",4344,-103.5,-68.5
"13",701,1,"Alternatipathes alternata",4284,-102.5,-68.5
"14",702,1,"Alternatipathes alternata",4391.75,-101.5,-68.5
"15",703,1,"Alternatipathes alternata",4441,-100.5,-68.5
"16",704,1,"Alternatipathes alternata",4496,-99.5,-68.5
"17",705,1,"Alternatipathes alternata",4565,-98.5,-68.5
"18",706,1,"Alternatipathes alternata",4609.75,-97.5,-68.5
"19",707,1,"Alternatipathes alternata",4507.25,-96.5,-68.5
"20",708,1,"Alternatipathes alternata",4419.25,-95.5,-68.5
"21",709,1,"Alternatipathes alternata",4481.75,-94.5,-68.5
"22",710,1,"Alternatipathes alternata",4175.5,-93.5,-68.5
"23",728,1,"Bathypathes patula",3385.75,-179.5,-67.5
"24",729,2,"Bathypathes patula",3801,-178.5,-67.5
"25",729,2,"Stylopathes columnaris",3801,-178.5,-67.5
"26",730,1,"Bathypathes patula",4034,-177.5,-67.5
"27",731,1,"Bathypathes patula",4110,-176.5,-67.5
"28",732,1,"Bathypathes patula",4492.5,-175.5,-67.5
"29",733,1,"Bathypathes patula",3682,-174.5,-67.5
"30",734,1,"Bathypathes patula",3104.25,-173.5,-67.5
"31",735,1,"Bathypathes patula",3643.75,-172.5,-67.5
"32",736,1,"Bathypathes patula",3621.5,-171.5,-67.5
"33",737,1,"Bathypathes patula",3365.75,-170.5,-67.5
"34",738,1,"Bathypathes patula",3645.75024414,-169.5,-67.5
"35",739,1,"Bathypathes patula",2291,-168.5,-67.5
"36",740,1,"Bathypathes patula",3575.25,-167.5,-67.5
"37",741,1,"Bathypathes patula",3688.5,-166.5,-67.5
"38",742,1,"Bathypathes patula",3509.75,-165.5,-67.5
"39",743,1,"Bathypathes patula",4188.75,-164.5,-67.5
"40",801,1,"Alternatipathes alternata",4500.75,-106.5,-67.5
"41",802,1,"Alternatipathes alternata",4610,-105.5,-67.5
"42",803,1,"Alternatipathes alternata",4648.5,-104.5,-67.5
"43",804,1,"Alternatipathes alternata",4623,-103.5,-67.5
"44",805,1,"Alternatipathes alternata",4624,-102.5,-67.5
"45",806,1,"Alternatipathes alternata",4629,-101.5,-67.5
"46",807,1,"Alternatipathes alternata",4623,-100.5,-67.5
"47",808,1,"Alternatipathes alternata",4611.25,-99.5,-67.5
"48",809,1,"Alternatipathes alternata",4562.75,-98.5,-67.5
"49",810,1,"Alternatipathes alternata",4658.75,-97.5,-67.5
"50",811,1,"Alternatipathes alternata",4627.75,-96.5,-67.5
"51",812,1,"Alternatipathes alternata",4414,-95.5,-67.5
"52",813,1,"Alternatipathes alternata",4549.75,-94.5,-67.5
"53",814,1,"Alternatipathes alternata",4514.5,-93.5,-67.5
"54",815,1,"Alternatipathes alternata",4541.25,-92.5,-67.5
"55",816,1,"Alternatipathes alternata",4688,-91.5,-67.5
"56",817,2,"Abyssopathes lyra",4216,-90.5,-67.5
"57",817,2,"Alternatipathes alternata",4216,-90.5,-67.5
"58",832,1,"Bathypathes patula",3678.75,-179.5,-66.5
"59",833,3,"Bathypathes patula",3307.5,-178.5,-66.5
"60",833,3,"Lillipathes lillei",3307.5,-178.5,-66.5
"61",833,3,"Stylopathes columnaris",3307.5,-178.5,-66.5
"62",834,1,"Bathypathes patula",2628.5,-177.5,-66.5
"63",835,1,"Bathypathes patula",2576.25,-176.5,-66.5
"64",836,1,"Bathypathes patula",2804.5,-175.5,-66.5
"65",837,1,"Bathypathes patula",3454.5,-174.5,-66.5
"66",838,1,"Bathypathes patula",3383.25,-173.5,-66.5
"67",839,1,"Bathypathes patula",3475,-172.5,-66.5
"68",840,1,"Bathypathes patula",3132.75,-171.5,-66.5
"69",841,1,"Bathypathes patula",3099.25,-170.5,-66.5
"70",842,1,"Bathypathes patula",3563.75,-169.5,-66.5
"71",843,1,"Bathypathes patula",3642.5,-168.5,-66.5
"72",844,1,"Bathypathes patula",3933.5,-167.5,-66.5
"73",845,1,"Bathypathes patula",3423.25,-166.5,-66.5
"74",846,1,"Bathypathes patula",3265,-165.5,-66.5
"75",847,1,"Bathypathes patula",3799,-164.5,-66.5
"76",848,1,"Bathypathes patula",3723,-163.5,-66.5
"77",849,1,"Bathypathes patula",3251.5,-162.5,-66.5
"78",850,1,"Bathypathes patula",3481.5,-161.5,-66.5
"79",851,1,"Bathypathes patula",3427.75,-160.5,-66.5
"80",852,1,"Bathypathes patula",4547.5,-159.5,-66.5
"81",853,1,"Bathypathes patula",3345.5,-158.5,-66.5
"82",854,1,"Bathypathes patula",3912.25,-157.5,-66.5
"83",855,1,"Bathypathes patula",4032.5,-156.5,-66.5
"84",856,1,"Bathypathes patula",4474,-155.5,-66.5
"85",857,1,"Bathypathes patula",4033.75,-154.5,-66.5
"86",858,1,"Bathypathes patula",4180,-153.5,-66.5
"87",859,1,"Bathypathes patula",4665.5,-152.5,-66.5
"88",860,1,"Bathypathes patula",3898.75,-151.5,-66.5
"89",861,1,"Bathypathes patula",4255.5,-150.5,-66.5
"90",862,1,"Bathypathes patula",4195.75,-149.5,-66.5
"91",863,1,"Bathypathes patula",4131.5,-148.5,-66.5
"92",864,1,"Bathypathes patula",4290.25,-147.5,-66.5
"93",865,1,"Bathypathes patula",4404.5,-146.5,-66.5
"94",866,1,"Bathypathes patula",4367.25,-145.5,-66.5
"95",867,1,"Bathypathes patula",4128.5,-144.5,-66.5
"96",868,1,"Bathypathes patula",4269,-143.5,-66.5
"97",869,1,"Bathypathes patula",4213,-142.5,-66.5
"98",870,1,"Bathypathes patula",4138,-141.5,-66.5
"99",871,1,"Bathypathes patula",4040.25,-140.5,-66.5
"100",903,1,"Alternatipathes alternata",4664,-108.5,-66.5
"101",904,1,"Alternatipathes alternata",4745.75,-107.5,-66.5
"102",905,1,"Alternatipathes alternata",4741.25,-106.5,-66.5
"103",906,1,"Alternatipathes alternata",4773,-105.5,-66.5
"104",907,1,"Alternatipathes alternata",4776.25,-104.5,-66.5
"105",908,1,"Alternatipathes alternata",4798,-103.5,-66.5
"106",909,1,"Alternatipathes alternata",4771,-102.5,-66.5
"107",910,1,"Alternatipathes alternata",4787.25,-101.5,-66.5
"108",911,1,"Alternatipathes alternata",4783.25,-100.5,-66.5
