"","TARGET_FID","richness","species1","depth","x","y","min_depth","max_depth","min_lat","max_lat"
"1",105,1,"Stylopathes columnaris",577.75,-178.5,-73.5,150,1174,-74.166667,15.16
"2",209,1,"Stylopathes columnaris",704.25,-178.5,-72.5,150,1174,-74.166667,15.16
"3",313,1,"Stylopathes columnaris",1124,-178.5,-71.5,150,1174,-74.166667,15.16
"4",599,1,"Alternatipathes alternata",4040.75,-100.5,-69.5,182,5089,-70.333328,56.350281
"5",600,1,"Alternatipathes alternata",4168.5,-99.5,-69.5,182,5089,-70.333328,56.350281
"6",601,1,"Alternatipathes alternata",4409.25,-98.5,-69.5,182,5089,-70.333328,56.350281
"7",602,1,"Alternatipathes alternata",4263,-97.5,-69.5,182,5089,-70.333328,56.350281
"8",603,1,"Alternatipathes alternata",4329.5,-96.5,-69.5,182,5089,-70.333328,56.350281
"9",700,1,"Alternatipathes alternata",4344,-103.5,-68.5,182,5089,-70.333328,56.350281
"10",701,1,"Alternatipathes alternata",4284,-102.5,-68.5,182,5089,-70.333328,56.350281
"11",702,1,"Alternatipathes alternata",4391.75,-101.5,-68.5,182,5089,-70.333328,56.350281
"12",703,1,"Alternatipathes alternata",4441,-100.5,-68.5,182,5089,-70.333328,56.350281
"13",704,1,"Alternatipathes alternata",4496,-99.5,-68.5,182,5089,-70.333328,56.350281
"14",705,1,"Alternatipathes alternata",4565,-98.5,-68.5,182,5089,-70.333328,56.350281
"15",706,1,"Alternatipathes alternata",4609.75,-97.5,-68.5,182,5089,-70.333328,56.350281
"16",707,1,"Alternatipathes alternata",4507.25,-96.5,-68.5,182,5089,-70.333328,56.350281
"17",708,1,"Alternatipathes alternata",4419.25,-95.5,-68.5,182,5089,-70.333328,56.350281
"18",709,1,"Alternatipathes alternata",4481.75,-94.5,-68.5,182,5089,-70.333328,56.350281
"19",710,1,"Alternatipathes alternata",4175.5,-93.5,-68.5,182,5089,-70.333328,56.350281
"20",728,1,"Bathypathes patula",3385.75,-179.5,-67.5,273,5303.52,-68.120833,59.04833
"21",729,1,"Bathypathes patula",3801,-178.5,-67.5,273,5303.52,-68.120833,59.04833
"22",730,1,"Bathypathes patula",4034,-177.5,-67.5,273,5303.52,-68.120833,59.04833
"23",731,1,"Bathypathes patula",4110,-176.5,-67.5,273,5303.52,-68.120833,59.04833
"24",732,1,"Bathypathes patula",4492.5,-175.5,-67.5,273,5303.52,-68.120833,59.04833
"25",733,1,"Bathypathes patula",3682,-174.5,-67.5,273,5303.52,-68.120833,59.04833
