"","species","mid_x_geog.x","mid_y_geog.x","area_geog.x","mid_x_geog.y","mid_y_geog.y","area_geog.y","area_geog_combine","y_median"
"1","Abyssopathes lyra",18880404.2038,2.83889,8839422277690,-15201716.085,-11.8006478043,67310875605000,76150297882690,-4.48087890215
"2","Alternatipathes alternata",18175835.7829,-1.48305307585,24710302773200,-15145504.95,-9.29945229849,119386445781000,144096748554200,-5.39125268717
"3","Antipathella fiordensis",19170699.8094,-41.2634655924,660378115921,0,0,0,660378115921,-20.6317327962
"4","Antipathes curvata",17028007.206,6.76349832148,24087467398700,-19163388.8063,5.61986271068,6246973329180,30334440727880,6.19168051608
"5","Antipathes dendrochristos",0,0,0,-14964995.3361,31.4096852541,1621108426490,1621108426490,15.70484262705
"6","Antipathes densa",17421269.8526,5.12149461922,28783453193100,0,0,0,28783453193100,2.56074730961
"7","Antipathes flabellum",15787757.6404,0.228376839035,12171100394900,0,0,0,12171100394900,0.1141884195175
"8","Antipathes galapagensis",0,0,0,-11207402.8137,11.2397873535,3806374277920,3806374277920,5.61989367675
"9","Antipathes gracilis",19478930.8861,-32.4211106667,870951169743,-19869725.3075,-30.3875159677,179287046.705,871130456789.705,-31.4043133172
"10","Antipathes grandis",17890926.938,-0.0375786460684,9415206118540,-18919779.0266,2.9289659434,5961813939250,15377020057790,1.4456936486658
"11","Antipathes pauroclema",16405209.3029,7.8017871561,7808524546190,0,0,0,7808524546190,3.90089357805
"12","Antipathes sarothrum",17482010.1848,-9.89156692578,12658879010900,-19923627.3257,-23.6213025178,92856.9672501,12658879103757,-16.75643472179
"13","Antipathes sibogae",15755186.1656,7.6632815169,11208909000600,-18833190.7233,-6.58815428789,18134097916.7,11227043098516.7,0.537563614505
"14","Antipathes simplex",13777868.5334,10.9276691305,1033115809740,0,0,0,1033115809740,5.46383456525
"15","Bathypathes patula",17543197.6009,-8.11191394217,68108662433300,-14977285.011,-12.1185767803,165433284981000,233541947414300,-10.115245361235
"16","Chrysopathes speciosa",0,0,0,-15965003.7124,50.7600229808,8968688375070,8968688375070,25.3800114904
"17","Cirrhipathes anguina",16775678.9104,6.48933513908,33458265793400,-18977478.2147,7.45337317835,8416998349710,41875264143110,6.971354158715
"18","Cirrhipathes spiralis",17018196.4917,4.67428604869,35297089836400,-18981267.7701,15.3459643663,4451258899650,39748348736050,10.010125207495
"19","Cupressopathes abies",14933746.7418,-2.96246390266,10348032228900,0,0,0,10348032228900,-1.48123195133
"20","Dendropathes intermedia",18132586.1776,-1.3029942127,31225336697900,-18950460.7576,3.70928395759,11659233710400,42884570408300,1.203144872445
"21","Leiopathes acanthophora",19303649.0816,-37.6124922221,696459702894,-19652883.6091,-43.0320517602,164618681233,861078384127,-40.32227199115
"22","Leiopathes secunda",18554378.2183,-40.942985995,3972606159460,-19747262.8536,-43.6742377029,25512366522.6,3998118525982.6,-42.30861184895
"23","Lillipathes lillei",19399765.0549,-44.5511858951,3452949690590,-18262292.9722,-27.139539,289426311090,3742376001680,-35.84536244755
"24","Lillipathes wingi",0,0,0,-15089763.2469,50.7847749432,2754968927780,2754968927780,25.3923874716
"25","Myriopathes bifaria",14482312.0684,19.0886221565,5082701304950,0,0,0,5082701304950,9.54431107825
"26","Myriopathes japonica",15483974.7043,-3.66253914921,13544182400400,0,0,0,13544182400400,-1.831269574605
"27","Myriopathes myriophylla",16176826.9552,-0.940629323823,21076757869000,-19764549.7714,-24.2555076849,252570501431,21329328370431,-12.5980685043615
"28","Myriopathes panamensis",0,0,0,-10188625.3853,9.08768856635,3701486143950,3701486143950,4.543844283175
"29","Myriopathes ulex",17526809.5737,5.1795398631,29781937222400,-19012769.2855,8.41135926196,8194675456290,37976612678690,6.79544956253
"30","Parantipathes helicosticha",18544094.6344,-49.3306647064,18020457274900,0,0,0,18020457274900,-24.6653323532
"31","pseudocirrhipathes mapia",15952922.968,16.0982643509,11275711705500,-18809229.6164,25.123031905,178197297320,11453909002820,20.61064812795
"32","Rhipidipathes reticulata",15330192.4935,6.96944301847,11133824068400,0,0,0,11133824068400,3.484721509235
"33","Schizopathes affinis",17846513.8892,-2.31707001537,33006309659600,-16301980.2108,-17.2546985301,60568175622500,93574485282100,-9.785884272735
"34","Stauropathes staurocrada",18929996.618,-19.1897948007,4149429515080,-18652201.9784,21.6232049366,1892771550220,6042201065300,1.21670506795
"35","Stichopathes spiessi",17784282.1836,8.23647210398,27261859981800,-17775516.9617,8.52886552287,25538162740600,52800022722400,8.382668813425
"36","Stichopathes variabilis",17186033.3664,-10.1472942004,10474770949700,-19898625.545,-30.6963812042,4790749481.66,10479561699181.7,-20.4218377023
"37","Stylopathes columnaris",18687347.7781,-29.7765130235,16751955265500,-19888122.0796,-52.6009679461,685882699989,17437837965489,-41.1887404848
"38","Stylopathes tenuispina",15690889.4303,-10.3160353342,11397664402300,0,0,0,11397664402300,-5.1580176671
"39","Trissopathes pseudotristicha",18022284.9801,10.9094112378,27298162633200,-17387399.9851,19.3196768809,40650346711100,67948509344300,15.11454405935
"40","Trissopathes tetracrada",18271313.2648,-30.0250006667,2430622454550,-17046025.9748,15.6808566667,4687138692500,7117761147050,-7.172072
"41","Trissopathes tristicha",17493285.9919,-8.63903435981,39494501920400,-19442308.2584,2.9000335753,5398828428180,44893330348580,-2.869500392255
