species,mid_x_geog.x,mid_y_geog.x,area_geog.x,mid_x_geog.y,mid_y_geog.y,area_geog.y,area_geog_combine,y_median
Abyssopathes lyra,18880404.2,2.83889,8.83942E+12,-15201716.09,-11.8006478,6.73109E+13,7.61503E+13,-4.480878902
Alternatipathes alternata,18175835.78,-1.483053076,2.47103E+13,-15145504.95,-9.299452298,1.19386E+14,1.44097E+14,-5.391252687
Antipathella fiordensis,19170699.81,-41.26346559,6.60378E+11,0,0,0,6.60378E+11,-41.26346559
Antipathes curvata,17028007.21,6.763498321,2.40875E+13,-19163388.81,5.619862711,6.24697E+12,3.03344E+13,6.191680516
Antipathes dendrochristos,0,0,0,-14964995.34,31.40968525,1.62111E+12,1.62111E+12,31.40968525
Antipathes densa,17421269.85,5.121494619,2.87835E+13,0,0,0,2.87835E+13,5.121494619
Antipathes flabellum,15787757.64,0.228376839,1.21711E+13,0,0,0,1.21711E+13,0.228376839
Antipathes galapagensis,0,0,0,-11207402.81,11.23978735,3.80637E+12,3.80637E+12,11.23978735
Antipathes gracilis,19478930.89,-32.42111067,8.70951E+11,-19869725.31,-30.38751597,179287046.7,8.7113E+11,-31.40431332
Antipathes grandis,17890926.94,-0.037578646,9.41521E+12,-18919779.03,2.928965943,5.96181E+12,1.5377E+13,1.445693649
Antipathes pauroclema,16405209.3,7.801787156,7.80852E+12,0,0,0,7.80852E+12,7.801787156
Antipathes sarothrum,17482010.18,-9.891566926,1.26589E+13,-19923627.33,-23.62130252,92856.96725,1.26589E+13,-16.75643472
Antipathes sibogae,15755186.17,7.663281517,1.12089E+13,-18833190.72,-6.588154288,18134097917,1.1227E+13,0.537563615
Antipathes simplex,13777868.53,10.92766913,1.03312E+12,0,0,0,1.03312E+12,10.92766913
Bathypathes patula,17543197.6,-8.111913942,6.81087E+13,-14977285.01,-12.11857678,1.65433E+14,2.33542E+14,-10.11524536
Chrysopathes speciosa,0,0,0,-15965003.71,50.76002298,8.96869E+12,8.96869E+12,50.76002298
Cirrhipathes anguina,16775678.91,6.489335139,3.34583E+13,-18977478.21,7.453373178,8.417E+12,4.18753E+13,6.971354159
Cirrhipathes spiralis,17018196.49,4.674286049,3.52971E+13,-18981267.77,15.34596437,4.45126E+12,3.97483E+13,10.01012521
Cupressopathes abies,14933746.74,-2.962463903,1.0348E+13,0,0,0,1.0348E+13,-2.962463903
Dendropathes intermedia,18132586.18,-1.302994213,3.12253E+13,-18950460.76,3.709283958,1.16592E+13,4.28846E+13,1.203144872
Leiopathes acanthophora,19303649.08,-37.61249222,6.9646E+11,-19652883.61,-43.03205176,1.64619E+11,8.61078E+11,-40.32227199
Leiopathes secunda,18554378.22,-40.942986,3.97261E+12,-19747262.85,-43.6742377,25512366523,3.99812E+12,-42.30861185
Lillipathes lillei,19399765.05,-44.5511859,3.45295E+12,-18262292.97,-27.139539,2.89426E+11,3.74238E+12,-35.84536245
Lillipathes wingi,0,0,0,-15089763.25,50.78477494,2.75497E+12,2.75497E+12,50.78477494
Myriopathes bifaria,14482312.07,19.08862216,5.0827E+12,0,0,0,5.0827E+12,19.08862216
Myriopathes japonica,15483974.7,-3.662539149,1.35442E+13,0,0,0,1.35442E+13,-3.662539149
Myriopathes myriophylla,16176826.96,-0.940629324,2.10768E+13,-19764549.77,-24.25550768,2.52571E+11,2.13293E+13,-12.5980685
Myriopathes panamensis,0,0,0,-10188625.39,9.087688566,3.70149E+12,3.70149E+12,9.087688566
Myriopathes ulex,17526809.57,5.179539863,2.97819E+13,-19012769.29,8.411359262,8.19468E+12,3.79766E+13,6.795449563
Parantipathes helicosticha,18544094.63,-49.33066471,1.80205E+13,0,0,0,1.80205E+13,-49.33066471
pseudocirrhipathes mapia,15952922.97,16.09826435,1.12757E+13,-18809229.62,25.12303191,1.78197E+11,1.14539E+13,20.61064813
Rhipidipathes reticulata,15330192.49,6.969443018,1.11338E+13,0,0,0,1.11338E+13,6.969443018
Schizopathes affinis,17846513.89,-2.317070015,3.30063E+13,-16301980.21,-17.25469853,6.05682E+13,9.35745E+13,-9.785884273
Stauropathes staurocrada,18929996.62,-19.1897948,4.14943E+12,-18652201.98,21.62320494,1.89277E+12,6.0422E+12,1.216705068
Stichopathes spiessi,17784282.18,8.236472104,2.72619E+13,-17775516.96,8.528865523,2.55382E+13,5.28E+13,8.382668813
Stichopathes variabilis,17186033.37,-10.1472942,1.04748E+13,-19898625.55,-30.6963812,4790749482,1.04796E+13,-20.4218377
Stylopathes columnaris,18687347.78,-29.77651302,1.6752E+13,-19888122.08,-52.60096795,6.85883E+11,1.74378E+13,-41.18874048
Stylopathes tenuispina,15690889.43,-10.31603533,1.13977E+13,0,0,0,1.13977E+13,-10.31603533
Trissopathes pseudotristicha,18022284.98,10.90941124,2.72982E+13,-17387399.99,19.31967688,4.06503E+13,6.79485E+13,15.11454406
Trissopathes tetracrada,18271313.26,-30.02500067,2.43062E+12,-17046025.97,15.68085667,4.68714E+12,7.11776E+12,-7.172072
Trissopathes tristicha,17493285.99,-8.63903436,3.94945E+13,-19442308.26,2.900033575,5.39883E+12,4.48933E+13,-2.869500392
