"","TARGET_FID","richness","species1","depth","x","y"
"1",-7554,1,"Bathypathes patula",3154.24853516,170.5,44.5
"2",-7543,1,"Bathypathes patula",5301,159.5,44.5
"3",-7541,1,"Bathypathes patula",5078.5,157.5,44.5
"4",-7540,1,"Bathypathes patula",5140.75,156.5,44.5
"5",-7539,1,"Bathypathes patula",5298.5,155.5,44.5
"6",-7538,1,"Bathypathes patula",5121.5,154.5,44.5
"7",-7494,1,"Bathypathes patula",5044.50048828,172.5,43.5
"8",-7492,1,"Bathypathes patula",5128.75,170.5,43.5
"9",-7489,1,"Bathypathes patula",4851,167.5,43.5
"10",-7488,1,"Bathypathes patula",4839.25048828,166.5,43.5
"11",-7478,1,"Bathypathes patula",5265.75,156.5,43.5
"12",-7434,1,"Bathypathes patula",5045.24951172,174.5,42.5
"13",-7433,1,"Bathypathes patula",4912.50048828,173.5,42.5
"14",-7430,1,"Bathypathes patula",2019.49890137,170.5,42.5
"15",-7428,1,"Bathypathes patula",5109.75,168.5,42.5
"16",-7427,1,"Bathypathes patula",4959.5,167.5,42.5
"17",-7426,1,"Bathypathes patula",5190.74951172,166.5,42.5
"18",-7425,1,"Bathypathes patula",5029.50048828,165.5,42.5
"19",-7424,1,"Bathypathes patula",5034.75,164.5,42.5
"20",-7423,1,"Bathypathes patula",5053.5,163.5,42.5
"21",-7421,1,"Bathypathes patula",5278.5,161.5,42.5
"22",-7368,1,"Bathypathes patula",1959.75012207,170.5,41.5
"23",-7362,1,"Bathypathes patula",4748.25,164.5,41.5
"24",-7350,1,"Bathypathes patula",5278,152.5,41.5
"25",-7314,1,"Bathypathes patula",4557.75,178.5,40.5
"26",-7310,1,"Bathypathes patula",5024,174.5,40.5
"27",-7309,1,"Bathypathes patula",4462.75,173.5,40.5
"28",-7308,1,"Bathypathes patula",4813.00048828,172.5,40.5
"29",-7306,1,"Bathypathes patula",1801.99926758,170.5,40.5
"30",-7300,1,"Bathypathes patula",4561.75,164.5,40.5
"31",-7299,1,"Bathypathes patula",5146,163.5,40.5
"32",-7249,1,"Bathypathes patula",5091.5,175.5,39.5
"33",-7248,1,"Bathypathes patula",4494.25,174.5,39.5
"34",-7247,1,"Bathypathes patula",5118.00048828,173.5,39.5
"35",-7238,1,"Bathypathes patula",5216.25,164.5,39.5
"36",-7237,1,"Bathypathes patula",4922.5,163.5,39.5
"37",-7236,1,"Bathypathes patula",4965.25,162.5,39.5
"38",-7189,1,"Bathypathes patula",5251.75,177.5,38.5
"39",-7188,1,"Bathypathes patula",4682.5,176.5,38.5
"40",-7187,1,"Bathypathes patula",4499.25,175.5,38.5
"41",-7176,1,"Bathypathes patula",5021.25,164.5,38.5
"42",-7175,1,"Bathypathes patula",5169.5,163.5,38.5
"43",-7174,1,"Bathypathes patula",3976,162.5,38.5
"44",-7173,1,"Bathypathes patula",4755.25,161.5,38.5
"45",-7128,1,"Bathypathes patula",4985,178.5,37.5
"46",-7127,1,"Bathypathes patula",4837.75,177.5,37.5
"47",-7126,1,"Bathypathes patula",3383.49975586,176.5,37.5
"48",-7125,1,"Bathypathes patula",4408.25,175.5,37.5
"49",-7119,1,"Bathypathes patula",5266.75,169.5,37.5
"50",-7118,1,"Bathypathes patula",5084.25,168.5,37.5
"51",-7117,1,"Bathypathes patula",5218.25,167.5,37.5
"52",-7116,1,"Bathypathes patula",5124,166.5,37.5
"53",-7115,1,"Bathypathes patula",4580.75048828,165.5,37.5
"54",-7113,1,"Bathypathes patula",3790.99951172,163.5,37.5
"55",-7112,1,"Bathypathes patula",4086,162.5,37.5
"56",-7111,1,"Bathypathes patula",4517.75048828,161.5,37.5
"57",-7110,1,"Bathypathes patula",4733,160.5,37.5
"58",-7109,1,"Bathypathes patula",4572.25,159.5,37.5
