"","ocean","dimension","type","species","mid","area","...7","...8","...9","mid_long_adjust","...11","...12","...13"
"1","atl","depth","depth_planar_range","Abyssopathes lyra",4658.5,71516258372400,NA,NA,NA,NA,NA,NA,NA
"2","atl","depth","depth_range","Abyssopathes lyra",4658.5,1617,NA,NA,NA,NA,NA,NA,NA
"3","atl","depth","depth_planar_range","Acanthopathes thyoides",126,6295719667590,NA,NA,NA,NA,NA,NA,NA
"4","atl","depth","depth_range","Acanthopathes thyoides",126,206,NA,NA,NA,NA,NA,NA,NA
"5","atl","depth","depth_planar_range","Allopathes desbonni",424.5,2906214048410,NA,NA,NA,NA,NA,NA,NA
"6","atl","depth","depth_range","Allopathes desbonni",424.5,759,NA,NA,NA,NA,NA,NA,NA
"7","atl","depth","depth_planar_range","Alternatipathes alternata",2475.5,68211154605300,NA,NA,NA,NA,NA,NA,NA
"8","atl","depth","depth_range","Alternatipathes alternata",2475.5,4163,NA,NA,NA,NA,NA,NA,NA
"9","atl","depth","depth_planar_range","Antipathella subpinnata",275.5,19746066432400,NA,NA,NA,NA,NA,NA,NA
"10","atl","depth","depth_range","Antipathella subpinnata",275.5,449,NA,NA,NA,NA,NA,NA,NA
"11","atl","depth","depth_planar_range","Antipathella wollastoni",824,44561916808500,NA,NA,NA,NA,NA,NA,NA
"12","atl","depth","depth_range","Antipathella wollastoni",824,1636,NA,NA,NA,NA,NA,NA,NA
"13","atl","depth","depth_planar_range","Antipathes atlantica",499,27986638451100,NA,NA,NA,NA,NA,NA,NA
"14","atl","depth","depth_range","Antipathes atlantica",499,972,NA,NA,NA,NA,NA,NA,NA
"15","atl","depth","depth_planar_range","Antipathes caribbeana",44.2,6977546002740,NA,NA,NA,NA,NA,NA,NA
"16","atl","depth","depth_range","Antipathes caribbeana",44.2,64.4,NA,NA,NA,NA,NA,NA,NA
"17","atl","depth","depth_planar_range","Antipathes dichotoma",752.5,13006455950500,NA,NA,NA,NA,NA,NA,NA
"18","atl","depth","depth_range","Antipathes dichotoma",752.5,1315,NA,NA,NA,NA,NA,NA,NA
"19","atl","depth","depth_planar_range","Antipathes furcata",1258.5,56497764832600,NA,NA,NA,NA,NA,NA,NA
"20","atl","depth","depth_range","Antipathes furcata",1258.5,2483,NA,NA,NA,NA,NA,NA,NA
"21","atl","depth","depth_planar_range","Antipathes gracilis",112,60078592490100,NA,NA,NA,NA,NA,NA,NA
"22","atl","depth","depth_range","Antipathes gracilis",112,216,NA,NA,NA,NA,NA,NA,NA
