"","ocean","dimension","type","species","mid","area","...7","...8","...9","mid_long_adjust","...11","...12","...13"
"1","atl","depth","depth_planar_range","Abyssopathes lyra",4658.5,13.8544047847206,NA,NA,NA,NA,NA,NA,NA
"2","atl","depth","depth_range","Abyssopathes lyra",4658.5,3.2087100199064,NA,NA,NA,NA,NA,NA,NA
"3","atl","depth","depth_planar_range","Acanthopathes thyoides",126,12.7990453817511,NA,NA,NA,NA,NA,NA,NA
"4","atl","depth","depth_range","Acanthopathes thyoides",126,2.31386722036915,NA,NA,NA,NA,NA,NA,NA
"5","atl","depth","depth_planar_range","Allopathes desbonni",424.5,12.4633275977872,NA,NA,NA,NA,NA,NA,NA
"6","atl","depth","depth_range","Allopathes desbonni",424.5,2.88024177589548,NA,NA,NA,NA,NA,NA,NA
"7","atl","depth","depth_planar_range","Alternatipathes alternata",2475.5,13.8338554008648,NA,NA,NA,NA,NA,NA,NA
"8","atl","depth","depth_range","Alternatipathes alternata",2475.5,3.61940641088678,NA,NA,NA,NA,NA,NA,NA
"9","atl","depth","depth_planar_range","Antipathella subpinnata",275.5,13.295480593793,NA,NA,NA,NA,NA,NA,NA
"10","atl","depth","depth_range","Antipathella subpinnata",275.5,2.65224634100332,NA,NA,NA,NA,NA,NA,NA
"11","atl","depth","depth_planar_range","Antipathella wollastoni",824,13.6489638635268,NA,NA,NA,NA,NA,NA,NA
"12","atl","depth","depth_range","Antipathella wollastoni",824,3.2137832993353,NA,NA,NA,NA,NA,NA,NA
"13","atl","depth","depth_planar_range","Antipathes atlantica",499,13.4469507373439,NA,NA,NA,NA,NA,NA,NA
"14","atl","depth","depth_range","Antipathes atlantica",499,2.98766626492627,NA,NA,NA,NA,NA,NA,NA
"15","atl","depth","depth_planar_range","Antipathes caribbeana",44.2,12.8437027084599,NA,NA,NA,NA,NA,NA,NA
"16","atl","depth","depth_range","Antipathes caribbeana",44.2,1.80888586735981,NA,NA,NA,NA,NA,NA,NA
"17","atl","depth","depth_planar_range","Antipathes dichotoma",752.5,13.1141589744386,NA,NA,NA,NA,NA,NA,NA
"18","atl","depth","depth_range","Antipathes dichotoma",752.5,3.11892575282578,NA,NA,NA,NA,NA,NA,NA
"19","atl","depth","depth_planar_range","Antipathes furcata",1258.5,13.7520312665793,NA,NA,NA,NA,NA,NA,NA
"20","atl","depth","depth_range","Antipathes furcata",1258.5,3.39497671955456,NA,NA,NA,NA,NA,NA,NA
"21","atl","depth","depth_planar_range","Antipathes gracilis",112,13.7787197495463,NA,NA,NA,NA,NA,NA,NA
"22","atl","depth","depth_range","Antipathes gracilis",112,2.33445375115093,NA,NA,NA,NA,NA,NA,NA
"23","atl","depth","depth_planar_range","Antipathes lenta",685.25,13.4894948442025,NA,NA,NA,NA,NA,NA,NA
"24","atl","depth","depth_range","Antipathes lenta",685.25,3.12434117077496,NA,NA,NA,NA,NA,NA,NA
"25","atl","depth","depth_planar_range","Antipathes pedata",333,12.6841872087078,NA,NA,NA,NA,NA,NA,NA
"26","atl","depth","depth_range","Antipathes pedata",333,2.70757017609794,NA,NA,NA,NA,NA,NA,NA
"27","atl","depth","depth_planar_range","Aphanipathes salix",220.5,12.7409678370851,NA,NA,NA,NA,NA,NA,NA
"28","atl","depth","depth_range","Aphanipathes salix",220.5,2.35983548233989,NA,NA,NA,NA,NA,NA,NA
"29","atl","depth","depth_planar_range","Bathypathes patula",2409,14.4478198259369,NA,NA,NA,NA,NA,NA,NA
"30","atl","depth","depth_range","Bathypathes patula",2409,3.66478295737262,NA,NA,NA,NA,NA,NA,NA
"31","atl","depth","depth_planar_range","Cupressopathes gracilis",126,13.1633576846558,NA,NA,NA,NA,NA,NA,NA
"32","atl","depth","depth_range","Cupressopathes gracilis",126,2.26951294421792,NA,NA,NA,NA,NA,NA,NA
"33","atl","depth","depth_planar_range","Distichopathes filix",358.25,13.0182917656776,NA,NA,NA,NA,NA,NA,NA
"34","atl","depth","depth_range","Distichopathes filix",358.25,2.77851301173892,NA,NA,NA,NA,NA,NA,NA
"35","atl","depth","depth_planar_range","Elatopathes abietina",698.5,13.3838153659804,NA,NA,NA,NA,NA,NA,NA
