depth,type,rich
1,richness1d,0
1,richness2d,0
2,richness1d,0
2,richness2d,1
3,richness1d,1
3,richness2d,0
4,richness1d,2
4,richness2d,1
5,richness1d,2
5,richness2d,2
6,richness1d,3
6,richness2d,2
7,richness1d,3
7,richness2d,2
8,richness1d,4
8,richness2d,1
9,richness1d,4
9,richness2d,1
10,richness1d,5
10,richness2d,2
11,richness1d,5
11,richness2d,1
12,richness1d,6
12,richness2d,5
13,richness1d,9
13,richness2d,5
14,richness1d,11
14,richness2d,7
15,richness1d,11
15,richness2d,0
16,richness1d,11
16,richness2d,9
17,richness1d,12
17,richness2d,3
18,richness1d,12
18,richness2d,10
19,richness1d,12
19,richness2d,2
20,richness1d,14
20,richness2d,12
21,richness1d,14
21,richness2d,4
22,richness1d,14
22,richness2d,4
23,richness1d,15
23,richness2d,10
24,richness1d,15
24,richness2d,14
25,richness1d,15
25,richness2d,2
26,richness1d,16
26,richness2d,7
27,richness1d,16
27,richness2d,1
28,richness1d,16
28,richness2d,15
29,richness1d,16
29,richness2d,11
30,richness1d,17
30,richness2d,1
31,richness1d,17
31,richness2d,2
32,richness1d,17
32,richness2d,1
33,richness1d,18
33,richness2d,15
34,richness1d,18
34,richness2d,15
35,richness1d,19
35,richness2d,7
36,richness1d,19
36,richness2d,13
37,richness1d,20
37,richness2d,7
38,richness1d,20
38,richness2d,7
39,richness1d,20
39,richness2d,7
40,richness1d,20
40,richness2d,13
41,richness1d,20
41,richness2d,16
42,richness1d,20
42,richness2d,14
43,richness1d,20
43,richness2d,11
44,richness1d,20
44,richness2d,1
45,richness1d,22
45,richness2d,5
46,richness1d,22
46,richness2d,4
47,richness1d,22
47,richness2d,18
48,richness1d,22
48,richness2d,8
49,richness1d,22
49,richness2d,14
50,richness1d,22
50,richness2d,9
51,richness1d,23
51,richness2d,3
52,richness1d,23
52,richness2d,14
53,richness1d,23
53,richness2d,0
54,richness1d,23
54,richness2d,15
55,richness1d,24
55,richness2d,1
56,richness1d,24
56,richness2d,3
57,richness1d,24
57,richness2d,19
58,richness1d,25
58,richness2d,19
59,richness1d,25
59,richness2d,3
60,richness1d,25
60,richness2d,2
61,richness1d,25
61,richness2d,1
62,richness1d,25
62,richness2d,5
63,richness1d,26
63,richness2d,5
64,richness1d,27
64,richness2d,0
65,richness1d,27
65,richness2d,8
66,richness1d,27
66,richness2d,1
67,richness1d,27
67,richness2d,1
68,richness1d,27
68,richness2d,4
69,richness1d,27
69,richness2d,1
70,richness1d,27
70,richness2d,0
71,richness1d,27
71,richness2d,23
72,richness1d,27
72,richness2d,1
73,richness1d,27
73,richness2d,0
74,richness1d,27
74,richness2d,0
75,richness1d,27
75,richness2d,11
76,richness1d,27
76,richness2d,7
77,richness1d,26
77,richness2d,11
78,richness1d,27
78,richness2d,2
79,richness1d,27
79,richness2d,3
80,richness1d,27
80,richness2d,0
81,richness1d,27
81,richness2d,1
82,richness1d,27
82,richness2d,1
83,richness1d,27
83,richness2d,25
84,richness1d,27
84,richness2d,3
85,richness1d,27
85,richness2d,4
86,richness1d,27
86,richness2d,2
87,richness1d,27
87,richness2d,1
88,richness1d,27
88,richness2d,4
89,richness1d,27
89,richness2d,1
90,richness1d,27
90,richness2d,0
91,richness1d,27
91,richness2d,1
92,richness1d,28
92,richness2d,6
93,richness1d,28
93,richness2d,1
94,richness1d,28
94,richness2d,4
95,richness1d,29
95,richness2d,20
96,richness1d,30
96,richness2d,1
97,richness1d,30
97,richness2d,26
98,richness1d,30
98,richness2d,2
99,richness1d,31
99,richness2d,6
100,richness1d,31
100,richness2d,0
101,richness1d,31
101,richness2d,0
102,richness1d,31
102,richness2d,1
103,richness1d,31
103,richness2d,0
104,richness1d,31
104,richness2d,3
105,richness1d,31
105,richness2d,1
106,richness1d,32
106,richness2d,2
107,richness1d,32
107,richness2d,26
108,richness1d,32
108,richness2d,0
109,richness1d,32
109,richness2d,6
110,richness1d,32
110,richness2d,5
111,richness1d,32
111,richness2d,1
112,richness1d,32
112,richness2d,0
113,richness1d,32
113,richness2d,5
114,richness1d,32
114,richness2d,1
115,richness1d,32
115,richness2d,1
116,richness1d,32
116,richness2d,2
117,richness1d,32
117,richness2d,0
118,richness1d,32
118,richness2d,2
119,richness1d,32
119,richness2d,0
120,richness1d,32
120,richness2d,5
121,richness1d,32
121,richness2d,25
122,richness1d,32
122,richness2d,0
123,richness1d,32
123,richness2d,9
124,richness1d,32
124,richness2d,0
125,richness1d,32
125,richness2d,1
126,richness1d,32
126,richness2d,9
127,richness1d,32
127,richness2d,1
128,richness1d,32
128,richness2d,2
129,richness1d,32
129,richness2d,1
130,richness1d,32
130,richness2d,2
131,richness1d,32
131,richness2d,4
132,richness1d,32
132,richness2d,6
133,richness1d,32
133,richness2d,22
134,richness1d,32
134,richness2d,2
135,richness1d,32
135,richness2d,2
136,richness1d,32
136,richness2d,7
137,richness1d,32
137,richness2d,21
138,richness1d,32
138,richness2d,1
139,richness1d,32
139,richness2d,3
140,richness1d,32
140,richness2d,2
141,richness1d,32
141,richness2d,2
142,richness1d,32
142,richness2d,1
143,richness1d,32
143,richness2d,28
144,richness1d,32
144,richness2d,1
145,richness1d,32
145,richness2d,0
146,richness1d,32
146,richness2d,1
147,richness1d,32
147,richness2d,2
149,richness1d,32
149,richness2d,2
150,richness1d,32
150,richness2d,21
151,richness1d,32
151,richness2d,7
152,richness1d,32
152,richness2d,1
153,richness1d,32
153,richness2d,0
154,richness1d,32
154,richness2d,0
155,richness1d,32
155,richness2d,5
156,richness1d,32
156,richness2d,1
157,richness1d,32
157,richness2d,2
158,richness1d,32
158,richness2d,7
159,richness1d,32
159,richness2d,1
160,richness1d,32
160,richness2d,2
161,richness1d,30
161,richness2d,0
162,richness1d,30
162,richness2d,0
163,richness1d,30
163,richness2d,0
164,richness1d,30
164,richness2d,4
165,richness1d,30
165,richness2d,2
166,richness1d,30
166,richness2d,1
167,richness1d,30
167,richness2d,1
168,richness1d,30
168,richness2d,0
169,richness1d,30
169,richness2d,1
170,richness1d,30
170,richness2d,0
171,richness1d,30
171,richness2d,1
172,richness1d,30
172,richness2d,1
173,richness1d,30
173,richness2d,2
174,richness1d,30
174,richness2d,0
176,richness1d,30
176,richness2d,0
177,richness1d,30
177,richness2d,2
178,richness1d,30
178,richness2d,0
179,richness1d,30
179,richness2d,1
180,richness1d,30
180,richness2d,5
181,richness1d,30
181,richness2d,0
182,richness1d,30
182,richness2d,0
183,richness1d,30
183,richness2d,0
184,richness1d,30
184,richness2d,0
186,richness1d,29
186,richness2d,1
