"","ocean","dimension","type","species","mid","area","...7","...8","...9","mid_long_adjust","...11","...12","...13"
"1","atl","latitude","lat_geog_range","Abyssopathes lyra",14.1437794997,35758119752400,NA,NA,NA,NA,NA,NA,NA
"2","atl","latitude","lat_planar_range","Abyssopathes lyra",14.1437794997,71516258372400,NA,NA,NA,NA,NA,NA,NA
"3","atl","latitude","lat_range","Abyssopathes lyra",14.1437794997,9818464.354768,NA,NA,NA,NA,NA,NA,NA
"4","atl","latitude","lat_geog_range","Acanthopathes thyoides",20.3608829295,3147771142790,NA,NA,NA,NA,NA,NA,NA
"5","atl","latitude","lat_planar_range","Acanthopathes thyoides",20.3608829295,6295719667590,NA,NA,NA,NA,NA,NA,NA
"6","atl","latitude","lat_range","Acanthopathes thyoides",20.3608829295,1781211.626395,NA,NA,NA,NA,NA,NA,NA
"7","atl","latitude","lat_geog_range","Allopathes desbonni",21.8417618089,1453103251550,NA,NA,NA,NA,NA,NA,NA
"8","atl","latitude","lat_planar_range","Allopathes desbonni",21.8417618089,2906214048410,NA,NA,NA,NA,NA,NA,NA
"9","atl","latitude","lat_range","Allopathes desbonni",21.8417618089,1887953.701246,NA,NA,NA,NA,NA,NA,NA
"10","atl","latitude","lat_geog_range","Alternatipathes alternata",1.9508674130183,34105479055200,NA,NA,NA,NA,NA,NA,NA
"11","atl","latitude","lat_planar_range","Alternatipathes alternata",1.9508674130183,68211154605300,NA,NA,NA,NA,NA,NA,NA
"12","atl","latitude","lat_range","Alternatipathes alternata",1.9508674130183,14133660.550034,NA,NA,NA,NA,NA,NA,NA
"13","atl","latitude","lat_geog_range","Antipathella subpinnata",39.4450274172,9873012393810,NA,NA,NA,NA,NA,NA,NA
"14","atl","latitude","lat_planar_range","Antipathella subpinnata",39.4450274172,19746066432400,NA,NA,NA,NA,NA,NA,NA
"15","atl","latitude","lat_range","Antipathella subpinnata",39.4450274172,2739637.220285,NA,NA,NA,NA,NA,NA,NA
"16","atl","latitude","lat_geog_range","Antipathella wollastoni",22.7487134786,22280834755300,NA,NA,NA,NA,NA,NA,NA
"17","atl","latitude","lat_planar_range","Antipathella wollastoni",22.7487134786,44561916808500,NA,NA,NA,NA,NA,NA,NA
"18","atl","latitude","lat_range","Antipathella wollastoni",22.7487134786,5583838.72126,NA,NA,NA,NA,NA,NA,NA
"19","atl","latitude","lat_geog_range","Antipathes atlantica",14.3513944895,13993315934800,NA,NA,NA,NA,NA,NA,NA
"20","atl","latitude","lat_planar_range","Antipathes atlantica",14.3513944895,27986638451100,NA,NA,NA,NA,NA,NA,NA
"21","atl","latitude","lat_range","Antipathes atlantica",14.3513944895,5897412.62297,NA,NA,NA,NA,NA,NA,NA
"22","atl","latitude","lat_geog_range","Antipathes caribbeana",16.5421021222,3488772887110,NA,NA,NA,NA,NA,NA,NA
