"","lat","rich_lat","rich_geog","rich_2d"
"1",-71.5,1,0,0
"2",-70.5,2,1,0
"3",-69.5,2,1,0
"4",-68.5,2,1,0
"5",-67.5,3,1,1
"6",-66.5,3,1,1
"7",-65.5,3,1,1
"8",-64.5,3,2,1
"9",-63.5,3,2,1
"10",-62.5,4,3,2
"11",-61.5,4,3,2
"12",-60.5,4,3,2
"13",-59.5,4,3,2
"14",-58.5,4,3,2
"15",-57.5,4,3,2
"16",-56.5,4,3,2
"17",-55.5,4,2,2
"18",-54.5,4,2,2
"19",-53.5,5,3,3
"20",-52.5,5,3,2
"21",-51.5,5,3,3
"22",-50.5,5,3,3
"23",-49.5,5,3,3
"24",-48.5,5,3,2
"25",-47.5,5,3,2
"26",-46.5,5,3,2
"27",-45.5,5,3,2
"28",-44.5,4,3,2
"29",-43.5,5,3,2
"30",-42.5,5,3,2
"31",-41.5,5,3,2
"32",-40.5,5,3,2
"33",-39.5,4,3,2
"34",-38.5,4,3,2
"35",-37.5,4,3,2
"36",-36.5,4,3,2
"37",-35.5,4,3,2
"38",-34.5,4,3,2
"39",-33.5,4,3,3
"40",-32.5,5,3,3
"41",-31.5,5,3,3
"42",-30.5,5,3,3
"43",-29.5,5,3,3
"44",-28.5,5,3,3
"45",-27.5,5,3,3
"46",-26.5,5,3,3
"47",-25.5,5,3,3
"48",-24.5,5,3,2
"49",-23.5,5,3,2
"50",-22.5,8,4,3
"51",-21.5,9,5,2
"52",-20.5,10,5,3
"53",-19.5,9,6,4
"54",-18.5,10,7,4
"55",-17.5,11,7,4
"56",-16.5,12,7,4
"57",-15.5,12,7,3
"58",-14.5,12,7,3
"59",-13.5,12,8,3
"60",-12.5,12,8,3
"61",-11.5,12,8,2
"62",-10.5,12,9,2
"63",-9.5,12,9,2
"64",-8.5,12,9,3
"65",-7.5,15,9,4
"66",-6.5,15,9,2
"67",-5.5,15,9,2
"68",-4.5,16,10,2
"69",-3.5,15,9,3
"70",-2.5,15,9,3
"71",-1.5,16,10,3
"72",-0.5,16,10,4
"73",0.5,16,9,5
"74",1.5,16,9,5
"75",2.5,17,10,6
"76",3.5,18,11,7
"77",4.5,17,12,7
"78",5.5,18,12,9
"79",6.5,19,13,8
"80",7.5,19,13,8
"81",8.5,20,15,10
"82",9.5,24,16,10
"83",10.5,29,20,11
"84",11.5,30,22,15
"85",12.5,32,26,19
"86",13.5,39,29,9
"87",14.5,41,31,7
"88",15.5,45,33,12
"89",16.5,46,35,21
"90",17.5,49,36,16
"91",18.5,52,37,21
"92",19.5,51,37,4
"93",20.5,51,37,10
"94",21.5,51,38,25
"95",22.5,51,38,18
"96",23.5,49,36,28
"97",24.5,48,35,25
"98",25.5,45,35,23
"99",26.5,48,32,24
"100",27.5,49,33,22
"101",28.5,40,23,18
"102",29.5,35,22,18
"103",30.5,35,21,12
"104",31.5,32,16,10
"105",32.5,27,12,6
"106",33.5,26,12,6
"107",34.5,23,12,6
"108",35.5,24,12,7
"109",36.5,24,12,7
"110",37.5,24,12,7
"111",38.5,23,11,7
"112",39.5,19,10,7
"113",40.5,16,10,7
"114",41.5,16,10,4
"115",42.5,16,9,6
"116",43.5,15,9,6
"117",44.5,12,8,3
"118",45.5,13,8,3
"119",46.5,11,7,4
"120",47.5,10,5,4
"121",48.5,8,5,4
"122",49.5,7,5,4
"123",50.5,7,5,3
"124",51.5,7,4,3
"125",52.5,7,3,2
"126",53.5,7,3,2
"127",54.5,7,3,2
"128",55.5,6,3,3
"129",56.5,6,3,3
"130",57.5,6,3,3
"131",58.5,5,3,3
"132",59.5,4,3,3
"133",60.5,2,1,1
"134",61.5,2,1,0
"135",62.5,2,1,1
"136",63.5,2,1,1
"137",64.5,2,1,1
"138",65.5,2,1,1
"139",66.5,2,1,1
"140",67.5,2,1,1
"141",68.5,2,1,1
