"","X1","lat","variable","value"
"1",1,-71.5,"rich_lat",1
"2",2,-70.5,"rich_lat",2
"3",3,-69.5,"rich_lat",2
"4",4,-68.5,"rich_lat",2
"5",5,-67.5,"rich_lat",3
"6",6,-66.5,"rich_lat",3
"7",7,-65.5,"rich_lat",3
"8",8,-64.5,"rich_lat",3
"9",9,-63.5,"rich_lat",3
"10",10,-62.5,"rich_lat",4
"11",11,-61.5,"rich_lat",4
"12",12,-60.5,"rich_lat",4
"13",13,-59.5,"rich_lat",4
"14",14,-58.5,"rich_lat",4
"15",15,-57.5,"rich_lat",4
"16",16,-56.5,"rich_lat",4
"17",17,-55.5,"rich_lat",4
"18",18,-54.5,"rich_lat",4
"19",19,-53.5,"rich_lat",5
"20",20,-52.5,"rich_lat",5
"21",21,-51.5,"rich_lat",5
"22",22,-50.5,"rich_lat",5
"23",23,-49.5,"rich_lat",5
"24",24,-48.5,"rich_lat",5
"25",25,-47.5,"rich_lat",5
"26",26,-46.5,"rich_lat",5
"27",27,-45.5,"rich_lat",5
"28",28,-44.5,"rich_lat",4
"29",29,-43.5,"rich_lat",5
"30",30,-42.5,"rich_lat",5
"31",31,-41.5,"rich_lat",5
"32",32,-40.5,"rich_lat",5
"33",33,-39.5,"rich_lat",4
"34",34,-38.5,"rich_lat",4
"35",35,-37.5,"rich_lat",4
"36",36,-36.5,"rich_lat",4
"37",37,-35.5,"rich_lat",4
"38",38,-34.5,"rich_lat",4
"39",39,-33.5,"rich_lat",4
"40",40,-32.5,"rich_lat",5
"41",41,-31.5,"rich_lat",5
"42",42,-30.5,"rich_lat",5
"43",43,-29.5,"rich_lat",5
"44",44,-28.5,"rich_lat",5
"45",45,-27.5,"rich_lat",5
"46",46,-26.5,"rich_lat",5
"47",47,-25.5,"rich_lat",5
"48",48,-24.5,"rich_lat",5
"49",49,-23.5,"rich_lat",5
"50",50,-22.5,"rich_lat",8
"51",51,-21.5,"rich_lat",9
"52",52,-20.5,"rich_lat",10
"53",53,-19.5,"rich_lat",9
"54",54,-18.5,"rich_lat",10
"55",55,-17.5,"rich_lat",11
"56",56,-16.5,"rich_lat",12
"57",57,-15.5,"rich_lat",12
"58",58,-14.5,"rich_lat",12
"59",59,-13.5,"rich_lat",12
"60",60,-12.5,"rich_lat",12
"61",61,-11.5,"rich_lat",12
"62",62,-10.5,"rich_lat",12
"63",63,-9.5,"rich_lat",12
"64",64,-8.5,"rich_lat",12
"65",65,-7.5,"rich_lat",15
"66",66,-6.5,"rich_lat",15
"67",67,-5.5,"rich_lat",15
"68",68,-4.5,"rich_lat",16
"69",69,-3.5,"rich_lat",15
"70",70,-2.5,"rich_lat",15
"71",71,-1.5,"rich_lat",16
"72",72,-0.5,"rich_lat",16
"73",73,0.5,"rich_lat",16
"74",74,1.5,"rich_lat",16
"75",75,2.5,"rich_lat",17
"76",76,3.5,"rich_lat",18
"77",77,4.5,"rich_lat",17
"78",78,5.5,"rich_lat",18
"79",79,6.5,"rich_lat",19
"80",80,7.5,"rich_lat",19
"81",81,8.5,"rich_lat",20
"82",82,9.5,"rich_lat",24
"83",83,10.5,"rich_lat",29
"84",84,11.5,"rich_lat",30
"85",85,12.5,"rich_lat",32
"86",86,13.5,"rich_lat",39
"87",87,14.5,"rich_lat",41
"88",88,15.5,"rich_lat",45
"89",89,16.5,"rich_lat",46
"90",90,17.5,"rich_lat",49
"91",91,18.5,"rich_lat",52
"92",92,19.5,"rich_lat",51
"93",93,20.5,"rich_lat",51
"94",94,21.5,"rich_lat",51
"95",95,22.5,"rich_lat",51
"96",96,23.5,"rich_lat",49
"97",97,24.5,"rich_lat",48
"98",98,25.5,"rich_lat",45
"99",99,26.5,"rich_lat",48
"100",100,27.5,"rich_lat",49
"101",101,28.5,"rich_lat",40
"102",102,29.5,"rich_lat",35
"103",103,30.5,"rich_lat",35
"104",104,31.5,"rich_lat",32
"105",105,32.5,"rich_lat",27
"106",106,33.5,"rich_lat",26
"107",107,34.5,"rich_lat",23
"108",108,35.5,"rich_lat",24
"109",109,36.5,"rich_lat",24
"110",110,37.5,"rich_lat",24
"111",111,38.5,"rich_lat",23
"112",112,39.5,"rich_lat",19
"113",113,40.5,"rich_lat",16
"114",114,41.5,"rich_lat",16
"115",115,42.5,"rich_lat",16
"116",116,43.5,"rich_lat",15
"117",117,44.5,"rich_lat",12
"118",118,45.5,"rich_lat",13
"119",119,46.5,"rich_lat",11
"120",120,47.5,"rich_lat",10
"121",121,48.5,"rich_lat",8
"122",122,49.5,"rich_lat",7
"123",123,50.5,"rich_lat",7
"124",124,51.5,"rich_lat",7
"125",125,52.5,"rich_lat",7
"126",126,53.5,"rich_lat",7
"127",127,54.5,"rich_lat",7
"128",128,55.5,"rich_lat",6
"129",129,56.5,"rich_lat",6
"130",130,57.5,"rich_lat",6
"131",131,58.5,"rich_lat",5
"132",132,59.5,"rich_lat",4
"133",133,60.5,"rich_lat",2
"134",134,61.5,"rich_lat",2
"135",135,62.5,"rich_lat",2
"136",136,63.5,"rich_lat",2
"137",137,64.5,"rich_lat",2
"138",138,65.5,"rich_lat",2
"139",139,66.5,"rich_lat",2
"140",140,67.5,"rich_lat",2
"141",141,68.5,"rich_lat",2
"142",1,-71.5,"rich_geog",0
"143",2,-70.5,"rich_geog",1
"144",3,-69.5,"rich_geog",1
"145",4,-68.5,"rich_geog",1
"146",5,-67.5,"rich_geog",1
"147",6,-66.5,"rich_geog",1
"148",7,-65.5,"rich_geog",1
"149",8,-64.5,"rich_geog",2
"150",9,-63.5,"rich_geog",2
"151",10,-62.5,"rich_geog",3
"152",11,-61.5,"rich_geog",3
"153",12,-60.5,"rich_geog",3
"154",13,-59.5,"rich_geog",3
"155",14,-58.5,"rich_geog",3
"156",15,-57.5,"rich_geog",3
"157",16,-56.5,"rich_geog",3
"158",17,-55.5,"rich_geog",2
"159",18,-54.5,"rich_geog",2
"160",19,-53.5,"rich_geog",3
"161",20,-52.5,"rich_geog",3
"162",21,-51.5,"rich_geog",3
"163",22,-50.5,"rich_geog",3
"164",23,-49.5,"rich_geog",3
"165",24,-48.5,"rich_geog",3
"166",25,-47.5,"rich_geog",3
"167",26,-46.5,"rich_geog",3
"168",27,-45.5,"rich_geog",3
"169",28,-44.5,"rich_geog",3
"170",29,-43.5,"rich_geog",3
"171",30,-42.5,"rich_geog",3
"172",31,-41.5,"rich_geog",3
"173",32,-40.5,"rich_geog",3
"174",33,-39.5,"rich_geog",3
"175",34,-38.5,"rich_geog",3
"176",35,-37.5,"rich_geog",3
"177",36,-36.5,"rich_geog",3
"178",37,-35.5,"rich_geog",3
"179",38,-34.5,"rich_geog",3
"180",39,-33.5,"rich_geog",3
"181",40,-32.5,"rich_geog",3
"182",41,-31.5,"rich_geog",3
"183",42,-30.5,"rich_geog",3
"184",43,-29.5,"rich_geog",3
"185",44,-28.5,"rich_geog",3
