lat,type,rich
-71.5,rich_lat,1
-71.5,rich_geog,0
-71.5,rich_2d,0
-70.5,rich_lat,2
-70.5,rich_geog,1
-70.5,rich_2d,0
-69.5,rich_lat,2
-69.5,rich_geog,1
-69.5,rich_2d,0
-68.5,rich_lat,2
-68.5,rich_geog,1
-68.5,rich_2d,0
-67.5,rich_lat,3
-67.5,rich_geog,1
-67.5,rich_2d,1
-66.5,rich_lat,3
-66.5,rich_geog,1
-66.5,rich_2d,1
-65.5,rich_lat,3
-65.5,rich_geog,1
-65.5,rich_2d,1
-64.5,rich_lat,3
-64.5,rich_geog,2
-64.5,rich_2d,1
-63.5,rich_lat,3
-63.5,rich_geog,2
-63.5,rich_2d,1
-62.5,rich_lat,4
-62.5,rich_geog,3
-62.5,rich_2d,2
-61.5,rich_lat,4
-61.5,rich_geog,3
-61.5,rich_2d,2
-60.5,rich_lat,4
-60.5,rich_geog,3
-60.5,rich_2d,2
-59.5,rich_lat,4
-59.5,rich_geog,3
-59.5,rich_2d,2
-58.5,rich_lat,4
-58.5,rich_geog,3
-58.5,rich_2d,2
-57.5,rich_lat,4
-57.5,rich_geog,3
-57.5,rich_2d,2
-56.5,rich_lat,4
-56.5,rich_geog,3
-56.5,rich_2d,2
-55.5,rich_lat,4
-55.5,rich_geog,2
-55.5,rich_2d,2
-54.5,rich_lat,4
-54.5,rich_geog,2
-54.5,rich_2d,2
-53.5,rich_lat,5
-53.5,rich_geog,3
-53.5,rich_2d,3
-52.5,rich_lat,5
-52.5,rich_geog,3
-52.5,rich_2d,2
-51.5,rich_lat,5
-51.5,rich_geog,3
-51.5,rich_2d,3
-50.5,rich_lat,5
-50.5,rich_geog,3
-50.5,rich_2d,3
-49.5,rich_lat,5
-49.5,rich_geog,3
-49.5,rich_2d,3
-48.5,rich_lat,5
-48.5,rich_geog,3
-48.5,rich_2d,2
-47.5,rich_lat,5
-47.5,rich_geog,3
-47.5,rich_2d,2
-46.5,rich_lat,5
-46.5,rich_geog,3
-46.5,rich_2d,2
-45.5,rich_lat,5
-45.5,rich_geog,3
-45.5,rich_2d,2
-44.5,rich_lat,4
-44.5,rich_geog,3
-44.5,rich_2d,2
-43.5,rich_lat,5
-43.5,rich_geog,3
-43.5,rich_2d,2
-42.5,rich_lat,5
-42.5,rich_geog,3
-42.5,rich_2d,2
-41.5,rich_lat,5
-41.5,rich_geog,3
-41.5,rich_2d,2
-40.5,rich_lat,5
-40.5,rich_geog,3
-40.5,rich_2d,2
-39.5,rich_lat,4
-39.5,rich_geog,3
-39.5,rich_2d,2
-38.5,rich_lat,4
-38.5,rich_geog,3
-38.5,rich_2d,2
-37.5,rich_lat,4
-37.5,rich_geog,3
-37.5,rich_2d,2
-36.5,rich_lat,4
-36.5,rich_geog,3
-36.5,rich_2d,2
-35.5,rich_lat,4
-35.5,rich_geog,3
-35.5,rich_2d,2
-34.5,rich_lat,4
-34.5,rich_geog,3
-34.5,rich_2d,2
-33.5,rich_lat,4
-33.5,rich_geog,3
-33.5,rich_2d,3
-32.5,rich_lat,5
-32.5,rich_geog,3
-32.5,rich_2d,3
-31.5,rich_lat,5
-31.5,rich_geog,3
-31.5,rich_2d,3
-30.5,rich_lat,5
-30.5,rich_geog,3
-30.5,rich_2d,3
-29.5,rich_lat,5
-29.5,rich_geog,3
-29.5,rich_2d,3
-28.5,rich_lat,5
-28.5,rich_geog,3
-28.5,rich_2d,3
-27.5,rich_lat,5
-27.5,rich_geog,3
