"","ocean","dimension","type","species","mid","area","...7","...8","...9","mid_long_adjust","...11","...12","...13"
"1","atl","longitude","long_geog_range","Abyssopathes lyra",-25.4050183256,35758119752400,NA,NA,NA,NA,NA,NA,NA
"2","atl","longitude","long_planar_range","Abyssopathes lyra",-25.4050183256,71516258372400,NA,NA,NA,NA,NA,NA,NA
"3","atl","longitude","long_range","Abyssopathes lyra",-25.4050183256,8265839.54572,NA,NA,NA,NA,NA,NA,NA
"4","atl","longitude","long_geog_range","Acanthopathes thyoides",-79.2846519756,3147771142790,NA,NA,NA,NA,NA,NA,NA
"5","atl","longitude","long_planar_range","Acanthopathes thyoides",-79.2846519756,6295719667590,NA,NA,NA,NA,NA,NA,NA
"6","atl","longitude","long_range","Acanthopathes thyoides",-79.2846519756,3953002.540172,NA,NA,NA,NA,NA,NA,NA
"7","atl","longitude","long_geog_range","Allopathes desbonni",-79.0149975271,1453103251550,NA,NA,NA,NA,NA,NA,NA
"8","atl","longitude","long_planar_range","Allopathes desbonni",-79.0149975271,2906214048410,NA,NA,NA,NA,NA,NA,NA
"9","atl","longitude","long_range","Allopathes desbonni",-79.0149975271,4183134.436684,NA,NA,NA,NA,NA,NA,NA
"10","atl","longitude","long_geog_range","Alternatipathes alternata",-59.8818973695,34105479055200,NA,NA,NA,NA,NA,NA,NA
"11","atl","longitude","long_planar_range","Alternatipathes alternata",-59.8818973695,68211154605300,NA,NA,NA,NA,NA,NA,NA
"12","atl","longitude","long_range","Alternatipathes alternata",-59.8818973695,5161765.787549,NA,NA,NA,NA,NA,NA,NA
"13","atl","longitude","long_geog_range","Antipathella subpinnata",-5.075315029,9873012393810,NA,NA,NA,NA,NA,NA,NA
"14","atl","longitude","long_planar_range","Antipathella subpinnata",-5.075315029,19746066432400,NA,NA,NA,NA,NA,NA,NA
"15","atl","longitude","long_range","Antipathella subpinnata",-5.075315029,6662827.746348,NA,NA,NA,NA,NA,NA,NA
"16","atl","longitude","long_geog_range","Antipathella wollastoni",-2.77995975952,22280834755300,NA,NA,NA,NA,NA,NA,NA
"17","atl","longitude","long_planar_range","Antipathella wollastoni",-2.77995975952,44561916808500,NA,NA,NA,NA,NA,NA,NA
"18","atl","longitude","long_range","Antipathella wollastoni",-2.77995975952,7477478.585465,NA,NA,NA,NA,NA,NA,NA
"19","atl","longitude","long_geog_range","Antipathes atlantica",-67.6077637369,13993315934800,NA,NA,NA,NA,NA,NA,NA
"20","atl","longitude","long_planar_range","Antipathes atlantica",-67.6077637369,27986638451100,NA,NA,NA,NA,NA,NA,NA
"21","atl","longitude","long_range","Antipathes atlantica",-67.6077637369,6700847.359956,NA,NA,NA,NA,NA,NA,NA
"22","atl","longitude","long_geog_range","Antipathes caribbeana",-75.3438289137,3488772887110,NA,NA,NA,NA,NA,NA,NA
"23","atl","longitude","long_planar_range","Antipathes caribbeana",-75.3438289137,6977546002740,NA,NA,NA,NA,NA,NA,NA
"24","atl","longitude","long_range","Antipathes caribbeana",-75.3438289137,3218246.924112,NA,NA,NA,NA,NA,NA,NA
"25","atl","longitude","long_geog_range","Antipathes dichotoma",-2.49956666667,6503217738440,NA,NA,NA,NA,NA,NA,NA
"26","atl","longitude","long_planar_range","Antipathes dichotoma",-2.49956666667,13006455950500,NA,NA,NA,NA,NA,NA,NA
"27","atl","longitude","long_range","Antipathes dichotoma",-2.49956666667,6275224.411355,NA,NA,NA,NA,NA,NA,NA
"28","atl","longitude","long_geog_range","Antipathes furcata",-52.6300753459,28248871757800,NA,NA,NA,NA,NA,NA,NA
"29","atl","longitude","long_planar_range","Antipathes furcata",-52.6300753459,56497764832600,NA,NA,NA,NA,NA,NA,NA
"30","atl","longitude","long_range","Antipathes furcata",-52.6300753459,8853286.524892,NA,NA,NA,NA,NA,NA,NA
"31","atl","longitude","long_geog_range","Antipathes gracilis",-45.0613100157,30039292929200,NA,NA,NA,NA,NA,NA,NA
"32","atl","longitude","long_planar_range","Antipathes gracilis",-45.0613100157,60078592490100,NA,NA,NA,NA,NA,NA,NA
"33","atl","longitude","long_range","Antipathes gracilis",-45.0613100157,11527711.910357,NA,NA,NA,NA,NA,NA,NA
