"","ocean","dimension","type","species","mid","area","...7","...8","...9","mid_long_adjust","...11","...12","...13"
"1","atl","longitude","long_geog_range","Abyssopathes lyra",-25.4050183256,13.55337467448,NA,NA,NA,NA,NA,NA,NA
"2","atl","longitude","long_planar_range","Abyssopathes lyra",-25.4050183256,13.8544047847206,NA,NA,NA,NA,NA,NA,NA
"3","atl","longitude","long_range","Abyssopathes lyra",-25.4050183256,6.91728697061848,NA,NA,NA,NA,NA,NA,NA
"4","atl","longitude","long_geog_range","Acanthopathes thyoides",-79.2846519756,12.4980031496602,NA,NA,NA,NA,NA,NA,NA
"5","atl","longitude","long_planar_range","Acanthopathes thyoides",-79.2846519756,12.7990453817511,NA,NA,NA,NA,NA,NA,NA
"6","atl","longitude","long_range","Acanthopathes thyoides",-79.2846519756,6.59692709341768,NA,NA,NA,NA,NA,NA,NA
"7","atl","longitude","long_geog_range","Allopathes desbonni",-79.0149975271,12.1622964745769,NA,NA,NA,NA,NA,NA,NA
"8","atl","longitude","long_planar_range","Allopathes desbonni",-79.0149975271,12.4633275977872,NA,NA,NA,NA,NA,NA,NA
"9","atl","longitude","long_range","Allopathes desbonni",-79.0149975271,6.62150182206852,NA,NA,NA,NA,NA,NA,NA
"10","atl","longitude","long_geog_range","Alternatipathes alternata",-59.8818973695,13.5328241541331,NA,NA,NA,NA,NA,NA,NA
"11","atl","longitude","long_planar_range","Alternatipathes alternata",-59.8818973695,13.8338554008648,NA,NA,NA,NA,NA,NA,NA
"12","atl","longitude","long_range","Alternatipathes alternata",-59.8818973695,6.71279829476757,NA,NA,NA,NA,NA,NA,NA
"13","atl","longitude","long_geog_range","Antipathella subpinnata",-5.075315029,12.9944496821938,NA,NA,NA,NA,NA,NA,NA
"14","atl","longitude","long_planar_range","Antipathella subpinnata",-5.075315029,13.295480593793,NA,NA,NA,NA,NA,NA,NA
"15","atl","longitude","long_range","Antipathella subpinnata",-5.075315029,6.8236585856263,NA,NA,NA,NA,NA,NA,NA
"16","atl","longitude","long_geog_range","Antipathella wollastoni",-2.77995975952,13.3479314577238,NA,NA,NA,NA,NA,NA,NA
"17","atl","longitude","long_planar_range","Antipathella wollastoni",-2.77995975952,13.6489638635268,NA,NA,NA,NA,NA,NA,NA
"18","atl","longitude","long_range","Antipathella wollastoni",-2.77995975952,6.87375517794171,NA,NA,NA,NA,NA,NA,NA
"19","atl","longitude","long_geog_range","Antipathes atlantica",-67.6077637369,13.1459206395488,NA,NA,NA,NA,NA,NA,NA
"20","atl","longitude","long_planar_range","Antipathes atlantica",-67.6077637369,13.4469507373439,NA,NA,NA,NA,NA,NA,NA
"21","atl","longitude","long_range","Antipathes atlantica",-67.6077637369,6.82612972516113,NA,NA,NA,NA,NA,NA,NA
