"","long","rich_long","rich_geog","rich_2d"
"1",-97.5,2,1,1
"2",-96.5,13,12,11
"3",-95.5,25,20,8
"4",-94.5,26,25,9
"5",-93.5,26,25,12
"6",-92.5,29,28,13
"7",-91.5,32,31,15
"8",-90.5,35,33,13
"9",-89.5,35,32,14
"10",-88.5,37,32,26
"11",-87.5,39,33,28
"12",-86.5,40,35,19
"13",-85.5,40,35,18
"14",-84.5,40,35,24
"15",-83.5,40,35,23
"16",-82.5,41,37,15
"17",-81.5,43,36,25
"18",-80.5,42,37,18
"19",-79.5,43,37,26
"20",-78.5,44,38,14
"21",-77.5,43,37,14
"22",-76.5,44,38,5
"23",-75.5,44,37,15
"24",-74.5,44,37,10
"25",-73.5,44,36,12
"26",-72.5,44,37,9
"27",-71.5,44,37,25
"28",-70.5,43,37,19
"29",-69.5,42,36,6
"30",-68.5,45,36,13
"31",-67.5,44,35,4
"32",-66.5,44,35,20
"33",-65.5,42,34,21
"34",-64.5,44,33,8
"35",-63.5,45,31,14
"36",-62.5,43,28,15
"37",-61.5,44,28,13
"38",-60.5,38,27,11
"39",-59.5,33,16,10
"40",-58.5,33,16,10
"41",-57.5,32,16,8
"42",-56.5,32,15,8
"43",-55.5,33,13,7
"44",-54.5,31,12,7
"45",-53.5,32,12,8
"46",-52.5,31,11,8
"47",-51.5,30,11,9
"48",-50.5,30,11,7
"49",-49.5,32,11,7
"50",-48.5,28,10,6
"51",-47.5,28,10,6
"52",-46.5,28,10,5
"53",-45.5,29,10,4
"54",-44.5,30,10,3
"55",-43.5,28,10,3
"56",-42.5,28,10,3
"57",-41.5,29,11,3
"58",-40.5,29,11,4
"59",-39.5,26,11,4
"60",-38.5,25,11,4
"61",-37.5,26,11,3
"62",-36.5,24,11,3
"63",-35.5,23,11,4
"64",-34.5,24,11,5
"65",-33.5,24,11,5
"66",-32.5,24,10,4
"67",-31.5,22,11,4
"68",-30.5,22,11,6
"69",-29.5,22,11,4
"70",-28.5,22,11,5
"71",-27.5,25,12,5
"72",-26.5,24,12,5
"73",-25.5,24,12,7
"74",-24.5,23,12,6
"75",-23.5,24,12,6
"76",-22.5,22,12,2
"77",-21.5,22,12,2
"78",-20.5,23,13,3
"79",-19.5,22,12,6
"80",-18.5,21,12,4
"81",-17.5,20,12,6
"82",-16.5,18,11,6
"83",-15.5,18,12,7
"84",-14.5,18,12,5
"85",-13.5,18,12,6
"86",-12.5,18,12,6
"87",-11.5,17,12,6
"88",-10.5,16,10,5
"89",-9.5,15,10,7
"90",-8.5,16,10,5
"91",-7.5,14,9,6
"92",-6.5,14,9,7
"93",-5.5,14,8,3
"94",-4.5,14,8,7
"95",-3.5,13,8,6
"96",-2.5,12,8,7
"97",-1.5,11,7,6
"98",-0.5,11,6,2
"99",0.5,11,6,5
"100",1.5,11,6,4
"101",2.5,12,6,2
"102",3.5,11,5,4
"103",4.5,11,5,3
"104",5.5,10,5,2
"105",6.5,9,5,2
"106",7.5,9,5,2
"107",8.5,9,5,4
"108",9.5,9,5,5
"109",10.5,8,5,5
"110",11.5,8,5,5
"111",12.5,8,5,5
"112",13.5,8,5,3
"113",14.5,8,5,4
"114",15.5,8,5,4
"115",16.5,7,4,2
"116",17.5,7,4,1
"117",18.5,7,4,1
"118",19.5,7,4,2
"119",20.5,6,4,3
"120",21.5,6,4,4
"121",22.5,6,4,2
"122",23.5,6,3,3
"123",24.5,6,3,3
"124",25.5,6,3,3
"125",26.5,5,2,2
"126",27.5,4,2,1
"127",28.5,3,1,0
"128",29.5,3,1,1
"129",30.5,3,1,1
"130",31.5,3,1,1
"131",32.5,3,1,1
"132",33.5,3,1,1
"133",34.5,3,1,1
"134",35.5,3,1,1
"135",36.5,3,1,0
"136",37.5,3,1,0
"137",38.5,3,1,0
"138",39.5,2,1,0
