"","X1","long","variable","value"
"1",1,-97.5,"rich_long",2
"2",2,-96.5,"rich_long",13
"3",3,-95.5,"rich_long",25
"4",4,-94.5,"rich_long",26
"5",5,-93.5,"rich_long",26
"6",6,-92.5,"rich_long",29
"7",7,-91.5,"rich_long",32
"8",8,-90.5,"rich_long",35
"9",9,-89.5,"rich_long",35
"10",10,-88.5,"rich_long",37
"11",11,-87.5,"rich_long",39
"12",12,-86.5,"rich_long",40
"13",13,-85.5,"rich_long",40
"14",14,-84.5,"rich_long",40
"15",15,-83.5,"rich_long",40
"16",16,-82.5,"rich_long",41
"17",17,-81.5,"rich_long",43
"18",18,-80.5,"rich_long",42
"19",19,-79.5,"rich_long",43
"20",20,-78.5,"rich_long",44
"21",21,-77.5,"rich_long",43
"22",22,-76.5,"rich_long",44
"23",23,-75.5,"rich_long",44
"24",24,-74.5,"rich_long",44
"25",25,-73.5,"rich_long",44
"26",26,-72.5,"rich_long",44
"27",27,-71.5,"rich_long",44
"28",28,-70.5,"rich_long",43
"29",29,-69.5,"rich_long",42
"30",30,-68.5,"rich_long",45
"31",31,-67.5,"rich_long",44
"32",32,-66.5,"rich_long",44
"33",33,-65.5,"rich_long",42
"34",34,-64.5,"rich_long",44
"35",35,-63.5,"rich_long",45
"36",36,-62.5,"rich_long",43
"37",37,-61.5,"rich_long",44
"38",38,-60.5,"rich_long",38
"39",39,-59.5,"rich_long",33
"40",40,-58.5,"rich_long",33
"41",41,-57.5,"rich_long",32
"42",42,-56.5,"rich_long",32
"43",43,-55.5,"rich_long",33
"44",44,-54.5,"rich_long",31
"45",45,-53.5,"rich_long",32
"46",46,-52.5,"rich_long",31
"47",47,-51.5,"rich_long",30
"48",48,-50.5,"rich_long",30
"49",49,-49.5,"rich_long",32
"50",50,-48.5,"rich_long",28
"51",51,-47.5,"rich_long",28
"52",52,-46.5,"rich_long",28
"53",53,-45.5,"rich_long",29
"54",54,-44.5,"rich_long",30
"55",55,-43.5,"rich_long",28
"56",56,-42.5,"rich_long",28
"57",57,-41.5,"rich_long",29
"58",58,-40.5,"rich_long",29
"59",59,-39.5,"rich_long",26
"60",60,-38.5,"rich_long",25
"61",61,-37.5,"rich_long",26
"62",62,-36.5,"rich_long",24
"63",63,-35.5,"rich_long",23
"64",64,-34.5,"rich_long",24
"65",65,-33.5,"rich_long",24
"66",66,-32.5,"rich_long",24
"67",67,-31.5,"rich_long",22
"68",68,-30.5,"rich_long",22
"69",69,-29.5,"rich_long",22
"70",70,-28.5,"rich_long",22
"71",71,-27.5,"rich_long",25
"72",72,-26.5,"rich_long",24
"73",73,-25.5,"rich_long",24
"74",74,-24.5,"rich_long",23
"75",75,-23.5,"rich_long",24
"76",76,-22.5,"rich_long",22
"77",77,-21.5,"rich_long",22
"78",78,-20.5,"rich_long",23
"79",79,-19.5,"rich_long",22
"80",80,-18.5,"rich_long",21
"81",81,-17.5,"rich_long",20
"82",82,-16.5,"rich_long",18
"83",83,-15.5,"rich_long",18
"84",84,-14.5,"rich_long",18
"85",85,-13.5,"rich_long",18
"86",86,-12.5,"rich_long",18
"87",87,-11.5,"rich_long",17
"88",88,-10.5,"rich_long",16
"89",89,-9.5,"rich_long",15
"90",90,-8.5,"rich_long",16
"91",91,-7.5,"rich_long",14
"92",92,-6.5,"rich_long",14
"93",93,-5.5,"rich_long",14
"94",94,-4.5,"rich_long",14
"95",95,-3.5,"rich_long",13
"96",96,-2.5,"rich_long",12
"97",97,-1.5,"rich_long",11
"98",98,-0.5,"rich_long",11
"99",99,0.5,"rich_long",11
"100",100,1.5,"rich_long",11
"101",101,2.5,"rich_long",12
"102",102,3.5,"rich_long",11
"103",103,4.5,"rich_long",11
"104",104,5.5,"rich_long",10
"105",105,6.5,"rich_long",9
"106",106,7.5,"rich_long",9
"107",107,8.5,"rich_long",9
"108",108,9.5,"rich_long",9
"109",109,10.5,"rich_long",8
"110",110,11.5,"rich_long",8
"111",111,12.5,"rich_long",8
"112",112,13.5,"rich_long",8
"113",113,14.5,"rich_long",8
"114",114,15.5,"rich_long",8
"115",115,16.5,"rich_long",7
"116",116,17.5,"rich_long",7
"117",117,18.5,"rich_long",7
"118",118,19.5,"rich_long",7
"119",119,20.5,"rich_long",6
"120",120,21.5,"rich_long",6
"121",121,22.5,"rich_long",6
"122",122,23.5,"rich_long",6
"123",123,24.5,"rich_long",6
"124",124,25.5,"rich_long",6
"125",125,26.5,"rich_long",5
"126",126,27.5,"rich_long",4
"127",127,28.5,"rich_long",3
"128",128,29.5,"rich_long",3
"129",129,30.5,"rich_long",3
"130",130,31.5,"rich_long",3
"131",131,32.5,"rich_long",3
"132",132,33.5,"rich_long",3
"133",133,34.5,"rich_long",3
"134",134,35.5,"rich_long",3
"135",135,36.5,"rich_long",3
"136",136,37.5,"rich_long",3
"137",137,38.5,"rich_long",3
"138",138,39.5,"rich_long",2
"139",1,-97.5,"rich_geog",1
"140",2,-96.5,"rich_geog",12
"141",3,-95.5,"rich_geog",20
"142",4,-94.5,"rich_geog",25
"143",5,-93.5,"rich_geog",25
"144",6,-92.5,"rich_geog",28
"145",7,-91.5,"rich_geog",31
"146",8,-90.5,"rich_geog",33
"147",9,-89.5,"rich_geog",32
"148",10,-88.5,"rich_geog",32
"149",11,-87.5,"rich_geog",33
"150",12,-86.5,"rich_geog",35
"151",13,-85.5,"rich_geog",35
"152",14,-84.5,"rich_geog",35
"153",15,-83.5,"rich_geog",35
"154",16,-82.5,"rich_geog",37
"155",17,-81.5,"rich_geog",36
"156",18,-80.5,"rich_geog",37
"157",19,-79.5,"rich_geog",37
"158",20,-78.5,"rich_geog",38
"159",21,-77.5,"rich_geog",37
"160",22,-76.5,"rich_geog",38
"161",23,-75.5,"rich_geog",37
"162",24,-74.5,"rich_geog",37
"163",25,-73.5,"rich_geog",36
"164",26,-72.5,"rich_geog",37
"165",27,-71.5,"rich_geog",37
"166",28,-70.5,"rich_geog",37
"167",29,-69.5,"rich_geog",36
"168",30,-68.5,"rich_geog",36
"169",31,-67.5,"rich_geog",35
"170",32,-66.5,"rich_geog",35
"171",33,-65.5,"rich_geog",34
"172",34,-64.5,"rich_geog",33
"173",35,-63.5,"rich_geog",31
"174",36,-62.5,"rich_geog",28
"175",37,-61.5,"rich_geog",28
"176",38,-60.5,"rich_geog",27
"177",39,-59.5,"rich_geog",16
"178",40,-58.5,"rich_geog",16
"179",41,-57.5,"rich_geog",16
"180",42,-56.5,"rich_geog",15
"181",43,-55.5,"rich_geog",13
"182",44,-54.5,"rich_geog",12
"183",45,-53.5,"rich_geog",12
