long,type,rich
-97.5,rich_long,2
-97.5,rich_geog,1
-97.5,rich_2d,1
-96.5,rich_long,13
-96.5,rich_geog,12
-96.5,rich_2d,11
-95.5,rich_long,25
-95.5,rich_geog,20
-95.5,rich_2d,8
-94.5,rich_long,26
-94.5,rich_geog,25
-94.5,rich_2d,9
-93.5,rich_long,26
-93.5,rich_geog,25
-93.5,rich_2d,12
-92.5,rich_long,29
-92.5,rich_geog,28
-92.5,rich_2d,13
-91.5,rich_long,32
-91.5,rich_geog,31
-91.5,rich_2d,15
-90.5,rich_long,35
-90.5,rich_geog,33
-90.5,rich_2d,13
-89.5,rich_long,35
-89.5,rich_geog,32
-89.5,rich_2d,14
-88.5,rich_long,37
-88.5,rich_geog,32
-88.5,rich_2d,26
-87.5,rich_long,39
-87.5,rich_geog,33
-87.5,rich_2d,28
-86.5,rich_long,40
-86.5,rich_geog,35
-86.5,rich_2d,19
-85.5,rich_long,40
-85.5,rich_geog,35
-85.5,rich_2d,18
-84.5,rich_long,40
-84.5,rich_geog,35
-84.5,rich_2d,24
-83.5,rich_long,40
-83.5,rich_geog,35
-83.5,rich_2d,23
-82.5,rich_long,41
-82.5,rich_geog,37
-82.5,rich_2d,15
-81.5,rich_long,43
-81.5,rich_geog,36
-81.5,rich_2d,25
-80.5,rich_long,42
-80.5,rich_geog,37
-80.5,rich_2d,18
-79.5,rich_long,43
-79.5,rich_geog,37
-79.5,rich_2d,26
-78.5,rich_long,44
-78.5,rich_geog,38
-78.5,rich_2d,14
-77.5,rich_long,43
-77.5,rich_geog,37
-77.5,rich_2d,14
-76.5,rich_long,44
-76.5,rich_geog,38
-76.5,rich_2d,5
-75.5,rich_long,44
-75.5,rich_geog,37
-75.5,rich_2d,15
-74.5,rich_long,44
-74.5,rich_geog,37
-74.5,rich_2d,10
-73.5,rich_long,44
-73.5,rich_geog,36
-73.5,rich_2d,12
-72.5,rich_long,44
-72.5,rich_geog,37
-72.5,rich_2d,9
-71.5,rich_long,44
-71.5,rich_geog,37
-71.5,rich_2d,25
-70.5,rich_long,43
-70.5,rich_geog,37
-70.5,rich_2d,19
-69.5,rich_long,42
-69.5,rich_geog,36
-69.5,rich_2d,6
-68.5,rich_long,45
-68.5,rich_geog,36
-68.5,rich_2d,13
-67.5,rich_long,44
-67.5,rich_geog,35
-67.5,rich_2d,4
-66.5,rich_long,44
-66.5,rich_geog,35
-66.5,rich_2d,20
-65.5,rich_long,42
-65.5,rich_geog,34
-65.5,rich_2d,21
-64.5,rich_long,44
-64.5,rich_geog,33
-64.5,rich_2d,8
-63.5,rich_long,45
-63.5,rich_geog,31
-63.5,rich_2d,14
-62.5,rich_long,43
-62.5,rich_geog,28
-62.5,rich_2d,15
-61.5,rich_long,44
-61.5,rich_geog,28
-61.5,rich_2d,13
-60.5,rich_long,38
-60.5,rich_geog,27
-60.5,rich_2d,11
-59.5,rich_long,33
-59.5,rich_geog,16
-59.5,rich_2d,10
