"","y","n_distinct(species)","...1","target_fid","rich_1d_geog","x","rich_2d","depth"
"1",-67.5,1,1,129,1,20.5,1,4033.75
"2",-67.5,1,2,130,1,21.5,1,4368.5
"3",-67.5,1,3,131,1,22.5,1,4381.25
"4",-67.5,1,4,132,1,23.5,1,4328
"5",-67.5,1,5,133,1,24.5,1,4362.5
"6",-67.5,1,6,134,1,25.5,1,4183.5
"7",-67.5,1,7,135,1,26.5,1,4004
"8",-67.5,1,8,136,1,27.5,1,3883.5
"9",-67.5,1,9,137,1,28.5,1,3876.5
"10",-67.5,1,10,138,1,29.5,1,3851.5
"11",-67.5,1,11,139,1,30.5,1,3618.75
"12",-67.5,1,12,140,1,31.5,1,2862.00024414
"13",-67.5,1,13,141,1,32.5,1,962.25
"14",-67.5,1,14,142,1,33.5,1,1164.75
"15",-67.5,1,15,143,1,34.5,1,2555.99975586
"16",-67.5,1,16,144,1,35.5,1,2965.25
"17",-67.5,1,17,145,1,36.5,1,3285.75
"18",-67.5,1,18,146,1,37.5,1,3358.25
"19",-67.5,1,19,147,1,38.5,1,3713
"20",-66.5,1,20,259,1,21.5,1,4333.75
"21",-66.5,1,21,260,1,22.5,1,4584
"22",-66.5,1,22,261,1,23.5,1,4593
"23",-66.5,1,23,262,1,24.5,1,4576
"24",-66.5,1,24,263,1,25.5,1,4505
"25",-66.5,1,25,264,1,26.5,1,4452
"26",-66.5,1,26,265,1,27.5,1,4632.25
"27",-66.5,1,27,266,1,28.5,1,4409
"28",-66.5,1,28,267,1,29.5,1,4366.75
"29",-66.5,1,29,268,1,30.5,1,4278
"30",-66.5,1,30,269,1,31.5,1,4191.25
"31",-66.5,1,31,270,1,32.5,1,3570.25
"32",-66.5,1,32,271,1,33.5,1,1259.25
"33",-66.5,1,33,272,1,34.5,1,3558.25
"34",-66.5,1,34,273,1,35.5,1,4121.5
"35",-66.5,1,35,274,1,36.5,1,4272.25
"36",-66.5,1,36,275,1,37.5,1,4686
"37",-66.5,1,37,276,1,38.5,1,4341.25
"38",-66.5,1,38,277,1,39.5,1,4385
"39",-66.5,1,39,278,1,40.5,1,4497.25
"40",-66.5,1,40,279,1,41.5,1,4115
"41",-66.5,1,41,280,1,42.5,1,3549.5
"42",-66.5,1,42,281,1,43.5,1,2929.75024414
"43",-66.5,1,43,282,1,44.5,1,2618.25
"44",-66.5,1,44,283,1,45.5,1,2486.75
"45",-66.5,1,45,284,1,46.5,1,2082
"46",-66.5,1,46,285,1,47.5,1,775.25
"47",-66.5,1,47,286,1,48.5,1,469.999938965
"48",-66.5,1,48,287,1,49.5,1,480.500030518
"49",-66.5,1,49,297,1,59.5,1,2088.75
"50",-66.5,1,50,298,1,60.5,1,2062.5
"51",-66.5,1,51,299,1,61.5,1,1721.25
"52",-66.5,1,52,300,1,62.5,1,2160.24975586
"53",-66.5,1,53,301,1,63.5,1,2518.5
"54",-66.5,1,54,302,1,64.5,1,2882.25
"55",-66.5,1,55,303,1,65.5,1,2353.5
"56",-66.5,1,56,304,1,66.5,1,2240.75
"57",-66.5,1,57,305,1,67.5,1,2529.75
"58",-66.5,1,58,306,1,68.5,1,1963
"59",-65.5,1,59,388,1,21.5,1,4798.75
"60",-65.5,1,60,389,1,22.5,1,4638
"61",-65.5,1,61,390,1,23.5,1,4726
"62",-65.5,1,62,391,1,24.5,1,4815
"63",-65.5,1,63,392,1,25.5,1,4805.75
"64",-65.5,1,64,393,1,26.5,1,4821.5
"65",-65.5,1,65,394,1,27.5,1,4854.75
"66",-65.5,1,66,395,1,28.5,1,4943.5
"67",-65.5,1,67,396,1,29.5,1,4823.25
"68",-65.5,1,68,397,1,30.5,1,4850.25
"69",-65.5,1,69,398,1,31.5,1,4615.25
"70",-65.5,1,70,399,1,32.5,1,3851
"71",-65.5,1,71,400,1,33.5,1,3425
"72",-65.5,1,72,401,1,34.5,1,2440.49975586
"73",-65.5,1,73,402,1,35.5,1,4567.75
"74",-65.5,1,74,403,1,36.5,1,4819.75
"75",-65.5,1,75,404,1,37.5,1,4865.5
"76",-65.5,1,76,405,1,38.5,1,4740.25
"77",-65.5,1,77,406,1,39.5,1,4557.5
"78",-65.5,1,78,407,1,40.5,1,4722.75
"79",-65.5,1,79,408,1,41.5,1,4584.75
"80",-65.5,1,80,409,1,42.5,1,4171.75
"81",-65.5,1,81,410,1,43.5,1,3906.25
"82",-65.5,1,82,411,1,44.5,1,3767.25
"83",-65.5,1,83,412,1,45.5,1,3236.25
"84",-65.5,1,84,413,1,46.5,1,3008
"85",-65.5,1,85,414,1,47.5,1,2574
"86",-65.5,1,86,415,1,48.5,1,1609.5
"87",-65.5,1,87,416,1,49.5,1,2301.75
"88",-65.5,1,88,417,1,50.5,1,2394.5
"89",-65.5,1,89,418,1,51.5,1,2090.25
"90",-65.5,1,90,419,1,52.5,1,1989.75
"91",-65.5,1,91,422,1,55.5,1,2350.5
"92",-65.5,1,92,423,1,56.5,1,2476.75024414
"93",-65.5,1,93,424,1,57.5,1,3007
"94",-65.5,1,94,425,1,58.5,1,3532
