"","y","richness_lat","richness_geog","richness_2d"
"1",-67.5,1,1,1
"2",-66.5,1,1,1
"3",-65.5,1,1,1
"4",-64.5,1,1,1
"5",-63.5,1,1,1
"6",-62.5,1,1,1
"7",-61.5,1,1,1
"8",-60.5,1,1,1
"9",-59.5,1,1,1
"10",-58.5,1,1,1
"11",-57.5,1,1,1
"12",-56.5,1,1,1
"13",-55.5,1,1,1
"14",-54.5,1,1,1
"15",-53.5,1,1,1
"16",-52.5,1,1,1
"17",-51.5,1,1,1
"18",-50.5,1,1,1
"19",-49.5,1,1,1
"20",-48.5,1,1,1
"21",-47.5,1,1,1
"22",-46.5,1,1,1
"23",-45.5,1,1,1
"24",-44.5,1,1,1
"25",-43.5,1,1,1
"26",-42.5,1,1,1
"27",-41.5,1,1,1
"28",-40.5,1,1,1
"29",-39.5,1,1,1
"30",-38.5,1,1,1
"31",-37.5,1,1,1
"32",-36.5,1,1,1
"33",-35.5,1,1,1
"34",-34.5,1,1,1
"35",-33.5,1,1,1
"36",-32.5,1,1,1
"37",-31.5,2,2,2
"38",-30.5,2,2,2
"39",-29.5,2,2,2
"40",-28.5,3,2,2
"41",-27.5,3,2,2
"42",-26.5,4,2,2
"43",-25.5,4,2,2
"44",-24.5,4,2,2
"45",-23.5,4,3,2
"46",-22.5,4,3,2
"47",-21.5,4,3,2
"48",-20.5,4,3,2
"49",-19.5,4,3,2
"50",-18.5,4,3,2
"51",-17.5,4,3,2
"52",-16.5,4,3,2
"53",-15.5,4,3,2
"54",-14.5,4,3,2
"55",-13.5,4,3,2
"56",-12.5,4,3,2
"57",-11.5,4,3,2
"58",-10.5,4,3,2
"59",-9.5,4,3,2
"60",-8.5,4,3,2
"61",-7.5,4,3,2
"62",-6.5,4,3,2
"63",-5.5,4,3,2
"64",-4.5,4,3,2
"65",-3.5,4,3,2
"66",-2.5,4,3,2
"67",-1.5,4,3,2
"68",-0.5,4,3,2
"69",0.5,4,3,2
"70",1.5,4,3,2
"71",2.5,3,2,1
"72",3.5,3,2,1
"73",4.5,3,2,1
"74",5.5,3,2,1
"75",6.5,3,2,1
"76",7.5,2,1,1
"77",10.5,2,1,1
"78",11.5,2,2,2
