"","target_fid","rich","OBJECTID","Join_Count","JOIN_FID","Id","species","MBG_Width","MBG_Length","MBG_APodX1","MBG_APodY1","MBG_APodX2","MBG_APodY2","MBG_Orient","midx","midy","area","x","y","RASTERVALU"
"1",0,NA,1,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,20.5,-68.5,-3584.75
"2",1,NA,2,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,21.5,-68.5,-3723.25
"3",2,NA,3,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,22.5,-68.5,-3578.5
"4",3,NA,4,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,23.5,-68.5,-3379.25
"5",4,NA,5,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,24.5,-68.5,-3713.25
"6",5,NA,6,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,25.5,-68.5,-3653.25
"7",6,NA,7,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,26.5,-68.5,-3439.75
"8",7,NA,8,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,27.5,-68.5,-3453
"9",8,NA,9,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,28.5,-68.5,-3254
"10",9,NA,10,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,29.5,-68.5,-3248.25
"11",10,NA,11,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,30.5,-68.5,-2721.25024414
"12",11,NA,12,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,31.5,-68.5,-396.25
"13",12,NA,13,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,32.5,-68.5,-276.5
"14",13,NA,14,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,33.5,-68.5,-250.500015259
"15",14,NA,15,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,34.5,-68.5,-199.000061035
"16",15,NA,16,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,35.5,-68.5,-40.0000038147
"17",16,NA,17,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,36.5,-68.5,-1415.74975586
"18",17,NA,18,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,37.5,-68.5,-1333.25012207
"19",18,NA,19,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,38.5,-68.5,-215.75012207
"20",19,NA,20,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,39.5,-68.5,-276.250030518
"21",20,NA,21,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,40.5,-68.5,-363.500030518
"22",21,NA,22,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,41.5,-68.5,-57.7500724792
"23",22,NA,23,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,42.5,-68.5,0
"24",23,NA,24,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,43.5,-68.5,0
"25",24,NA,25,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,44.5,-68.5,0
"26",25,NA,26,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,45.5,-68.5,0
"27",26,NA,27,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,46.5,-68.5,0
"28",27,NA,28,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,47.5,-68.5,0
"29",28,NA,29,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,48.5,-68.5,0
"30",29,NA,30,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,49.5,-68.5,0
"31",30,NA,31,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,50.5,-68.5,0
"32",31,NA,32,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,51.5,-68.5,0
"33",32,NA,33,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,52.5,-68.5,0
"34",33,NA,34,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,53.5,-68.5,0
"35",34,NA,35,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,54.5,-68.5,0
"36",35,NA,36,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,55.5,-68.5,0
"37",36,NA,37,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,56.5,-68.5,0
"38",37,NA,38,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,57.5,-68.5,0
"39",38,NA,39,0,-1,0,NA,0,0,0,0,0,0,0,0,0,0,58.5,-68.5,0
