"","species1","Freq","decimalLon","decimalLat","middepth2d","planarextent2d","log_area","MBV_Volume","min_depth","max_depth","min_lat","max_lat","middepth1d","depthrange1d","mid_lat","latrange1d","absmidlat1d","absmidlat2d","centroid_x","centroid_y","absmidlat1dgeog","planarextent1dgeog"
"1","Abyssopathes lyra",26,-18.4875,34.8575,5212.5,352829.737794,5.54756518194607,3800709.83333,3850,5467,-33.8983,46.4833,4658.5,1617,6.2925,889302.635416,6.2925,34.8575,-25.405018,14.143779,14.143779,35758119752400
"2","Acanthopathes thyoides",64,-91.318335,27.6920995,137,5385.45978625,3.73122278731961,11109.1666667,23,229,13.13,28.136902,126,206,20.633451,166029.01034602,20.633451,27.6920995,-79.284652,20.360883,20.360883,3147771142790
"3","Allopathes desbonni",16,-91.1922995,26.9402625,667.5,34198.8318885,4.53401127234144,23368.5,45,804,13.17,29.01935,424.5,759,21.094675,175349.4422185,21.094675,26.9402625,-79.014998,21.841762,21.841762,1453103251550
"4","Alternatipathes alternata",61,-79.59,28.78,735.5,934672.920228,5.97065966029332,8345834,394,4557,-64.133,39.6541,2475.5,4163,-12.23945,1148249.618721,12.23945,28.78,-59.881897,1.950867,1.950867,34105479055200
"5","Antipathella subpinnata",63,6.057,38.802,146,30860.466552,4.48940248748952,93345.3333333,51,500,30.021,48.893,275.5,449,39.457,208790.56072,39.457,38.802,-5.053261,39.448721,39.448721,9865840846630
"6","Antipathella wollastoni",35,-16.897375,35.893611,37,238411.344531,5.37732691696581,1973401.83333,6,1642,-7.9783,39.027778,824,1636,15.524739,520052.21401378,15.524739,35.893611,-2.77996,22.748713,22.748713,22280834755300
"7","Antipathes atlantica",192,-92.54549,28.005665,72,104095.427298,5.0174316522496,494519.333333,13,985,-17.067,33.82333,499,972,8.378165,563025.6748583,8.378165,28.005665,-67.607764,14.351394,14.351394,13993315934800
"8","Antipathes caribbeana",39,-77.333051,16.386057,31,1290.5492489,3.11077458239201,2099.5,12,76.4,9.1833,25.1,44.2,64.4,17.14165,176094.569617,17.14165,16.386057,-75.343829,16.542102,16.542102,3488772887110
"9","Antipathes dichotoma",16,0.888754,38.739946,232,96602.4713658,4.9849882370449,263613.333333,95,1410,30.111667,46.669998,752.5,1315,38.3908325,183193.26060181,38.3908325,38.739946,-2.499567,37.538222,37.538222,6503217738440
"10","Antipathes furcata",174,-93.00547,28.00551,79,450322.666845,5.65352380758463,4119159.83333,17,2500,-22.007,33.4125,1258.5,2483,5.70275,613134.192445,5.70275,28.00551,-52.630478,12.513438,12.513438,28245113413800
"11","Antipathes gracilis",95,-83.6864,24.780001,59.5,33138.3416108,4.52033077061018,221852.333333,4,220,0.320276,33.82333,112,216,17.071803,370661.37295954,17.071803,24.780001,-45.06131,18.745535,18.745535,30039292929200
"12","Antipathes lenta",55,-81.790001,23.026548,67,205525.753645,5.31286624940006,1127516.5,19.5,1351,4.62,33.3083,685.25,1331.5,18.96415,317393.293933,18.96415,23.026548,-57.540408,16.712746,16.712746,15433509154900
"13","Aphanipathes abietina",10,-78.8,19.1166665,103.75,4926.04112404,3.69249803313627,9669.66666667,63.5,260,12.39,28.1,161.75,196.5,20.245,173807.7421,20.245,19.1166665,-74.278705,18.953333,18.953333,4475511491050
"14","Aphanipathes pedata",54,-87.168915,27.129294,159,16945.4851499,4.22905400721933,27552.5,78,588,15.5587,29.928926,333,510,22.743813,158985.13905326,22.743813,27.129294,-81.007327,23.224951,23.224951,2416333666440
"15","Aphanipathes salix",24,-87.7699985,27.6920995,184.5,6431.72008878,3.80832713546933,6329.5,106,335,7.42,29.928926,220.5,229,18.674463,249027.72789026,18.674463,27.6920995,-76.191163,20.481562,20.481562,2753831928600
"16","Bathypathes patula",54,-28.265,31.56395,1798,1646178.59683,6.21647695080948,39067463.1667,98.5,4720,-68.1383,59.89,2409.25,4621.5,-4.12415,1416442.377333,4.12415,31.56395,-31.994315,-7.197493,7.197493,1.402126e+14
"17","Chrysopathes micracantha",10,-79.57,30.0650005,804.25,44206.7690028,4.64548877422429,4756.33333333,658,2652.5,-22.41,30.870001,1655.25,1994.5,4.2300005,589463.82386351,4.2300005,30.0650005,-66.373312,12.770317,12.770317,309636426505
"18","Cupressopathes gracilis",61,-92.045,28.00719,63,8902.941288,3.94953350935484,26371.6666667,33,219,12.73,33.8233,126,186,23.27665,233365.935483,23.27665,28.00719,-76.349192,23.228536,23.228536,7283291400090
"19","Distichopathes filix",63,-82.3133,23.254793,270.5,27570.5864242,4.44044600361341,47487.1666667,58,658.5,12.47,32.182,358.25,600.5,22.326,218083.90912,22.326,23.254793,-74.968677,24.008314,24.008314,5072937489210
"20","Elatopathes abietina",329,-92.54556,27.9372,123,88857.0920286,4.94869209624902,360879.666667,55,1342,9.755781,30,698.5,1287,19.8778905,223972.11934869,19.8778905,27.9372,-66.756583,22.241196,22.241196,10917039743000
"21","Leiopathes glaberrima",175,-79.419998,30.50167,350,630628.768076,5.79977377854586,7350446.33333,37,2447.5,11.55,59.748329,1242.25,2410.5,35.6491645,533242.69487479,35.6491645,30.50167,-37.573591,32.649248,32.649248,53226976358600
"22","Leiopathes grimaldii",10,-15,51.2134,885,15772.7058858,4.19790620508948,18829,865,2165,31.72,55.5443,1515,1300,43.63215,263580.381293,43.63215,51.2134,-16.470698,42.657329,42.657329,3709622012370
"23","Parantipathes larix",35,-8.0533,34,875,208330.27781,5.31875239299247,1117772,92,2325,15.283333,47.7083,1208.5,2233,31.4958165,358733.94665417,31.4958165,34,-10.592454,33.722395,33.722395,11242857701000
"24","Parantipathes tetrasticha",57,-81.800003,24.35,274,81802.0636174,4.91276425973911,283115.333333,96,1165,8.23,39.9226,630.5,1069,24.0763,350631.397026,24.0763,24.35,-69.793727,25.694942,25.694942,10710141609800
"25","Phanopathes rigida",51,-82.892311,24.5,241.5,27988.6127282,4.4469813729421,92821.6666667,35,512,9.47,31.700001,273.5,477,20.5850005,245941.83836351,20.5850005,24.5,-77.643255,20.465079,20.465079,5370436228570
"26","Plumapathes pennacea",39,-87.387222,25.39056,48,9303.48893156,3.96864584528235,28293.3333333,14,185,9.5667,29.01935,99.5,171,19.293025,215214.5878015,19.293025,25.39056,-78.11251,18.593099,18.593099,4739088930500
"27","Schizopathes crassa",11,-16.516667,14.816667,1900,973237.312901,5.98821875097432,15557867.1667,45,3475,-55.092,48.116667,1760,3430,-3.4876665,1141850.11944117,3.4876665,14.816667,-7.958965,-18.943072,18.943072,73690004911000
"28","Sibopathes macrospina",17,-88.0159,29.16,525,95074.7652613,4.97806526181596,92628.6666667,448,2310,26.799135,39.80723,1379,1862,33.3031825,143915.18911345,33.3031825,29.16,-71.305907,33.066363,33.066363,3568856830360
"29","Stauropathes arctica",23,-55.369999,63.72,1196,109088.715867,5.03777982950542,92969.8333333,461,1795,54.9567,68.611223,1128,1334,61.7839615,151066.95175573,61.7839615,63.72,-42.879496,62.595423,62.595423,4394088166420
"30","Stauropathes punctata",13,-49.79367,38.78745,1916,56251.1954282,4.75013175633636,236448,1311,2172,15.283333,55.0068,1741.5,861,35.1450665,439480.97438917,35.1450665,38.78745,-30.616405,36.569818,36.569818,17033986573000
"31","Stichopathes lutkeni",61,-87.269997,27.129288,60,17593.8019824,4.24535969969371,61573.1666667,12.3,300,8.679233,31.535,156.15,287.7,20.1071165,252865.00676217,20.1071165,27.129288,-79.129385,19.856031,19.856031,5649241685650
"32","Stichopathes occidentalis",30,-76.40125,15.3092175,61.15,8377.67772982,3.92312365002702,30566.1666667,14,160,8.596069,33.8233,87,146,21.2096845,279101.72244081,21.2096845,15.3092175,-77.819259,20.763683,20.763683,6228162389380
"33","Stichopathes pourtalesi",28,-67.1814995,18.0309725,142.5,99529.8868539,4.99795351036143,376870.333333,2.5,1470,11.368018,32.502333,736.25,1467.5,21.9351755,233819.70534565,21.9351755,18.0309725,-73.513816,21.997866,21.997866,6003851157380
"34","Stylopathes americana",21,-81.933333,20.908333,150,34869.4442488,4.5424450256208,79854.8333333,30,563,7.466667,29.0194,296.5,533,18.2430335,238448.87707283,18.2430335,20.908333,-76.151322,18.213925,18.213925,4297097173490
"35","Stylopathes columnaris",91,-83.686394,24.581329,204,46219.2717757,4.66482309851465,126895.5,62.5,618,2.68,29.928926,340.25,555.5,16.304463,301468.76529026,16.304463,24.581329,-73.718724,17.046669,17.046669,6064988680500
"36","Tanacetipathes barbadensis",46,-82.335,23.1772,99.2,31686.7004055,4.50087701766012,111257.333333,8,285,-18.032206,29.01935,146.5,277,5.493572,520555.36032156,5.493572,23.1772,-58.511481,4.210545,4.210545,11565960728100
"37","Tanacetipathes hirta",64,-82.335,24.352315,106,45510.1996014,4.65810874026571,186200,12.34,417,-21.649,32.333,214.67,404.66,5.342,597230.39682,5.342,24.352315,-66.177177,11.823292,11.823292,13346895656600
"38","Tanacetipathes spinescens",12,-16.833315,14.9185,45.25,34512.7661925,4.53797976931738,334553.666667,20,160,-7.996224,59.104961,90,140,25.5543685,742374.63125935,25.5543685,14.9185,-35.709618,24.473181,24.473181,50937028132400
"39","Tanacetipathes tanacetum",234,-82.315001,23.1817,103,186409.695401,5.27046849680365,1097707.83333,26,1293,-23.02,32.33,659.5,1267,4.655,612365.2785,4.655,23.1817,-60.141746,8.082774,8.082774,19587108857000
"40","Tanacetipathes thamnea",53,-64.925,17.5,88,68841.6987069,4.83785157824371,268520.5,10,558.8,-22.73,32.4125,284.4,548.8,4.84125,610069.600175,4.84125,17.5,-62.64862,10.341869,10.341869,13449480122000
"41","Taxipathes recta",10,-14.4722,-7.90558,768,68916.0096926,4.83832012340956,85141.6666667,420,1768,-7.91,10.05,1094,1348,1.07,198700.6396,1.07,7.90558,-30.835,2.087233,2.087233,6031177013250
