"","depth","richness1d","richness2d"
"1",33,2,1
"2",36,2,1
"3",37,2,1
"4",42,2,1
"5",43,2,1
"6",47,2,1
"7",49,2,1
"8",60,2,1
"9",85,2,2
"10",475,1,1
"11",519,1,1
"12",554,1,1
"13",585,1,1
"14",610,1,1
"15",704,1,1
"16",805,1,1
"17",958,1,1
"18",1038,1,1
"19",1042,1,1
"20",1160,1,1
"21",1238,1,1
"22",1256,1,1
"23",1350,1,1
"24",1418,1,1
"25",1422,1,1
"26",1495,1,1
"27",1568,1,1
"28",1619,1,1
"29",1662,1,1
"30",1720,1,1
"31",1759,1,1
"32",1861,1,1
"33",1871,1,1
"34",1912,1,1
"35",1957,1,1
"36",1963,1,1
"37",2005,1,1
"38",2051,1,1
"39",2067,1,1
"40",2079,1,1
"41",2082,1,1
"42",2083,1,1
"43",2086,1,1
"44",2090,1,1
"45",2091,1,1
"46",2106,1,1
"47",2111,1,1
"48",2116,1,1
"49",2145,1,1
"50",2177,1,1
"51",2191,1,1
"52",2205,1,1
"53",2214,1,1
"54",2218,1,1
"55",2243,1,1
"56",2255,1,1
"57",2272,1,1
"58",2293,1,1
"59",2310,1,1
"60",2331,1,1
"61",2332,1,1
"62",2337,1,1
"63",2344,1,1
"64",2362,1,1
"65",2364,1,1
"66",2400,1,1
"67",2477,1,1
"68",2485,1,1
"69",2515,1,1
"70",2527,1,1
"71",2528,1,1
"72",2555,1,1
"73",2560,1,1
"74",2570,1,1
"75",2574,1,1
"76",2597,1,1
"77",2598,1,1
"78",2600,1,1
"79",2614,1,1
"80",2616,1,1
"81",2639,1,1
"82",2669,1,1
"83",2671,1,1
"84",2679,1,1
"85",2770,1,1
"86",2778,1,1
"87",2808,1,1
"88",2813,1,1
"89",2820,1,1
"90",2821,1,1
"91",2832,1,1
"92",2834,1,1
"93",2837,1,1
"94",2863,1,1
"95",2896,2,1
"96",2897,2,1
"97",2922,2,1
"98",2942,2,1
"99",2949,2,1
"100",2960,2,2
"101",2965,2,2
"102",2971,2,1
"103",2976,2,1
"104",2986,2,1
"105",2987,2,1
"106",2993,2,1
"107",2994,2,1
"108",3000,2,1
"109",3007,2,1
"110",3008,2,1
"111",3012,2,2
"112",3036,2,1
"113",3061,2,1
