"","x","rich_2d","max_rich","richness_long"
"1",-179.5,2,2,2
"2",-178.5,6,13,19
"3",-177.5,7,13,19
"4",-176.5,6,13,18
"5",-175.5,6,13,19
"6",-174.5,6,13,18
"7",-173.5,5,13,17
"8",-172.5,9,13,17
"9",-171.5,6,13,18
"10",-170.5,4,13,18
"11",-169.5,5,13,17
"12",-168.5,6,13,17
"13",-167.5,4,13,18
"14",-166.5,5,13,17
"15",-165.5,4,13,16
"16",-164.5,5,13,17
"17",-163.5,4,13,16
"18",-162.5,5,13,16
"19",-161.5,6,13,15
"20",-160.5,5,13,18
"21",-159.5,5,13,14
"22",-158.5,5,13,15
"23",-157.5,6,13,15
"24",-156.5,8,13,16
"25",-155.5,5,12,14
"26",-154.5,4,7,9
"27",-153.5,4,7,10
"28",-152.5,4,7,9
"29",-151.5,4,7,9
"30",-150.5,4,7,10
"31",-149.5,4,7,9
"32",-148.5,4,7,9
"33",-147.5,4,7,10
"34",-146.5,4,7,11
"35",-145.5,4,7,10
"36",-144.5,4,6,10
"37",-143.5,4,6,10
"38",-142.5,4,6,10
"39",-141.5,4,6,10
"40",-140.5,4,6,10
"41",-139.5,4,6,11
"42",-138.5,4,6,10
"43",-137.5,4,6,10
"44",-136.5,4,6,10
"45",-135.5,4,6,10
"46",-134.5,4,6,10
"47",-133.5,4,6,10
"48",-132.5,4,6,10
"49",-131.5,4,6,10
"50",-130.5,4,6,10
"51",-129.5,4,6,10
"52",-128.5,4,6,10
"53",-127.5,4,5,10
"54",-126.5,4,5,10
"55",-125.5,4,5,10
"56",-124.5,4,5,9
"57",-123.5,4,4,8
"58",-122.5,4,4,7
"59",-121.5,4,4,6
"60",-120.5,4,4,5
"61",-119.5,4,4,4
"62",-118.5,4,4,4
"63",-117.5,4,4,4
"64",-116.5,4,4,4
"65",-115.5,4,4,4
"66",-114.5,4,4,4
"67",-113.5,4,4,5
"68",-112.5,4,4,5
"69",-111.5,4,4,5
"70",-110.5,4,4,5
"71",-109.5,4,4,6
"72",-108.5,4,4,6
"73",-107.5,4,4,6
"74",-106.5,4,4,6
"75",-105.5,4,4,6
"76",-104.5,4,4,6
"77",-103.5,4,4,6
"78",-102.5,4,4,6
"79",-101.5,3,3,5
"80",-100.5,3,3,5
"81",-99.5,3,3,5
"82",-98.5,3,3,5
"83",-97.5,3,3,5
"84",-96.5,3,3,5
"85",-95.5,3,3,5
"86",-94.5,3,3,5
"87",-93.5,3,3,5
"88",-92.5,3,3,5
"89",-91.5,3,3,5
"90",-90.5,3,3,5
"91",-89.5,3,3,5
"92",-88.5,2,3,5
"93",-87.5,1,3,3
"94",-86.5,1,2,3
"95",-85.5,1,2,3
"96",-84.5,1,1,3
"97",-83.5,1,1,3
"98",-82.5,1,1,3
"99",-81.5,1,1,3
"100",-80.5,1,1,2
"101",-79.5,1,1,2
"102",-78.5,1,1,1
"103",-77.5,1,1,1
"104",-76.5,1,1,1
"105",119.5,1,1,4
"106",120.5,4,6,8
"107",121.5,6,9,13
"108",122.5,9,10,13
"109",123.5,9,11,16
"110",124.5,5,13,16
"111",125.5,5,14,17
"112",126.5,5,14,17
"113",127.5,8,14,19
"114",128.5,6,15,21
"115",129.5,6,15,22
"116",130.5,7,15,22
"117",131.5,8,15,22
"118",132.5,7,15,22
"119",133.5,7,15,22
"120",134.5,7,16,22
"121",135.5,9,17,24
"122",136.5,11,16,24
"123",137.5,11,17,24
"124",138.5,8,18,25
"125",139.5,5,18,24
"126",140.5,6,19,24
"127",141.5,6,20,24
"128",142.5,5,20,24
"129",143.5,6,19,24
"130",144.5,8,20,24
"131",145.5,11,20,24
"132",146.5,6,21,25
"133",147.5,13,21,25
"134",148.5,13,21,27
"135",149.5,10,21,27
"136",150.5,8,21,27
"137",151.5,11,21,28
"138",152.5,10,20,29
"139",153.5,10,20,29
"140",154.5,8,19,28
"141",155.5,6,19,28
"142",156.5,14,19,28
"143",157.5,11,19,28
"144",158.5,11,19,28
"145",159.5,10,19,29
"146",160.5,10,18,29
"147",161.5,7,18,29
"148",162.5,8,18,28
"149",163.5,8,17,28
"150",164.5,8,16,28
"151",165.5,8,16,28
"152",166.5,10,16,29
"153",167.5,10,17,30
"154",168.5,9,16,30
"155",169.5,10,17,30
"156",170.5,8,16,30
"157",171.5,7,16,30
"158",172.5,11,16,30
"159",173.5,10,16,29
"160",174.5,6,15,29
"161",175.5,10,15,28
"162",176.5,8,14,28
"163",177.5,7,14,25
"164",178.5,5,12,20
