"","ocean","dimension","type","species","mid","area","...7","...8","...9","mid_long_adjust","...11","...12","...13"
"1","pac","depth","depth_planar_range","Abyssopathes lyra",3911.18,14.2632205091727,NA,NA,NA,NA,NA,NA,NA
"2","pac","depth","depth_range","Abyssopathes lyra",3911.18,3.57081837267785,NA,NA,NA,NA,NA,NA,NA
"3","pac","depth","depth_planar_range","Alternatipathes alternata",2635.5,14.493125266502,NA,NA,NA,NA,NA,NA,NA
"4","pac","depth","depth_range","Alternatipathes alternata",2635.5,3.69081605798092,NA,NA,NA,NA,NA,NA,NA
"5","pac","depth","depth_planar_range","Antipathella fiordensis",258.25,12.1208274158541,NA,NA,NA,NA,NA,NA,NA
"6","pac","depth","depth_range","Antipathella fiordensis",258.25,2.70884563804818,NA,NA,NA,NA,NA,NA,NA
"7","pac","depth","depth_planar_range","Antipathes curvata",308,13.8011784346947,NA,NA,NA,NA,NA,NA,NA
"8","pac","depth","depth_range","Antipathes curvata",308,2.77232170672292,NA,NA,NA,NA,NA,NA,NA
"9","pac","depth","depth_planar_range","Antipathes dendrochristos",250.1,12.5108421284415,NA,NA,NA,NA,NA,NA,NA
"10","pac","depth","depth_range","Antipathes dendrochristos",250.1,2.4888326343824,NA,NA,NA,NA,NA,NA,NA
"11","pac","depth","depth_planar_range","Antipathes densa",256.5,13.7601730954799,NA,NA,NA,NA,NA,NA,NA
"12","pac","depth","depth_range","Antipathes densa",256.5,2.64836001098093,NA,NA,NA,NA,NA,NA,NA
"13","pac","depth","depth_planar_range","Antipathes flabellum",266.75,13.386361027301,NA,NA,NA,NA,NA,NA,NA
"14","pac","depth","depth_range","Antipathes flabellum",266.75,2.72139837552151,NA,NA,NA,NA,NA,NA,NA
"15","pac","depth","depth_planar_range","Antipathes galapagensis",150.31,12.8815530604524,NA,NA,NA,NA,NA,NA,NA
"16","pac","depth","depth_range","Antipathes galapagensis",150.31,2.45542353362098,NA,NA,NA,NA,NA,NA,NA
"17","pac","depth","depth_planar_range","Antipathes gracilis",626.5,12.2913926820316,NA,NA,NA,NA,NA,NA,NA
"18","pac","depth","depth_range","Antipathes gracilis",626.5,3.03941411917614,NA,NA,NA,NA,NA,NA,NA
"19","pac","depth","depth_planar_range","Antipathes grandis",230,13.5947963437978,NA,NA,NA,NA,NA,NA,NA
"20","pac","depth","depth_range","Antipathes grandis",230,2.65321251377534,NA,NA,NA,NA,NA,NA,NA
"21","pac","depth","depth_planar_range","Antipathes pauroclema",138,13.1936021824881,NA,NA,NA,NA,NA,NA,NA
"22","pac","depth","depth_range","Antipathes pauroclema",138,2.42160392686983,NA,NA,NA,NA,NA,NA,NA
"23","pac","depth","depth_planar_range","Antipathes sarothrum",351.5,13.426700500884,NA,NA,NA,NA,NA,NA,NA
"24","pac","depth","depth_range","Antipathes sarothrum",351.5,2.83442070368153,NA,NA,NA,NA,NA,NA,NA
"25","pac","depth","depth_planar_range","Antipathes sibogae",66.5,13.5559397568703,NA,NA,NA,NA,NA,NA,NA
"26","pac","depth","depth_range","Antipathes sibogae",66.5,2.10380372095596,NA,NA,NA,NA,NA,NA,NA
"27","pac","depth","depth_planar_range","Antipathes simplex",286.5,12.3151964736842,NA,NA,NA,NA,NA,NA,NA
"28","pac","depth","depth_range","Antipathes simplex",286.5,2.74896286125616,NA,NA,NA,NA,NA,NA,NA
"29","pac","depth","depth_planar_range","Bathypathes patula",2788.26,14.6838454237998,NA,NA,NA,NA,NA,NA,NA
"30","pac","depth","depth_range","Bathypathes patula",2788.26,3.70161287997802,NA,NA,NA,NA,NA,NA,NA
"31","pac","depth","depth_planar_range","Chrysopathes speciosa",798,13.2537617379924,NA,NA,NA,NA,NA,NA,NA
"32","pac","depth","depth_range","Chrysopathes speciosa",798,3.08062648692181,NA,NA,NA,NA,NA,NA,NA
