"","depth","richness1d","richness2d"
"1",4,7,3
"2",5,11,5
"3",6,13,6
"4",8,15,1
"5",9,15,5
"6",12,19,5
"7",16,20,5
"8",18,22,2
"9",20,22,3
"10",30,22,1
"11",34,24,7
"12",35,24,1
"13",36,24,7
"14",38,24,5
"15",39,24,5
"16",41,24,5
"17",42,24,2
"18",61,24,1
"19",69,24,2
"20",71,25,1
"21",74,24,1
"22",77,24,1
"23",89,27,1
"24",92,27,1
"25",93,27,1
"26",96,27,4
"27",97,27,7
"28",98,27,1
"29",99,27,2
"30",100,27,1
"31",101,27,4
"32",104,27,1
"33",111,27,3
"34",112,27,3
"35",114,27,1
"36",118,27,1
"37",137,26,4
"38",139,26,4
"39",159,25,2
"40",195,26,1
"41",289,28,1
"42",419,28,2
"43",432,28,6
"44",452,28,1
"45",551,22,4
"46",589,21,4
"47",622,21,7
"48",662,21,7
"49",664,21,2
"50",754,20,2
"51",854,20,4
"52",899,20,1
"53",933,19,5
"54",965,19,7
"55",988,19,1
"56",1001,19,4
"57",1004,19,1
"58",1006,19,1
"59",1026,19,8
"60",1029,19,1
"61",1058,19,6
"62",1086,17,2
"63",1101,17,1
"64",1122,17,3
"65",1124,17,1
"66",1160,17,1
"67",1164,17,7
"68",1216,13,4
"69",1217,13,3
"70",1239,13,2
"71",1243,13,6
"72",1254,12,2
"73",1304,12,2
"74",1345,12,4
"75",1366,12,2
"76",1380,12,2
"77",1394,12,4
"78",1401,11,2
"79",1436,11,2
"80",1629,10,6
"81",1639,10,1
"82",1656,10,5
"83",1664,10,5
"84",1689,10,1
"85",1735,10,1
"86",1743,10,1
"87",1753,10,7
"88",1754,10,5
"89",1762,10,1
"90",1773,10,6
"91",1777,10,2
"92",1828,9,1
"93",1834,9,4
"94",1858,9,2
"95",1889,9,6
"96",1925,9,3
"97",1967,8,5
"98",1978,8,1
"99",1985,8,5
"100",1992,8,6
"101",2007,8,6
"102",2011,8,1
"103",2017,8,7
"104",2024,8,5
"105",2057,9,2
"106",2084,8,5
"107",2086,8,5
"108",2092,8,3
"109",2096,8,4
"110",2112,8,4
"111",2130,8,1
"112",2134,8,6
"113",2137,8,5
"114",2164,8,1
"115",2173,8,4
"116",2181,8,6
"117",2188,8,1
"118",2202,8,1
"119",2233,8,1
"120",2248,8,6
"121",2270,8,5
"122",2276,8,5
"123",2291,8,1
"124",2308,8,2
"125",2327,7,4
"126",2330,7,1
"127",2359,6,1
"128",2362,6,3
"129",2363,6,5
"130",2366,6,5
"131",2374,6,2
"132",2379,6,2
"133",2391,6,1
"134",2392,6,3
"135",2393,6,4
"136",2397,6,1
"137",2400,6,1
"138",2406,6,1
"139",2411,6,1
"140",2433,6,1
"141",2445,6,3
"142",2478,6,3
"143",2480,6,1
"144",2488,6,5
"145",2493,6,2
"146",2494,6,3
"147",2498,6,1
"148",2504,6,1
"149",2511,6,2
"150",2526,6,3
"151",2545,6,3
"152",2552,6,1
"153",2557,6,1
"154",2575,6,3
"155",2585,6,4
"156",2607,6,3
"157",2616,6,3
"158",2620,6,4
"159",2623,6,5
"160",2625,6,4
"161",2627,6,5
"162",2633,6,1
"163",2640,6,1
"164",2651,6,3
"165",2654,6,4
"166",2663,6,1
"167",2669,6,4
"168",2672,6,5
"169",2677,6,4
"170",2679,6,5
"171",2681,6,1
"172",2694,6,1
"173",2697,6,1
"174",2698,6,5
"175",2705,6,4
"176",2710,6,1
"177",2715,6,4
"178",2725,6,4
"179",2726,6,3
"180",2735,6,4
"181",2739,6,4
"182",2741,6,3
"183",2745,6,1
"184",2746,6,4
"185",2749,6,2
"186",2750,6,5
"187",2755,6,3
"188",2759,6,1
"189",2764,6,5
"190",2776,6,4
"191",2777,6,5
"192",2779,6,5
"193",2787,6,1
"194",2795,6,3
"195",2808,5,1
"196",2811,5,3
"197",2812,5,1
"198",2814,5,2
"199",2819,5,3
"200",2824,5,1
"201",2830,5,1
"202",2833,5,4
"203",2834,5,3
"204",2836,5,1
"205",2837,5,4
"206",2839,5,1
"207",2840,5,3
"208",2841,5,1
"209",2842,5,4
"210",2850,5,3
"211",2852,5,4
"212",2853,5,3
"213",2854,5,4
"214",2862,5,1
"215",2869,5,2
"216",2873,5,3
"217",2876,5,1
"218",2880,5,2
"219",2882,5,1
"220",2885,5,3
"221",2888,5,4
"222",2891,5,2
"223",2892,5,4
"224",2898,5,3
"225",2899,5,3
"226",2904,5,2
"227",2905,5,4
"228",2910,5,4
"229",2911,5,2
"230",2913,5,4
"231",2917,5,3
"232",2921,5,1
"233",2927,5,2
"234",2934,5,1
"235",2935,5,4
"236",2939,5,1
"237",2943,5,1
"238",2945,5,3
"239",2946,5,3
"240",2947,5,3
"241",2951,5,1
"242",2953,5,1
"243",2956,5,1
"244",2959,5,1
"245",2960,5,2
"246",2963,5,4
"247",2965,5,2
"248",2970,5,2
"249",2972,5,4
"250",2975,5,1
"251",2977,5,3
"252",2979,5,1
"253",2984,5,4
"254",2986,5,4
"255",2995,5,1
"256",2996,5,1
"257",2997,5,1
"258",3001,5,1
"259",3003,5,4
"260",3010,5,1
"261",3014,5,3
"262",3019,5,3
"263",3022,5,3
"264",3024,5,4
"265",3026,5,4
"266",3028,5,1
"267",3032,5,4
"268",3035,5,3
"269",3038,5,3
"270",3039,5,1
"271",3043,5,1
"272",3044,5,4
"273",3050,5,2
"274",3052,5,3
"275",3054,5,1
"276",3062,5,4
"277",3063,5,1
"278",3065,5,1
"279",3070,5,1
"280",3073,5,3
"281",3074,5,1
"282",3078,5,1
"283",3082,5,1
"284",3083,5,2
"285",3084,5,4
"286",3086,5,3
"287",3087,5,1
"288",3092,5,3
"289",3094,5,1
"290",3097,5,4
"291",3098,5,1
"292",3101,5,1
"293",3102,5,3
"294",3104,5,2
"295",3106,5,4
"296",3107,5,2
"297",3109,5,1
"298",3111,5,2
"299",3113,5,4
"300",3116,5,1
"301",3119,5,4
"302",3121,5,3
"303",3122,5,2
"304",3124,5,1
"305",3125,5,1
"306",3128,5,4
"307",3132,5,1
"308",3133,5,4
"309",3136,5,3
"310",3137,5,2
"311",3140,5,2
"312",3141,5,2
"313",3143,5,3
"314",3145,5,1
"315",3146,5,4
"316",3147,5,3
"317",3151,5,4
"318",3162,5,4
"319",3163,5,3
"320",3165,5,1
"321",3166,5,4
"322",3170,5,2
"323",3171,5,4
"324",3172,5,2
"325",3177,5,3
"326",3178,5,1
"327",3183,4,3
"328",3187,4,1
"329",3188,4,2
"330",3191,4,2
"331",3200,4,3
"332",3205,4,1
"333",3207,4,1
"334",3209,4,1
"335",3214,4,4
"336",3216,4,3
"337",3224,4,3
"338",3226,4,4
"339",3227,4,4
"340",3228,4,2
"341",3229,4,1
"342",3232,4,3
"343",3235,4,2
"344",3238,4,3
"345",3239,4,3
"346",3240,4,1
"347",3241,4,1
"348",3245,4,3
"349",3246,4,1
"350",3248,4,4
"351",3249,4,3
"352",3251,4,1
"353",3253,4,3
"354",3255,4,4
"355",3265,4,4
"356",3266,4,4
"357",3267,4,4
"358",3268,4,4
"359",3269,4,1
"360",3273,4,4
"361",3274,4,1
"362",3276,4,2
"363",3277,4,4
"364",3279,4,1
"365",3283,4,3
"366",3284,4,2
"367",3285,4,3
"368",3287,4,4
"369",3288,4,3
"370",3290,4,3
"371",3294,4,1
"372",3296,4,3
"373",3298,4,3
"374",3299,4,1
"375",3302,4,4
"376",3303,4,1
"377",3304,4,3
"378",3305,4,1
"379",3306,4,1
"380",3308,4,3
"381",3312,4,4
"382",3313,4,4
"383",3316,4,2
"384",3318,4,4
"385",3323,4,4
"386",3325,4,3
"387",3330,4,4
"388",3331,4,3
"389",3332,4,4
"390",3333,4,1
"391",3336,4,1
"392",3345,4,3
"393",3348,4,3
"394",3355,4,4
"395",3357,4,2
"396",3359,4,3
"397",3360,4,3
"398",3362,4,2
"399",3365,4,4
"400",3366,4,4
"401",3369,4,1
"402",3371,4,3
"403",3374,4,4
"404",3376,4,1
"405",3378,4,1
"406",3382,4,1
"407",3383,4,1
"408",3385,4,4
"409",3391,4,3
"410",3393,4,2
"411",3394,4,4
"412",3395,4,4
"413",3397,4,1
"414",3398,4,2
"415",3400,4,4
"416",3401,4,4
"417",3403,4,3
"418",3405,4,4
"419",3408,4,1
"420",3410,4,2
"421",3411,4,1
"422",3412,4,4
"423",3415,4,3
"424",3420,4,4
"425",3422,4,3
"426",3423,4,4
"427",3425,4,4
"428",3426,4,3
"429",3427,4,1
"430",3429,4,3
"431",3431,4,1
"432",3432,4,4
"433",3434,4,2
"434",3435,4,1
"435",3437,4,4
"436",3439,4,2
"437",3440,4,1
"438",3445,4,4
"439",3447,4,4
"440",3448,4,4
"441",3449,4,2
"442",3450,4,2
"443",3452,4,3
"444",3456,4,2
"445",3462,4,1
"446",3463,4,1
"447",3466,4,1
"448",3468,4,2
"449",3469,4,1
"450",3472,4,1
"451",3474,4,1
"452",3475,4,1
"453",3482,4,4
"454",3483,4,3
"455",3485,4,3
"456",3486,4,4
"457",3487,4,4
"458",3489,4,1
"459",3490,4,3
"460",3492,4,3
"461",3495,4,3
"462",3496,4,4
"463",3497,4,4
"464",3498,4,4
"465",3499,4,2
"466",3500,4,4
"467",3501,4,4
"468",3502,4,4
"469",3503,4,4
"470",3505,4,4
"471",3506,4,2
"472",3507,4,2
"473",3508,4,3
"474",3509,4,3
"475",3510,4,2
