"","X1","depth","variable","value"
"1",1,4,"richness1d",7
"2",2,5,"richness1d",11
"3",3,6,"richness1d",13
"4",4,8,"richness1d",15
"5",5,9,"richness1d",15
"6",6,12,"richness1d",19
"7",7,16,"richness1d",20
"8",8,18,"richness1d",22
"9",9,20,"richness1d",22
"10",10,30,"richness1d",22
"11",11,34,"richness1d",24
"12",12,35,"richness1d",24
"13",13,36,"richness1d",24
"14",14,38,"richness1d",24
"15",15,39,"richness1d",24
"16",16,41,"richness1d",24
"17",17,42,"richness1d",24
"18",18,61,"richness1d",24
"19",19,69,"richness1d",24
"20",20,71,"richness1d",25
"21",21,74,"richness1d",24
"22",22,77,"richness1d",24
"23",23,89,"richness1d",27
"24",24,92,"richness1d",27
"25",25,93,"richness1d",27
"26",26,96,"richness1d",27
"27",27,97,"richness1d",27
"28",28,98,"richness1d",27
"29",29,99,"richness1d",27
"30",30,100,"richness1d",27
"31",31,101,"richness1d",27
"32",32,104,"richness1d",27
"33",33,111,"richness1d",27
"34",34,112,"richness1d",27
"35",35,114,"richness1d",27
"36",36,118,"richness1d",27
"37",37,137,"richness1d",26
"38",38,139,"richness1d",26
"39",39,159,"richness1d",25
"40",40,195,"richness1d",26
"41",41,289,"richness1d",28
"42",42,419,"richness1d",28
"43",43,432,"richness1d",28
"44",44,452,"richness1d",28
"45",45,551,"richness1d",22
"46",46,589,"richness1d",21
"47",47,622,"richness1d",21
"48",48,662,"richness1d",21
"49",49,664,"richness1d",21
"50",50,754,"richness1d",20
"51",51,854,"richness1d",20
"52",52,899,"richness1d",20
"53",53,933,"richness1d",19
"54",54,965,"richness1d",19
"55",55,988,"richness1d",19
"56",56,1001,"richness1d",19
"57",57,1004,"richness1d",19
"58",58,1006,"richness1d",19
"59",59,1026,"richness1d",19
"60",60,1029,"richness1d",19
"61",61,1058,"richness1d",19
"62",62,1086,"richness1d",17
"63",63,1101,"richness1d",17
"64",64,1122,"richness1d",17
"65",65,1124,"richness1d",17
"66",66,1160,"richness1d",17
"67",67,1164,"richness1d",17
"68",68,1216,"richness1d",13
"69",69,1217,"richness1d",13
"70",70,1239,"richness1d",13
"71",71,1243,"richness1d",13
"72",72,1254,"richness1d",12
"73",73,1304,"richness1d",12
"74",74,1345,"richness1d",12
"75",75,1366,"richness1d",12
"76",76,1380,"richness1d",12
"77",77,1394,"richness1d",12
"78",78,1401,"richness1d",11
"79",79,1436,"richness1d",11
"80",80,1629,"richness1d",10
"81",81,1639,"richness1d",10
