depth,type,rich
0,richness1d,0
0,richness2d,0
4,richness1d,7
4,richness2d,3
5,richness1d,11
5,richness2d,5
6,richness1d,13
6,richness2d,6
8,richness1d,15
8,richness2d,1
9,richness1d,15
9,richness2d,5
12,richness1d,19
12,richness2d,5
16,richness1d,20
16,richness2d,5
18,richness1d,22
18,richness2d,2
20,richness1d,22
20,richness2d,3
30,richness1d,22
30,richness2d,1
34,richness1d,24
34,richness2d,7
35,richness1d,24
35,richness2d,1
36,richness1d,24
36,richness2d,7
38,richness1d,24
38,richness2d,5
39,richness1d,24
39,richness2d,5
41,richness1d,24
41,richness2d,5
42,richness1d,24
42,richness2d,2
61,richness1d,24
61,richness2d,1
69,richness1d,24
69,richness2d,2
71,richness1d,25
71,richness2d,1
74,richness1d,24
74,richness2d,1
77,richness1d,24
77,richness2d,1
89,richness1d,27
89,richness2d,1
92,richness1d,27
92,richness2d,1
93,richness1d,27
93,richness2d,1
96,richness1d,27
96,richness2d,4
97,richness1d,27
97,richness2d,7
98,richness1d,27
98,richness2d,1
99,richness1d,27
99,richness2d,2
100,richness1d,27
100,richness2d,1
101,richness1d,27
101,richness2d,4
104,richness1d,27
104,richness2d,1
111,richness1d,27
111,richness2d,3
112,richness1d,27
112,richness2d,3
114,richness1d,27
114,richness2d,1
118,richness1d,27
118,richness2d,1
137,richness1d,26
137,richness2d,4
139,richness1d,26
139,richness2d,4
159,richness1d,25
159,richness2d,2
195,richness1d,26
195,richness2d,1
289,richness1d,28
289,richness2d,1
419,richness1d,28
419,richness2d,2
432,richness1d,28
432,richness2d,6
452,richness1d,28
452,richness2d,1
551,richness1d,22
551,richness2d,4
589,richness1d,21
589,richness2d,4
622,richness1d,21
622,richness2d,7
662,richness1d,21
662,richness2d,7
664,richness1d,21
664,richness2d,2
754,richness1d,20
754,richness2d,2
854,richness1d,20
854,richness2d,4
899,richness1d,20
899,richness2d,1
933,richness1d,19
933,richness2d,5
965,richness1d,19
965,richness2d,7
988,richness1d,19
988,richness2d,1
1001,richness1d,19
1001,richness2d,4
1004,richness1d,19
1004,richness2d,1
1006,richness1d,19
1006,richness2d,1
1026,richness1d,19
1026,richness2d,8
1029,richness1d,19
1029,richness2d,1
1058,richness1d,19
1058,richness2d,6
1086,richness1d,17
1086,richness2d,2
1101,richness1d,17
1101,richness2d,1
1122,richness1d,17
1122,richness2d,3
1124,richness1d,17
1124,richness2d,1
1160,richness1d,17
1160,richness2d,1
1164,richness1d,17
1164,richness2d,7
1216,richness1d,13
1216,richness2d,4
1217,richness1d,13
1217,richness2d,3
1239,richness1d,13
1239,richness2d,2
1243,richness1d,13
1243,richness2d,6
1254,richness1d,12
1254,richness2d,2
1304,richness1d,12
1304,richness2d,2
1345,richness1d,12
1345,richness2d,4
1366,richness1d,12
1366,richness2d,2
1380,richness1d,12
1380,richness2d,2
1394,richness1d,12
1394,richness2d,4
1401,richness1d,11
1401,richness2d,2
1436,richness1d,11
1436,richness2d,2
1629,richness1d,10
1629,richness2d,6
1639,richness1d,10
1639,richness2d,1
1656,richness1d,10
1656,richness2d,5
1664,richness1d,10
1664,richness2d,5
1689,richness1d,10
1689,richness2d,1
1735,richness1d,10
1735,richness2d,1
1743,richness1d,10
1743,richness2d,1
1753,richness1d,10
1753,richness2d,7
1754,richness1d,10
1754,richness2d,5
1762,richness1d,10
1762,richness2d,1
1773,richness1d,10
1773,richness2d,6
1777,richness1d,10
1777,richness2d,2
1828,richness1d,9
1828,richness2d,1
1834,richness1d,9
1834,richness2d,4
1858,richness1d,9
1858,richness2d,2
1889,richness1d,9
1889,richness2d,6
1925,richness1d,9
1925,richness2d,3
1967,richness1d,8
1967,richness2d,5
1978,richness1d,8
1978,richness2d,1
1985,richness1d,8
1985,richness2d,5
1992,richness1d,8
1992,richness2d,6
2007,richness1d,8
2007,richness2d,6
2011,richness1d,8
2011,richness2d,1
2017,richness1d,8
2017,richness2d,7
2024,richness1d,8
2024,richness2d,5
2057,richness1d,9
2057,richness2d,2
2084,richness1d,8
2084,richness2d,5
2086,richness1d,8
2086,richness2d,5
2092,richness1d,8
2092,richness2d,3
2096,richness1d,8
2096,richness2d,4
2112,richness1d,8
2112,richness2d,4
2130,richness1d,8
2130,richness2d,1
2134,richness1d,8
2134,richness2d,6
2137,richness1d,8
2137,richness2d,5
2164,richness1d,8
2164,richness2d,1
