"","ocean","dimension","type","species","mid","area","...7","...8","...9","mid_long_adjust","...11","...12","...13"
"1","pac","latitude","lat_geog_range","Abyssopathes lyra",-19.92876,91646928525300,NA,NA,NA,NA,NA,NA,NA
"2","pac","latitude","lat_planar_range","Abyssopathes lyra",-19.92876,1.833245e+14,NA,NA,NA,NA,NA,NA,NA
"3","pac","latitude","lat_range","Abyssopathes lyra",-19.92876,14681457.683076,4298819.33624,10382638.346836,14681457.683076,NA,NA,NA,NA
"4","pac","latitude","lat_geog_range","Alternatipathes alternata",-13.664408,1.556306e+14,NA,NA,NA,NA,NA,NA,NA
"5","pac","latitude","lat_planar_range","Alternatipathes alternata",-13.664408,3.112614e+14,NA,NA,NA,NA,NA,NA,NA
"6","pac","latitude","lat_range","Alternatipathes alternata",-13.664408,18730662.953464,7592866.673485,11137796.279979,18730662.953464,NA,NA,NA,NA
"7","pac","latitude","lat_geog_range","Antipathella fiordensis",-41.263466,660378115921,NA,NA,NA,NA,NA,NA,NA
"8","pac","latitude","lat_planar_range","Antipathella fiordensis",-41.263466,1320770669250,NA,NA,NA,NA,NA,NA,NA
"9","pac","latitude","lat_range","Antipathella fiordensis",-41.263466,1590574.539941,5758122.628395,4167548.088454,1590574.539941,NA,NA,NA,NA
"10","pac","latitude","lat_geog_range","Antipathes curvata",7.301242,31633584886000,NA,NA,NA,NA,NA,NA,NA
"11","pac","latitude","lat_planar_range","Antipathes curvata",7.301242,63267173817000,NA,NA,NA,NA,NA,NA,NA
"12","pac","latitude","lat_range","Antipathes curvata",7.301242,5146672.597678,3042080.959925,2104591.637753,5146672.597678,NA,NA,NA,NA
"13","pac","latitude","lat_geog_range","Antipathes dendrochristos",31.409685,1621108426490,NA,NA,NA,NA,NA,NA,NA
"14","pac","latitude","lat_planar_range","Antipathes dendrochristos",31.409685,3242217372070,NA,NA,NA,NA,NA,NA,NA
"15","pac","latitude","lat_range","Antipathes dendrochristos",31.409685,1938379.405254,4523675.468034,2585296.06278,1938379.405254,NA,NA,NA,NA
"16","pac","latitude","lat_geog_range","Antipathes densa",5.121495,28783453193100,NA,NA,NA,NA,NA,NA,NA
"17","pac","latitude","lat_planar_range","Antipathes densa",5.121495,57566933446000,NA,NA,NA,NA,NA,NA,NA
"18","pac","latitude","lat_range","Antipathes densa",5.121495,8558133.669591,4079335.257825,4478798.411766,8558133.669591,NA,NA,NA,NA
"19","pac","latitude","lat_geog_range","Antipathes flabellum",-0.203041,12171100394900,NA,NA,NA,NA,NA,NA,NA
"20","pac","latitude","lat_planar_range","Antipathes flabellum",-0.203041,24342267313600,NA,NA,NA,NA,NA,NA,NA
"21","pac","latitude","lat_range","Antipathes flabellum",-0.203041,7131533.006353,3042909.912595,4088623.093758,7131533.006353,NA,NA,NA,NA
"22","pac","latitude","lat_geog_range","Antipathes galapagensis",11.239787,3806374277920,NA,NA,NA,NA,NA,NA,NA
"23","pac","latitude","lat_planar_range","Antipathes galapagensis",11.239787,7612951454770,NA,NA,NA,NA,NA,NA,NA
"24","pac","latitude","lat_range","Antipathes galapagensis",11.239787,4118761.213506,3455040.849597,663720.363909,4118761.213506,NA,NA,NA,NA
"25","pac","latitude","lat_geog_range","Antipathes gracilis",-32.84553,978048705219,NA,NA,NA,NA,NA,NA,NA
"26","pac","latitude","lat_planar_range","Antipathes gracilis",-32.84553,1956107336960,NA,NA,NA,NA,NA,NA,NA
"27","pac","latitude","lat_range","Antipathes gracilis",-32.84553,1391940.395312,4742444.21063,3350503.815318,1391940.395312,NA,NA,NA,NA
"28","pac","latitude","lat_geog_range","Antipathes grandis",4.624698,19668272187100,NA,NA,NA,NA,NA,NA,NA
"29","pac","latitude","lat_planar_range","Antipathes grandis",4.624698,39336556902600,NA,NA,NA,NA,NA,NA,NA
"30","pac","latitude","lat_range","Antipathes grandis",4.624698,4584366.534931,2480747.892075,2103618.642856,4584366.534931,NA,NA,NA,NA
"31","pac","latitude","lat_geog_range","Antipathes pauroclema",7.801787,7808524546190,NA,NA,NA,NA,NA,NA,NA
"32","pac","latitude","lat_planar_range","Antipathes pauroclema",7.801787,15617164414400,NA,NA,NA,NA,NA,NA,NA
"33","pac","latitude","lat_range","Antipathes pauroclema",7.801787,8259673.214954,4166201.200426,4093472.014528,8259673.214954,NA,NA,NA,NA
"34","pac","latitude","lat_geog_range","Antipathes sarothrum",-10.168326,13355777463700,NA,NA,NA,NA,NA,NA,NA
"35","pac","latitude","lat_planar_range","Antipathes sarothrum",-10.168326,26711636795700,NA,NA,NA,NA,NA,NA,NA
"36","pac","latitude","lat_range","Antipathes sarothrum",-10.168326,7433244.328302,3042909.912595,4390334.415707,7433244.328302,NA,NA,NA,NA
"37","pac","latitude","lat_geog_range","Antipathes sibogae",2.203911,17984968707800,NA,NA,NA,NA,NA,NA,NA
"38","pac","latitude","lat_planar_range","Antipathes sibogae",2.203911,35969943601200,NA,NA,NA,NA,NA,NA,NA
"39","pac","latitude","lat_range","Antipathes sibogae",2.203911,5006609.430948,3042909.912595,1963699.518353,5006609.430948,NA,NA,NA,NA
"40","pac","latitude","lat_geog_range","Antipathes simplex",10.927669,1033115809740,NA,NA,NA,NA,NA,NA,NA
"41","pac","latitude","lat_planar_range","Antipathes simplex",10.927669,2066314739760,NA,NA,NA,NA,NA,NA,NA
"42","pac","latitude","lat_range","Antipathes simplex",10.927669,2862087.805196,3042909.912595,180822.107399,2862087.805196,NA,NA,NA,NA
"43","pac","latitude","lat_geog_range","Bathypathes patula",-17.06322,2.41442e+14,NA,NA,NA,NA,NA,NA,NA
"44","pac","latitude","lat_planar_range","Bathypathes patula",-17.06322,4.828869e+14,NA,NA,NA,NA,NA,NA,NA
"45","pac","latitude","lat_range","Bathypathes patula",-17.06322,18597462.262422,8154162.333502,10443299.92892,18597462.262422,NA,NA,NA,NA
"46","pac","latitude","lat_geog_range","Chrysopathes speciosa",50.760023,8968688375070,NA,NA,NA,NA,NA,NA,NA
"47","pac","latitude","lat_planar_range","Chrysopathes speciosa",50.760023,17937492727200,NA,NA,NA,NA,NA,NA,NA
"48","pac","latitude","lat_range","Chrysopathes speciosa",50.760023,3898573.363784,8217351.866899,4318778.503115,3898573.363784,NA,NA,NA,NA
"49","pac","latitude","lat_geog_range","Cirrhipathes anguina",7.336633,43389814917200,NA,NA,NA,NA,NA,NA,NA
"50","pac","latitude","lat_planar_range","Cirrhipathes anguina",7.336633,86779717797000,NA,NA,NA,NA,NA,NA,NA
"51","pac","latitude","lat_range","Cirrhipathes anguina",7.336633,6006137.000528,3901545.362775,2104591.637753,6006137.000528,NA,NA,NA,NA
"52","pac","latitude","lat_geog_range","Cirrhipathes spiralis",5.25737,44542032780600,NA,NA,NA,NA,NA,NA,NA
"53","pac","latitude","lat_planar_range","Cirrhipathes spiralis",5.25737,89084836993200,NA,NA,NA,NA,NA,NA,NA
"54","pac","latitude","lat_range","Cirrhipathes spiralis",5.25737,7998516.032936,4180033.465851,3818482.567085,7998516.032936,NA,NA,NA,NA
"55","pac","latitude","lat_geog_range","Cupressopathes abies",-2.962463,10348063541600,NA,NA,NA,NA,NA,NA,NA
"56","pac","latitude","lat_planar_range","Cupressopathes abies",-2.962463,20696189275900,NA,NA,NA,NA,NA,NA,NA
"57","pac","latitude","lat_range","Cupressopathes abies",-2.962463,6348376.049756,3042909.912595,3305466.137161,6348376.049756,NA,NA,NA,NA
"58","pac","latitude","lat_geog_range","Dendropathes intermedia",-2.558126,43371430572900,NA,NA,NA,NA,NA,NA,NA
"59","pac","latitude","lat_planar_range","Dendropathes intermedia",-2.558126,86743560281900,NA,NA,NA,NA,NA,NA,NA
"60","pac","latitude","lat_range","Dendropathes intermedia",-2.558126,10871190.484649,4275504.934233,6595685.550416,10871190.484649,NA,NA,NA,NA
"61","pac","latitude","lat_geog_range","Leiopathes acanthophora",-39.030496,1129128665130,NA,NA,NA,NA,NA,NA,NA
"62","pac","latitude","lat_planar_range","Leiopathes acanthophora",-39.030496,2258442591400,NA,NA,NA,NA,NA,NA,NA
"63","pac","latitude","lat_range","Leiopathes acanthophora",-39.030496,1543657.911876,5515779.898649,3972121.986773,1543657.911876,NA,NA,NA,NA
"64","pac","latitude","lat_geog_range","Leiopathes secunda",-41.460686,5207596530660,NA,NA,NA,NA,NA,NA,NA
"65","pac","latitude","lat_planar_range","Leiopathes secunda",-41.460686,10415237075600,NA,NA,NA,NA,NA,NA,NA
"66","pac","latitude","lat_range","Leiopathes secunda",-41.460686,2244387.033959,6208826.420407,3964439.386448,2244387.033959,NA,NA,NA,NA
"67","pac","latitude","lat_geog_range","Lillipathes lillei",-19.971406,30728645152300,NA,NA,NA,NA,NA,NA,NA
"68","pac","latitude","lat_planar_range","Lillipathes lillei",-19.971406,61457298513500,NA,NA,NA,NA,NA,NA,NA
"69","pac","latitude","lat_range","Lillipathes lillei",-19.971406,17712677.295623,7278970.41162,10433706.884003,17712677.295623,NA,NA,NA,NA
"70","pac","latitude","lat_geog_range","Lillipathes wingi",50.784775,2754968927780,NA,NA,NA,NA,NA,NA,NA
"71","pac","latitude","lat_planar_range","Lillipathes wingi",50.784775,5510001053350,NA,NA,NA,NA,NA,NA,NA
"72","pac","latitude","lat_range","Lillipathes wingi",50.784775,2633311.845841,7856117.868542,5222806.022701,2633311.845841,NA,NA,NA,NA
"73","pac","latitude","lat_geog_range","Myriopathes bifaria",19.088622,5082701304950,NA,NA,NA,NA,NA,NA,NA
"74","pac","latitude","lat_planar_range","Myriopathes bifaria",19.088622,10165402635600,NA,NA,NA,NA,NA,NA,NA
"75","pac","latitude","lat_range","Myriopathes bifaria",19.088622,3981758.824199,4175478.717834,193719.893635,3981758.824199,NA,NA,NA,NA
"76","pac","latitude","lat_geog_range","Myriopathes japonica",-3.662539,13544182400400,NA,NA,NA,NA,NA,NA,NA
"77","pac","latitude","lat_planar_range","Myriopathes japonica",-3.662539,27088366171200,NA,NA,NA,NA,NA,NA,NA
"78","pac","latitude","lat_range","Myriopathes japonica",-3.662539,7732087.710269,3911895.53019,3820192.180079,7732087.710269,NA,NA,NA,NA
"79","pac","latitude","lat_geog_range","Myriopathes myriophylla",-2.552672,23533066807200,NA,NA,NA,NA,NA,NA,NA
"80","pac","latitude","lat_planar_range","Myriopathes myriophylla",-2.552672,47066135634100,NA,NA,NA,NA,NA,NA,NA
"81","pac","latitude","lat_range","Myriopathes myriophylla",-2.552672,7148219.878018,3643095.41325,3505124.464768,7148219.878018,NA,NA,NA,NA
"82","pac","latitude","lat_geog_range","Myriopathes panamensis",9.087689,3701486143950,NA,NA,NA,NA,NA,NA,NA
"83","pac","latitude","lat_planar_range","Myriopathes panamensis",9.087689,7402972727060,NA,NA,NA,NA,NA,NA,NA
"84","pac","latitude","lat_range","Myriopathes panamensis",9.087689,2915202.005635,2753008.412817,162193.592818,2915202.005635,NA,NA,NA,NA
"85","pac","latitude","lat_geog_range","Myriopathes ulex",6.104972,39652055871700,NA,NA,NA,NA,NA,NA,NA
"86","pac","latitude","lat_planar_range","Myriopathes ulex",6.104972,79304191675600,NA,NA,NA,NA,NA,NA,NA
"87","pac","latitude","lat_range","Myriopathes ulex",6.104972,7568524.687457,3901862.840528,3666661.846929,7568524.687457,NA,NA,NA,NA
"88","pac","latitude","lat_geog_range","Parantipathes helicosticha",-55.256378,18021090806300,NA,NA,NA,NA,NA,NA,NA
"89","pac","latitude","lat_planar_range","Parantipathes helicosticha",-55.256378,36042379310000,NA,NA,NA,NA,NA,NA,NA
"90","pac","latitude","lat_range","Parantipathes helicosticha",-55.256378,10245143.218645,3336397.642107,13581540.860752,10245143.218645,NA,NA,NA,NA
"91","pac","latitude","lat_geog_range","pseudocirrhipathes mapia",14.023544,19545844789600,NA,NA,NA,NA,NA,NA,NA
"92","pac","latitude","lat_planar_range","pseudocirrhipathes mapia",14.023544,19545844789600,NA,NA,NA,NA,NA,NA,NA
"93","pac","latitude","lat_range","pseudocirrhipathes mapia",14.023544,4001999.490636,3068086.37497,933913.115666,4001999.490636,NA,NA,NA,NA
"94","pac","latitude","lat_geog_range","Rhipidipathes reticulata",6.969443,11133824068400,NA,NA,NA,NA,NA,NA,NA
"95","pac","latitude","lat_planar_range","Rhipidipathes reticulata",6.969443,22267648865800,NA,NA,NA,NA,NA,NA,NA
"96","pac","latitude","lat_range","Rhipidipathes reticulata",6.969443,4224715.391474,3042080.959925,1182634.431549,4224715.391474,NA,NA,NA,NA
"97","pac","latitude","lat_geog_range","Schizopathes affinis",-16.163734,1.945779e+14,NA,NA,NA,NA,NA,NA,NA
"98","pac","latitude","lat_planar_range","Schizopathes affinis",-16.163734,97288929564800,NA,NA,NA,NA,NA,NA,NA
"99","pac","latitude","lat_range","Schizopathes affinis",-16.163734,12895007.254921,4214306.11881,8680701.136111,12895007.254921,NA,NA,NA,NA
"100","pac","latitude","lat_geog_range","Stauropathes staurocrada",-6.518516,24712605675200,NA,NA,NA,NA,NA,NA,NA
"101","pac","latitude","lat_planar_range","Stauropathes staurocrada",-6.518516,12355915653400,NA,NA,NA,NA,NA,NA,NA
"102","pac","latitude","lat_range","Stauropathes staurocrada",-6.518516,10096995.590294,3008528.255511,7088467.334783,10096995.590294,NA,NA,NA,NA
"103","pac","latitude","lat_geog_range","Stichopathes spiessi",9.072785,54219914783700,NA,NA,NA,NA,NA,NA,NA
"104","pac","latitude","lat_planar_range","Stichopathes spiessi",9.072785,1.084401e+14,NA,NA,NA,NA,NA,NA,NA
