"","ocean","dimension","type","species","mid","area","...7","...8","...9","mid_long_adjust","...11","...12","...13"
"1","pac","latitude","lat_geog_range","Abyssopathes lyra",-19.92876,13.9621179145043,NA,NA,NA,NA,NA,NA,NA
"2","pac","latitude","lat_planar_range","Abyssopathes lyra",-19.92876,14.2632205091727,NA,NA,NA,NA,NA,NA,NA
"3","pac","latitude","lat_range","Abyssopathes lyra",-19.92876,7.16676917767049,4298819.33624,10382638.346836,14681457.683076,NA,NA,NA,NA
"4","pac","latitude","lat_geog_range","Alternatipathes alternata",-13.664408,14.1920949917834,NA,NA,NA,NA,NA,NA,NA
"5","pac","latitude","lat_planar_range","Alternatipathes alternata",-13.664408,14.493125266502,NA,NA,NA,NA,NA,NA,NA
"6","pac","latitude","lat_range","Alternatipathes alternata",-13.664408,7.27255314907496,7592866.673485,11137796.279979,18730662.953464,NA,NA,NA,NA
"7","pac","latitude","lat_geog_range","Antipathella fiordensis",-41.263466,11.8197926728702,NA,NA,NA,NA,NA,NA,NA
"8","pac","latitude","lat_planar_range","Antipathella fiordensis",-41.263466,12.1208274158541,NA,NA,NA,NA,NA,NA,NA
"9","pac","latitude","lat_range","Antipathella fiordensis",-41.263466,6.20155402649368,5758122.628395,4167548.088454,1590574.539941,NA,NA,NA,NA
"10","pac","latitude","lat_geog_range","Antipathes curvata",7.301242,13.500148411264,NA,NA,NA,NA,NA,NA,NA
"11","pac","latitude","lat_planar_range","Antipathes curvata",7.301242,13.8011784346947,NA,NA,NA,NA,NA,NA,NA
"12","pac","latitude","lat_range","Antipathes curvata",7.301242,6.71152654176011,3042080.959925,2104591.637753,5146672.597678,NA,NA,NA,NA
"13","pac","latitude","lat_geog_range","Antipathes dendrochristos",31.409685,12.2098120632455,NA,NA,NA,NA,NA,NA,NA
"14","pac","latitude","lat_planar_range","Antipathes dendrochristos",31.409685,12.5108421284415,NA,NA,NA,NA,NA,NA,NA
"15","pac","latitude","lat_range","Antipathes dendrochristos",31.409685,6.287438786895,4523675.468034,2585296.06278,1938379.405254,NA,NA,NA,NA
"16","pac","latitude","lat_geog_range","Antipathes densa",5.121495,13.4591428956723,NA,NA,NA,NA,NA,NA,NA
"17","pac","latitude","lat_planar_range","Antipathes densa",5.121495,13.7601730954799,NA,NA,NA,NA,NA,NA,NA
"18","pac","latitude","lat_range","Antipathes densa",5.121495,6.93237906545154,4079335.257825,4478798.411766,8558133.669591,NA,NA,NA,NA
"19","pac","latitude","lat_geog_range","Antipathes flabellum",-0.203041,13.0853298447731,NA,NA,NA,NA,NA,NA,NA
"20","pac","latitude","lat_planar_range","Antipathes flabellum",-0.203041,13.386361027301,NA,NA,NA,NA,NA,NA,NA
"21","pac","latitude","lat_range","Antipathes flabellum",-0.203041,6.85318289656105,3042909.912595,4088623.093758,7131533.006353,NA,NA,NA,NA
"22","pac","latitude","lat_geog_range","Antipathes galapagensis",11.239787,12.5805114899004,NA,NA,NA,NA,NA,NA,NA
"23","pac","latitude","lat_planar_range","Antipathes galapagensis",11.239787,12.8815530604524,NA,NA,NA,NA,NA,NA,NA
"24","pac","latitude","lat_range","Antipathes galapagensis",11.239787,6.61476661432525,3455040.849597,663720.363909,4118761.213506,NA,NA,NA,NA
"25","pac","latitude","lat_geog_range","Antipathes gracilis",-32.84553,11.990360482478,NA,NA,NA,NA,NA,NA,NA
"26","pac","latitude","lat_planar_range","Antipathes gracilis",-32.84553,12.2913926820316,NA,NA,NA,NA,NA,NA,NA
"27","pac","latitude","lat_range","Antipathes gracilis",-32.84553,6.14362063862129,4742444.21063,3350503.815318,1391940.395312,NA,NA,NA,NA
"28","pac","latitude","lat_geog_range","Antipathes grandis",4.624698,13.2937662098143,NA,NA,NA,NA,NA,NA,NA
"29","pac","latitude","lat_planar_range","Antipathes grandis",4.624698,13.5947963437978,NA,NA,NA,NA,NA,NA,NA
"30","pac","latitude","lat_range","Antipathes grandis",4.624698,6.66127933359593,2480747.892075,2103618.642856,4584366.534931,NA,NA,NA,NA
"31","pac","latitude","lat_geog_range","Antipathes pauroclema",7.801787,12.8925689798461,NA,NA,NA,NA,NA,NA,NA
"32","pac","latitude","lat_planar_range","Antipathes pauroclema",7.801787,13.1936021824881,NA,NA,NA,NA,NA,NA,NA
"33","pac","latitude","lat_range","Antipathes pauroclema",7.801787,6.91696286526836,4166201.200426,4093472.014528,8259673.214954,NA,NA,NA,NA
"34","pac","latitude","lat_geog_range","Antipathes sarothrum",-10.168326,13.125669174152,NA,NA,NA,NA,NA,NA,NA
"35","pac","latitude","lat_planar_range","Antipathes sarothrum",-10.168326,13.426700500884,NA,NA,NA,NA,NA,NA,NA
"36","pac","latitude","lat_range","Antipathes sarothrum",-10.168326,6.87117840815468,3042909.912595,4390334.415707,7433244.328302,NA,NA,NA,NA
"37","pac","latitude","lat_geog_range","Antipathes sibogae",2.203911,13.2549096865225,NA,NA,NA,NA,NA,NA,NA
"38","pac","latitude","lat_planar_range","Antipathes sibogae",2.203911,13.5559397568703,NA,NA,NA,NA,NA,NA,NA
"39","pac","latitude","lat_range","Antipathes sibogae",2.203911,6.6995437131085,3042909.912595,1963699.518353,5006609.430948,NA,NA,NA,NA
"40","pac","latitude","lat_geog_range","Antipathes simplex",10.927669,12.0141490075912,NA,NA,NA,NA,NA,NA,NA
"41","pac","latitude","lat_planar_range","Antipathes simplex",10.927669,12.3151964736842,NA,NA,NA,NA,NA,NA,NA
"42","pac","latitude","lat_range","Antipathes simplex",10.927669,6.4566829532278,3042909.912595,180822.107399,2862087.805196,NA,NA,NA,NA
"43","pac","latitude","lat_geog_range","Bathypathes patula",-17.06322,14.3828128199521,NA,NA,NA,NA,NA,NA,NA
"44","pac","latitude","lat_planar_range","Bathypathes patula",-17.06322,14.6838454237998,NA,NA,NA,NA,NA,NA,NA
"45","pac","latitude","lat_range","Bathypathes patula",-17.06322,7.26945368612011,8154162.333502,10443299.92892,18597462.262422,NA,NA,NA,NA
"46","pac","latitude","lat_geog_range","Chrysopathes speciosa",50.760023,12.952728934335,NA,NA,NA,NA,NA,NA,NA
"47","pac","latitude","lat_planar_range","Chrysopathes speciosa",50.760023,13.2537617379924,NA,NA,NA,NA,NA,NA,NA
"48","pac","latitude","lat_range","Chrysopathes speciosa",50.760023,6.5909057112351,8217351.866899,4318778.503115,3898573.363784,NA,NA,NA,NA
"49","pac","latitude","lat_geog_range","Cirrhipathes anguina",7.336633,13.6373877976146,NA,NA,NA,NA,NA,NA,NA
