"","ocean","dimension","type","species","mid","area","...7","...8","...9","mid_long_adjust","...11","...12","...13"
"1","pac","longitude","long_geog_range","Abyssopathes lyra",-145.969087,91646928525300,NA,NA,NA,76.96,NA,1,192
"2","pac","longitude","long_planar_range","Abyssopathes lyra",-145.969087,1.833245e+14,NA,NA,NA,76.96,NA,NA,NA
"3","pac","longitude","long_range","Abyssopathes lyra",-145.969087,13334219.301123,202230.779339,13536450.080462,13334219.301123,76.96,NA,NA,NA
"4","pac","longitude","long_geog_range","Alternatipathes alternata",-147.825154,1.556306e+14,NA,NA,NA,78.825,NA,NA,NA
"5","pac","longitude","long_planar_range","Alternatipathes alternata",-147.825154,3.112614e+14,NA,NA,NA,78.825,NA,NA,NA
"6","pac","longitude","long_range","Alternatipathes alternata",-147.825154,15259249.110334,1722799.029872,13536450.080462,15259249.110334,78.825,NA,NA,NA
"7","pac","longitude","long_geog_range","Antipathella fiordensis",172.230029,660378115921,NA,NA,NA,120.23,NA,NA,NA
"8","pac","longitude","long_planar_range","Antipathella fiordensis",172.230029,1320770669250,NA,NA,NA,120.23,NA,NA,NA
"9","pac","longitude","long_range","Antipathella fiordensis",172.230029,988480.231493,2834268.040419,1845787.808926,988480.231493,120.23,NA,NA,NA
"10","pac","longitude","long_geog_range","Antipathes curvata",160.84897,31633584886000,NA,NA,NA,132.84,NA,NA,NA
"11","pac","longitude","long_planar_range","Antipathes curvata",160.84897,63267173817000,NA,NA,NA,132.84,NA,NA,NA
"12","pac","longitude","long_range","Antipathes curvata",160.84897,8972147.465909,3343388.733438,5628758.732471,8972147.465909,132.84,NA,NA,NA
"13","pac","longitude","long_geog_range","Antipathes dendrochristos",-134.432958,1621108426490,NA,NA,NA,65.43,NA,NA,NA
"14","pac","longitude","long_planar_range","Antipathes dendrochristos",-134.432958,3242217372070,NA,NA,NA,65.43,NA,NA,NA
"15","pac","longitude","long_range","Antipathes dendrochristos",-134.432958,4652041.63157,5462447.413226,10114489.044796,4652041.63157,65.43,NA,NA,NA
"16","pac","longitude","long_geog_range","Antipathes densa",156.527359,28783453193100,NA,NA,0,136.52,NA,NA,NA
"17","pac","longitude","long_planar_range","Antipathes densa",156.527359,57566933446000,NA,NA,0,136.52,NA,NA,NA
"18","pac","longitude","long_range","Antipathes densa",156.527359,5639445.626226,2609329.086833,3030116.539393,5639445.626226,136.52,NA,NA,NA
