"","ocean","dimension","type","species","mid","area","...7","...8","...9","mid_long_adjust","...11","...12","...13"
"1","pac","longitude","long_geog_range","Abyssopathes lyra",-145.969087,13.9621179145043,NA,NA,NA,76.96,NA,1,192
"2","pac","longitude","long_planar_range","Abyssopathes lyra",-145.969087,14.2632205091727,NA,NA,NA,76.96,NA,NA,NA
"3","pac","longitude","long_range","Abyssopathes lyra",-145.969087,7.12496759346874,202230.779339,13536450.080462,13334219.301123,76.96,NA,NA,NA
"4","pac","longitude","long_geog_range","Alternatipathes alternata",-147.825154,14.1920949917834,NA,NA,NA,78.825,NA,NA,NA
"5","pac","longitude","long_planar_range","Alternatipathes alternata",-147.825154,14.493125266502,NA,NA,NA,78.825,NA,NA,NA
"6","pac","longitude","long_range","Alternatipathes alternata",-147.825154,7.18353316302502,1722799.029872,13536450.080462,15259249.110334,78.825,NA,NA,NA
"7","pac","longitude","long_geog_range","Antipathella fiordensis",172.230029,11.8197926728702,NA,NA,NA,120.23,NA,NA,NA
"8","pac","longitude","long_planar_range","Antipathella fiordensis",172.230029,12.1208274158541,NA,NA,NA,120.23,NA,NA,NA
"9","pac","longitude","long_range","Antipathella fiordensis",172.230029,5.99496798832915,2834268.040419,1845787.808926,988480.231493,120.23,NA,NA,NA
"10","pac","longitude","long_geog_range","Antipathes curvata",160.84897,13.500148411264,NA,NA,NA,132.84,NA,NA,NA
"11","pac","longitude","long_planar_range","Antipathes curvata",160.84897,13.8011784346947,NA,NA,NA,132.84,NA,NA,NA
"12","pac","longitude","long_range","Antipathes curvata",160.84897,6.95289640301885,3343388.733438,5628758.732471,8972147.465909,132.84,NA,NA,NA
"13","pac","longitude","long_geog_range","Antipathes dendrochristos",-134.432958,12.2098120632455,NA,NA,NA,65.43,NA,NA,NA
"14","pac","longitude","long_planar_range","Antipathes dendrochristos",-134.432958,12.5108421284415,NA,NA,NA,65.43,NA,NA,NA
"15","pac","longitude","long_range","Antipathes dendrochristos",-134.432958,6.66764359261708,5462447.413226,10114489.044796,4652041.63157,65.43,NA,NA,NA
"16","pac","longitude","long_geog_range","Antipathes densa",156.527359,13.4591428956723,NA,NA,0,136.52,NA,NA,NA
"17","pac","longitude","long_planar_range","Antipathes densa",156.527359,13.7601730954799,NA,NA,0,136.52,NA,NA,NA
"18","pac","longitude","long_range","Antipathes densa",156.527359,6.75123641368115,2609329.086833,3030116.539393,5639445.626226,136.52,NA,NA,NA
"19","pac","longitude","long_geog_range","Antipathes flabellum",141.839946,13.0853298447731,NA,NA,0,151.83,NA,NA,NA
"20","pac","longitude","long_planar_range","Antipathes flabellum",141.839946,13.386361027301,NA,NA,0,151.83,NA,NA,NA
"21","pac","longitude","long_range","Antipathes flabellum",141.839946,6.72978941050742,3257208.300611,2110506.22595,5367714.526561,151.83,NA,NA,NA
"22","pac","longitude","long_geog_range","Antipathes galapagensis",-100.629692,12.5805114899004,NA,NA,NA,31.62,NA,NA,NA
"23","pac","longitude","long_planar_range","Antipathes galapagensis",-100.629692,12.8815530604524,NA,NA,NA,31.62,NA,NA,NA
"24","pac","longitude","long_range","Antipathes galapagensis",-100.629692,6.56639951975307,14326820.914123,10642143.097198,3684677.816925,31.62,NA,NA,NA
"25","pac","longitude","long_geog_range","Antipathes gracilis",175.847984,11.990360482478,NA,NA,0,117.84,NA,NA,NA
"26","pac","longitude","long_planar_range","Antipathes gracilis",175.847984,12.2913926820316,NA,NA,0,117.84,NA,NA,NA
"27","pac","longitude","long_range","Antipathes gracilis",175.847984,6.18706979506988,3515246.88027,1976845.024674,1538401.855596,117.84,NA,NA,NA
"28","pac","longitude","long_geog_range","Antipathes grandis",172.078233,13.2937662098143,NA,NA,0,120.07,NA,NA,NA
"29","pac","longitude","long_planar_range","Antipathes grandis",172.078233,13.5947963437978,NA,NA,0,120.07,NA,NA,NA
"30","pac","longitude","long_range","Antipathes grandis",172.078233,6.95267013942521,2853096.285133,6114377.988552,8967474.273685,120.07,NA,NA,NA
"31","pac","longitude","long_geog_range","Antipathes pauroclema",147.36969,12.8925689798461,NA,NA,NA,145.36,NA,NA,NA
"32","pac","longitude","long_planar_range","Antipathes pauroclema",147.36969,13.1936021824881,NA,NA,NA,145.36,NA,NA,NA
"33","pac","longitude","long_range","Antipathes pauroclema",147.36969,6.70148699368961,2465949.360053,2563112.68516,5029062.045213,145.36,NA,NA,NA
"34","pac","longitude","long_geog_range","Antipathes sarothrum",156.568148,13.125669174152,NA,NA,NA,136.56,NA,NA,NA
"35","pac","longitude","long_planar_range","Antipathes sarothrum",156.568148,13.426700500884,NA,NA,NA,136.56,NA,NA,NA
"36","pac","longitude","long_range","Antipathes sarothrum",156.568148,6.77264851307776,2465949.360053,3458507.113174,5924456.473227,136.56,NA,NA,NA
"37","pac","longitude","long_geog_range","Antipathes sibogae",163.919,13.2549096865225,NA,NA,NA,129.9,NA,NA,NA
"38","pac","longitude","long_planar_range","Antipathes sibogae",163.919,13.5559397568703,NA,NA,NA,129.9,NA,NA,NA
"39","pac","longitude","long_range","Antipathes sibogae",163.919,7.01227001466717,3593726.787321,6692829.684951,10286556.472272,129.9,NA,NA,NA
"40","pac","longitude","long_geog_range","Antipathes simplex",123.768867,12.0141490075912,NA,NA,NA,169.76,NA,NA,NA
"41","pac","longitude","long_planar_range","Antipathes simplex",123.768867,12.3151964736842,NA,NA,NA,169.76,NA,NA,NA
"42","pac","longitude","long_range","Antipathes simplex",123.768867,6.0111739445323,3488783.899599,2462721.09482,1026062.804779,169.76,NA,NA,NA
"43","pac","longitude","long_geog_range","Bathypathes patula",-155.167425,14.3828128199521,NA,NA,NA,86.16,NA,NA,NA
"44","pac","longitude","long_planar_range","Bathypathes patula",-155.167425,14.6838454237998,NA,NA,NA,86.16,NA,NA,NA
"45","pac","longitude","long_range","Bathypathes patula",-155.167425,7.26637571538079,3514022.477191,14952100.1562,18466122.633391,86.16,NA,NA,NA
"46","pac","longitude","long_geog_range","Chrysopathes speciosa",-142.970222,12.952728934335,NA,NA,NA,73.97,NA,NA,NA
"47","pac","longitude","long_planar_range","Chrysopathes speciosa",-142.970222,13.2537617379924,NA,NA,NA,73.97,NA,NA,NA
"48","pac","longitude","long_range","Chrysopathes speciosa",-142.970222,6.76151801853285,9781476.676769,4006928.37318,5774548.303589,73.97,NA,NA,NA
"49","pac","longitude","long_geog_range","Cirrhipathes anguina",159.10714,13.6373877976146,NA,NA,NA,133.1,NA,NA,NA
"50","pac","longitude","long_planar_range","Cirrhipathes anguina",159.10714,13.9384182334931,NA,NA,NA,133.1,NA,NA,NA
"51","pac","longitude","long_range","Cirrhipathes anguina",159.10714,6.97670485692233,3333462.151805,6144279.294335,9477741.44614,133.1,NA,NA,NA
"52","pac","longitude","long_geog_range","Cirrhipathes spiralis",159.660169,13.6487700332021,NA,NA,0,133.66,NA,NA,NA
"53","pac","longitude","long_planar_range","Cirrhipathes spiralis",159.660169,13.9498037896645,NA,NA,0,133.66,NA,NA,NA
"54","pac","longitude","long_range","Cirrhipathes spiralis",159.660169,6.97229573801724,3238283.987176,6143722.696881,9382006.684057,133.66,NA,NA,NA
"55","pac","longitude","long_geog_range","Cupressopathes abies",134.08195,13.0148590868092,NA,NA,0,158.08,NA,NA,NA
