"","species1","Freq","decimalLon","decimalLat","depth","area","volume","min_depth","max_depth","min_lat","max_lat","mid_depth","bathy_range","mid_lat","lat_range","abs_mid_lat","abs_decimalLat"
"1","Abyssopathes lyra",13,151.816696,-4.38,4005,1434638.091064,16227204.29284,2050,5772.36,-67.916672,36.17,3911.18,3722.36,-15.873336,104.086672,15.873336,4.38
"2","Alternatipathes alternata",105,-155.36213,19.80338,1489.7,2392658.75457,40537308.27897,182,5089,-70.333328,56.350281,2635.5,4907,-6.9915235,126.683609,6.9915235,19.80338
"3","Antipathella fiordensis",71,167.014725,-45.299999,17.5,8967.89067216,5945.33318752,2.5,514,-46.053333,-35.208,258.25,511.5,-40.6306665,10.845333,40.6306665,45.299999
"4","Antipathes curvata",27,123.542,8.767,33,129617.4741132,490946.995406,12,604,-18.68833,26.5,308,592,3.905835,45.18833,3.905835,8.767
"5","Antipathes dendrochristos",948,-119.47353,33.92162,229.5,19314.1134086,7414.16573183,80,1180.33,22.75,37.790421,630.165,1100.33,30.2702105,15.040421,30.2702105,33.92162
"6","Antipathes densa",12,163.4265,-27.993334,318.5,102120.4035586,325634.68562,34,479,-37.4698,34.555,256.5,445,-1.4574,72.0248,1.4574,27.993334
"7","Antipathes flabellum",30,127.848328,14.878315,56.5,119793.7599014,431831.1281,3.5,530,-34.624,26.5067,266.75,526.5,-4.05865,61.1307,4.05865,14.878315
"8","Antipathes galapagensis",35,-109.214167,10.300167,40,5015.42688666,2418.16683967,7.62,293,-5.991389,29.7875,150.31,285.38,11.8980555,35.778889,11.8980555,10.300167
"9","Antipathes gracilis",13,174.666702,-35.799999,305,19841.26338902,2766.33509906,79,1174,-39.333332,-28.965,626.5,1095,-34.149166,10.368332,34.149166,35.799999
"10","Antipathes grandis",107,-156.753,20.9356,88.5,33222.1464372,61489.2777074,5,455,-18.68,21.87615,230,450,1.598075,40.55615,1.598075,20.9356
"11","Antipathes pauroclema",12,127.877,26.5,44.5,40204.1639628,28856.9729264,6,270,-34.66,35.198069,138,264,0.2690345,69.858069,0.2690345,26.5
"12","Antipathes sarothrum",26,127.848328,26.5,61,111851.867579,367121.890412,10,693,-36.8337,26.5067,351.5,683,-5.1635,63.3404,5.1635,26.5
"13","Antipathes sibogae",14,124.099999,11.4125,31,12429.40236678,36043.9536088,3,130,-17.477889,26.5067,66.5,127,4.5144055,43.984589,4.5144055,11.4125
"14","Antipathes simplex",45,127.848,26.5,61,11135.78251124,5381.33602722,6,567,1.635075,26.5067,286.5,561,14.0708875,24.871625,14.0708875,26.5
