"","species1","X1","Freq","decimalLon","decimalLat","depth","area","volume","min_depth","max_depth","min_lat","max_lat","mid_depth","bathy_range","mid_lat","lat_range","abs_mid_lat","abs_decimalLat","mid_x_geog.x","mid_y_geog.x","area_geog.x","mid_x_geog.y","mid_y_geog.y","area_geog.y","area_geog_combine","y_median","abs_y_median"
"1","Abyssopathes lyra",1,13,151.816696,-4.38,4005,1434638.091064,16227204.29284,2050,5772.36,-67.916672,36.17,3911.18,3722.36,-15.873336,1151563.93653872,15.873336,4.38,18880404.2038,2.83889,8839422277690,-15201716.085,-11.8006478043,67310875605000,76150297882690,-4.48087890215,4.48087890215
"2","Alternatipathes alternata",2,105,-155.36213,19.80338,1489.7,2392658.75457,40537308.27897,182,5089,-70.333328,56.350281,2635.5,4907,-6.9915235,1401565.37500759,6.9915235,19.80338,18175835.7829,-1.48305307585,24710302773200,-15145504.95,-9.29945229849,119386445781000,144096748554200,-5.39125268717,5.39125268717
"3","Antipathella fiordensis",3,71,167.014725,-45.299999,17.5,8967.89067216,5945.33318752,2.5,514,-46.053333,-35.208,258.25,511.5,-40.6306665,119987.45009883,40.6306665,45.299999,19170699.8094,-41.2634655924,660378115921,0,0,0,660378115921,-41.2634655924,41.2634655924
"4","Antipathes curvata",4,27,123.542,8.767,33,129617.4741132,490946.995406,12,604,-18.68833,26.5,308,592,3.905835,499941.5408383,3.905835,8.767,17028007.206,6.76349832148,24087467398700,-19163388.8063,5.61986271068,6246973329180,30334440727880,6.19168051608,6.19168051608
"5","Antipathes dendrochristos",5,948,-119.47353,33.92162,229.5,19314.1134086,7414.16573183,80,1180.33,22.75,37.790421,630.165,1100.33,30.2702105,166399.84813771,30.2702105,33.92162,0,0,0,-14964995.3361,31.4096852541,1621108426490,1621108426490,31.4096852541,31.4096852541
"6","Antipathes densa",6,12,163.4265,-27.993334,318.5,102120.4035586,325634.68562,34,479,-37.4698,34.555,256.5,445,-1.4574,796847.095048,1.4574,27.993334,17421269.8526,5.12149461922,28783453193100,0,0,0,28783453193100,5.12149461922,5.12149461922
"7","Antipathes flabellum",7,30,127.848328,14.878315,56.5,119793.7599014,431831.1281,3.5,530,-34.624,26.5067,266.75,526.5,-4.05865,676320.110757,4.05865,14.878315,15787757.6404,0.228376839035,12171100394900,0,0,0,12171100394900,0.228376839035,0.228376839035
"8","Antipathes galapagensis",8,35,-109.214167,10.300167,40,5015.42688666,2418.16683967,7.62,293,-5.991389,29.7875,150.31,285.38,11.8980555,395840.09624039,11.8980555,10.300167,0,0,0,-11207402.8137,11.2397873535,3806374277920,3806374277920,11.2397873535,11.2397873535
"9","Antipathes gracilis",9,13,174.666702,-35.799999,305,19841.26338902,2766.33509906,79,1174,-39.333332,-28.965,626.5,1095,-34.149166,114710.14476532,34.149166,35.799999,19478930.8861,-32.4211106667,870951169743,-19869725.3075,-30.3875159677,179287046.705,871130456789.705,-31.4043133172,31.4043133172
"10","Antipathes grandis",10,107,-156.753,20.9356,88.5,33222.1464372,61489.2777074,5,455,-18.68,21.87615,230,450,1.598075,448693.3710865,1.598075,20.9356,17890926.938,-0.0375786460684,9415206118540,-18919779.0266,2.9289659434,5961813939250,15377020057790,1.4456936486658,1.4456936486658
"11","Antipathes pauroclema",11,12,127.877,26.5,44.5,40204.1639628,28856.9729264,6,270,-34.66,35.198069,138,264,0.2690345,772875.44496219,0.2690345,26.5,16405209.3029,7.8017871561,7808524546190,0,0,0,7808524546190,7.8017871561,7.8017871561
"12","Antipathes sarothrum",12,26,127.848328,26.5,61,111851.867579,367121.890412,10,693,-36.8337,26.5067,351.5,683,-5.1635,700767.148804,5.1635,26.5,17482010.1848,-9.89156692578,12658879010900,-19923627.3257,-23.6213025178,92856.9672501,12658879103757,-16.75643472179,16.75643472179
"13","Antipathes sibogae",13,14,124.099999,11.4125,31,12429.40236678,36043.9536088,3,130,-17.477889,26.5067,66.5,127,4.5144055,486623.94024739,4.5144055,11.4125,15755186.1656,7.6632815169,11208909000600,-18833190.7233,-6.58815428789,18134097916.7,11227043098516.7,0.537563614505,0.537563614505
"14","Antipathes simplex",14,45,127.848,26.5,61,11135.78251124,5381.33602722,6,567,1.635075,26.5067,286.5,561,14.0708875,275167.47190375,14.0708875,26.5,13777868.5334,10.9276691305,1033115809740,0,0,0,1033115809740,10.9276691305,10.9276691305
