"","X1","x","x_adjust","variable","value"
"1",104,-76.5,7.5,"rich_2d",1
"2",103,-77.5,8.5,"rich_2d",1
"3",102,-78.5,9.5,"rich_2d",1
"4",101,-79.5,10.5,"rich_2d",1
"5",100,-80.5,11.5,"rich_2d",1
"6",99,-81.5,12.5,"rich_2d",1
"7",98,-82.5,13.5,"rich_2d",1
"8",97,-83.5,14.5,"rich_2d",1
"9",96,-84.5,15.5,"rich_2d",1
"10",95,-85.5,16.5,"rich_2d",1
"11",94,-86.5,17.5,"rich_2d",1
"12",93,-87.5,18.5,"rich_2d",1
"13",92,-88.5,19.5,"rich_2d",2
"14",91,-89.5,20.5,"rich_2d",3
"15",90,-90.5,21.5,"rich_2d",3
"16",89,-91.5,22.5,"rich_2d",3
"17",88,-92.5,23.5,"rich_2d",3
"18",87,-93.5,24.5,"rich_2d",3
"19",86,-94.5,25.5,"rich_2d",3
"20",85,-95.5,26.5,"rich_2d",3
"21",84,-96.5,27.5,"rich_2d",3
"22",83,-97.5,28.5,"rich_2d",3
"23",82,-98.5,29.5,"rich_2d",3
"24",81,-99.5,30.5,"rich_2d",3
"25",80,-100.5,31.5,"rich_2d",3
"26",79,-101.5,32.5,"rich_2d",3
"27",78,-102.5,33.5,"rich_2d",4
"28",77,-103.5,34.5,"rich_2d",4
"29",76,-104.5,35.5,"rich_2d",4
"30",75,-105.5,36.5,"rich_2d",4
"31",74,-106.5,37.5,"rich_2d",4
"32",73,-107.5,38.5,"rich_2d",4
"33",72,-108.5,39.5,"rich_2d",4
"34",71,-109.5,40.5,"rich_2d",4
"35",70,-110.5,41.5,"rich_2d",4
"36",69,-111.5,42.5,"rich_2d",4
"37",68,-112.5,43.5,"rich_2d",4
"38",67,-113.5,44.5,"rich_2d",4
"39",66,-114.5,45.5,"rich_2d",4
"40",65,-115.5,46.5,"rich_2d",4
"41",64,-116.5,47.5,"rich_2d",4
"42",63,-117.5,48.5,"rich_2d",4
"43",62,-118.5,49.5,"rich_2d",4
"44",61,-119.5,50.5,"rich_2d",4
"45",60,-120.5,51.5,"rich_2d",4
"46",59,-121.5,52.5,"rich_2d",4
"47",58,-122.5,53.5,"rich_2d",4
"48",57,-123.5,54.5,"rich_2d",4
"49",56,-124.5,55.5,"rich_2d",4
"50",55,-125.5,56.5,"rich_2d",4
"51",54,-126.5,57.5,"rich_2d",4
"52",53,-127.5,58.5,"rich_2d",4
"53",52,-128.5,59.5,"rich_2d",4
"54",51,-129.5,60.5,"rich_2d",4
"55",50,-130.5,61.5,"rich_2d",4
"56",49,-131.5,62.5,"rich_2d",4
"57",48,-132.5,63.5,"rich_2d",4
"58",47,-133.5,64.5,"rich_2d",4
"59",46,-134.5,65.5,"rich_2d",4
"60",45,-135.5,66.5,"rich_2d",4
"61",44,-136.5,67.5,"rich_2d",4
"62",43,-137.5,68.5,"rich_2d",4
"63",42,-138.5,69.5,"rich_2d",4
"64",41,-139.5,70.5,"rich_2d",4
"65",40,-140.5,71.5,"rich_2d",4
"66",39,-141.5,72.5,"rich_2d",4
"67",38,-142.5,73.5,"rich_2d",4
"68",37,-143.5,74.5,"rich_2d",4
"69",36,-144.5,75.5,"rich_2d",4
"70",35,-145.5,76.5,"rich_2d",4
"71",34,-146.5,77.5,"rich_2d",4
"72",33,-147.5,78.5,"rich_2d",4
"73",32,-148.5,79.5,"rich_2d",4
"74",31,-149.5,80.5,"rich_2d",4
"75",30,-150.5,81.5,"rich_2d",4
"76",29,-151.5,82.5,"rich_2d",4
"77",28,-152.5,83.5,"rich_2d",4
"78",27,-153.5,84.5,"rich_2d",4
"79",26,-154.5,85.5,"rich_2d",4
"80",25,-155.5,86.5,"rich_2d",5
"81",24,-156.5,87.5,"rich_2d",8
"82",23,-157.5,88.5,"rich_2d",6
"83",22,-158.5,89.5,"rich_2d",5
"84",21,-159.5,90.5,"rich_2d",5
"85",20,-160.5,91.5,"rich_2d",5
"86",19,-161.5,92.5,"rich_2d",6
"87",18,-162.5,93.5,"rich_2d",5
"88",17,-163.5,94.5,"rich_2d",4
"89",16,-164.5,95.5,"rich_2d",5
"90",15,-165.5,96.5,"rich_2d",4
"91",14,-166.5,97.5,"rich_2d",5
"92",13,-167.5,98.5,"rich_2d",4
"93",12,-168.5,99.5,"rich_2d",6
"94",11,-169.5,100.5,"rich_2d",5
"95",10,-170.5,101.5,"rich_2d",4
"96",9,-171.5,102.5,"rich_2d",6
"97",8,-172.5,103.5,"rich_2d",9
"98",7,-173.5,104.5,"rich_2d",5
"99",6,-174.5,105.5,"rich_2d",6
"100",5,-175.5,106.5,"rich_2d",6
"101",4,-176.5,107.5,"rich_2d",6
"102",3,-177.5,108.5,"rich_2d",7
"103",2,-178.5,109.5,"rich_2d",6
"104",1,-179.5,110.5,"rich_2d",5
"105",164,178.5,114.5,"rich_2d",5
"106",163,177.5,115.5,"rich_2d",7
"107",162,176.5,116.5,"rich_2d",8
"108",161,175.5,117.5,"rich_2d",10
"109",160,174.5,118.5,"rich_2d",6
"110",159,173.5,119.5,"rich_2d",10
"111",158,172.5,120.5,"rich_2d",11
"112",157,171.5,121.5,"rich_2d",7
"113",156,170.5,122.5,"rich_2d",8
"114",155,169.5,123.5,"rich_2d",10
"115",154,168.5,124.5,"rich_2d",9
"116",153,167.5,125.5,"rich_2d",10
"117",152,166.5,126.5,"rich_2d",10
"118",151,165.5,127.5,"rich_2d",8
"119",150,164.5,128.5,"rich_2d",8
"120",149,163.5,129.5,"rich_2d",8
"121",148,162.5,130.5,"rich_2d",8
"122",147,161.5,131.5,"rich_2d",7
"123",146,160.5,132.5,"rich_2d",10
"124",145,159.5,133.5,"rich_2d",10
"125",144,158.5,134.5,"rich_2d",11
"126",143,157.5,135.5,"rich_2d",11
"127",142,156.5,136.5,"rich_2d",14
"128",141,155.5,137.5,"rich_2d",6
"129",140,154.5,138.5,"rich_2d",8
"130",139,153.5,139.5,"rich_2d",10
"131",138,152.5,140.5,"rich_2d",10
"132",137,151.5,141.5,"rich_2d",11
"133",136,150.5,142.5,"rich_2d",8
"134",135,149.5,143.5,"rich_2d",10
"135",134,148.5,144.5,"rich_2d",13
"136",133,147.5,145.5,"rich_2d",13
"137",132,146.5,146.5,"rich_2d",6
"138",131,145.5,147.5,"rich_2d",11
"139",130,144.5,148.5,"rich_2d",8
"140",129,143.5,149.5,"rich_2d",6
"141",128,142.5,150.5,"rich_2d",5
"142",127,141.5,151.5,"rich_2d",6
"143",126,140.5,152.5,"rich_2d",6
"144",125,139.5,153.5,"rich_2d",5
"145",124,138.5,154.5,"rich_2d",8
"146",123,137.5,155.5,"rich_2d",11
"147",122,136.5,156.5,"rich_2d",11
"148",121,135.5,157.5,"rich_2d",9
"149",120,134.5,158.5,"rich_2d",7
"150",119,133.5,159.5,"rich_2d",7
"151",118,132.5,160.5,"rich_2d",7
"152",117,131.5,161.5,"rich_2d",8
"153",116,130.5,162.5,"rich_2d",7
"154",115,129.5,163.5,"rich_2d",6
"155",114,128.5,164.5,"rich_2d",6
"156",113,127.5,165.5,"rich_2d",8
"157",112,126.5,166.5,"rich_2d",5
"158",111,125.5,167.5,"rich_2d",5
"159",110,124.5,168.5,"rich_2d",5
"160",109,123.5,169.5,"rich_2d",9
"161",108,122.5,170.5,"rich_2d",9
"162",107,121.5,171.5,"rich_2d",6
"163",106,120.5,172.5,"rich_2d",4
"164",105,119.5,173.5,"rich_2d",1
"165",104,-76.5,7.5,"max_rich",1
"166",103,-77.5,8.5,"max_rich",1
"167",102,-78.5,9.5,"max_rich",1
"168",101,-79.5,10.5,"max_rich",1
"169",100,-80.5,11.5,"max_rich",1
"170",99,-81.5,12.5,"max_rich",1
"171",98,-82.5,13.5,"max_rich",1
"172",97,-83.5,14.5,"max_rich",1
"173",96,-84.5,15.5,"max_rich",1
"174",95,-85.5,16.5,"max_rich",2
"175",94,-86.5,17.5,"max_rich",2
"176",93,-87.5,18.5,"max_rich",3
"177",92,-88.5,19.5,"max_rich",3
"178",91,-89.5,20.5,"max_rich",3
"179",90,-90.5,21.5,"max_rich",3
"180",89,-91.5,22.5,"max_rich",3
"181",88,-92.5,23.5,"max_rich",3
"182",87,-93.5,24.5,"max_rich",3
"183",86,-94.5,25.5,"max_rich",3
"184",85,-95.5,26.5,"max_rich",3
"185",84,-96.5,27.5,"max_rich",3
"186",83,-97.5,28.5,"max_rich",3
"187",82,-98.5,29.5,"max_rich",3
"188",81,-99.5,30.5,"max_rich",3
"189",80,-100.5,31.5,"max_rich",3
"190",79,-101.5,32.5,"max_rich",3
"191",78,-102.5,33.5,"max_rich",4
"192",77,-103.5,34.5,"max_rich",4
"193",76,-104.5,35.5,"max_rich",4
"194",75,-105.5,36.5,"max_rich",4
"195",74,-106.5,37.5,"max_rich",4
"196",73,-107.5,38.5,"max_rich",4
"197",72,-108.5,39.5,"max_rich",4
"198",71,-109.5,40.5,"max_rich",4
"199",70,-110.5,41.5,"max_rich",4
"200",69,-111.5,42.5,"max_rich",4
"201",68,-112.5,43.5,"max_rich",4
"202",67,-113.5,44.5,"max_rich",4
"203",66,-114.5,45.5,"max_rich",4
"204",65,-115.5,46.5,"max_rich",4
"205",64,-116.5,47.5,"max_rich",4
"206",63,-117.5,48.5,"max_rich",4
"207",62,-118.5,49.5,"max_rich",4
"208",61,-119.5,50.5,"max_rich",4
"209",60,-120.5,51.5,"max_rich",4
"210",59,-121.5,52.5,"max_rich",4
"211",58,-122.5,53.5,"max_rich",4
"212",57,-123.5,54.5,"max_rich",4
"213",56,-124.5,55.5,"max_rich",5
"214",55,-125.5,56.5,"max_rich",5
"215",54,-126.5,57.5,"max_rich",5
"216",53,-127.5,58.5,"max_rich",5
"217",52,-128.5,59.5,"max_rich",6
"218",51,-129.5,60.5,"max_rich",6
"219",50,-130.5,61.5,"max_rich",6
"220",49,-131.5,62.5,"max_rich",6
"221",48,-132.5,63.5,"max_rich",6
"222",47,-133.5,64.5,"max_rich",6
"223",46,-134.5,65.5,"max_rich",6
"224",45,-135.5,66.5,"max_rich",6
"225",44,-136.5,67.5,"max_rich",6
"226",43,-137.5,68.5,"max_rich",6
"227",42,-138.5,69.5,"max_rich",6
"228",41,-139.5,70.5,"max_rich",6
"229",40,-140.5,71.5,"max_rich",6
"230",39,-141.5,72.5,"max_rich",6
"231",38,-142.5,73.5,"max_rich",6
"232",37,-143.5,74.5,"max_rich",6
"233",36,-144.5,75.5,"max_rich",6
"234",35,-145.5,76.5,"max_rich",7
"235",34,-146.5,77.5,"max_rich",7
"236",33,-147.5,78.5,"max_rich",7
"237",32,-148.5,79.5,"max_rich",7
"238",31,-149.5,80.5,"max_rich",7
"239",30,-150.5,81.5,"max_rich",7
"240",29,-151.5,82.5,"max_rich",7
"241",28,-152.5,83.5,"max_rich",7
"242",27,-153.5,84.5,"max_rich",7
"243",26,-154.5,85.5,"max_rich",7
"244",25,-155.5,86.5,"max_rich",12
"245",24,-156.5,87.5,"max_rich",13
"246",23,-157.5,88.5,"max_rich",13
"247",22,-158.5,89.5,"max_rich",13
"248",21,-159.5,90.5,"max_rich",13
"249",20,-160.5,91.5,"max_rich",13
"250",19,-161.5,92.5,"max_rich",13
"251",18,-162.5,93.5,"max_rich",13
"252",17,-163.5,94.5,"max_rich",13
"253",16,-164.5,95.5,"max_rich",13
"254",15,-165.5,96.5,"max_rich",13
"255",14,-166.5,97.5,"max_rich",13
"256",13,-167.5,98.5,"max_rich",13
"257",12,-168.5,99.5,"max_rich",13
"258",11,-169.5,100.5,"max_rich",13
"259",10,-170.5,101.5,"max_rich",13
"260",9,-171.5,102.5,"max_rich",13
"261",8,-172.5,103.5,"max_rich",13
"262",7,-173.5,104.5,"max_rich",13
"263",6,-174.5,105.5,"max_rich",13
"264",5,-175.5,106.5,"max_rich",13
"265",4,-176.5,107.5,"max_rich",13
"266",3,-177.5,108.5,"max_rich",13
"267",2,-178.5,109.5,"max_rich",13
"268",1,-179.5,110.5,"max_rich",13
"269",164,178.5,114.5,"max_rich",12
"270",163,177.5,115.5,"max_rich",14
"271",162,176.5,116.5,"max_rich",14
"272",161,175.5,117.5,"max_rich",15
"273",160,174.5,118.5,"max_rich",15
"274",159,173.5,119.5,"max_rich",16
"275",158,172.5,120.5,"max_rich",16
"276",157,171.5,121.5,"max_rich",16
"277",156,170.5,122.5,"max_rich",16
"278",155,169.5,123.5,"max_rich",17
"279",154,168.5,124.5,"max_rich",16
"280",153,167.5,125.5,"max_rich",17
"281",152,166.5,126.5,"max_rich",16
"282",151,165.5,127.5,"max_rich",16
"283",150,164.5,128.5,"max_rich",16
"284",149,163.5,129.5,"max_rich",17
"285",148,162.5,130.5,"max_rich",18
"286",147,161.5,131.5,"max_rich",18
"287",146,160.5,132.5,"max_rich",18
"288",145,159.5,133.5,"max_rich",19
"289",144,158.5,134.5,"max_rich",19
"290",143,157.5,135.5,"max_rich",19
"291",142,156.5,136.5,"max_rich",19
"292",141,155.5,137.5,"max_rich",19
"293",140,154.5,138.5,"max_rich",19
"294",139,153.5,139.5,"max_rich",20
"295",138,152.5,140.5,"max_rich",20
"296",137,151.5,141.5,"max_rich",21
"297",136,150.5,142.5,"max_rich",21
"298",135,149.5,143.5,"max_rich",21
"299",134,148.5,144.5,"max_rich",21
"300",133,147.5,145.5,"max_rich",21
"301",132,146.5,146.5,"max_rich",21
"302",131,145.5,147.5,"max_rich",20
"303",130,144.5,148.5,"max_rich",20
"304",129,143.5,149.5,"max_rich",19
"305",128,142.5,150.5,"max_rich",20
"306",127,141.5,151.5,"max_rich",20
"307",126,140.5,152.5,"max_rich",19
"308",125,139.5,153.5,"max_rich",18
"309",124,138.5,154.5,"max_rich",18
"310",123,137.5,155.5,"max_rich",17
"311",122,136.5,156.5,"max_rich",16
"312",121,135.5,157.5,"max_rich",17
"313",120,134.5,158.5,"max_rich",16
"314",119,133.5,159.5,"max_rich",15
"315",118,132.5,160.5,"max_rich",15
