"","X1","y","variable","value"
"1",1,-74.5,"rich_2d",1
"2",2,-73.5,"rich_2d",1
"3",3,-72.5,"rich_2d",1
"4",4,-71.5,"rich_2d",1
"5",5,-70.5,"rich_2d",1
"6",6,-69.5,"rich_2d",1
"7",7,-68.5,"rich_2d",1
"8",8,-67.5,"rich_2d",2
"9",9,-66.5,"rich_2d",2
"10",10,-65.5,"rich_2d",2
"11",11,-64.5,"rich_2d",3
"12",12,-63.5,"rich_2d",3
"13",13,-62.5,"rich_2d",3
"14",14,-61.5,"rich_2d",3
"15",15,-60.5,"rich_2d",3
"16",16,-59.5,"rich_2d",4
"17",17,-58.5,"rich_2d",4
"18",18,-57.5,"rich_2d",4
"19",19,-56.5,"rich_2d",4
"20",20,-55.5,"rich_2d",4
"21",21,-54.5,"rich_2d",4
"22",22,-53.5,"rich_2d",4
"23",23,-52.5,"rich_2d",4
"24",24,-51.5,"rich_2d",4
"25",25,-50.5,"rich_2d",4
"26",26,-49.5,"rich_2d",4
"27",27,-48.5,"rich_2d",4
"28",28,-47.5,"rich_2d",4
"29",29,-46.5,"rich_2d",4
"30",30,-45.5,"rich_2d",4
"31",31,-44.5,"rich_2d",4
"32",32,-43.5,"rich_2d",6
"33",33,-42.5,"rich_2d",6
"34",34,-41.5,"rich_2d",6
"35",35,-40.5,"rich_2d",7
"36",36,-39.5,"rich_2d",7
"37",37,-38.5,"rich_2d",7
"38",38,-37.5,"rich_2d",8
"39",39,-36.5,"rich_2d",8
"40",40,-35.5,"rich_2d",11
"41",41,-34.5,"rich_2d",10
"42",42,-33.5,"rich_2d",6
"43",43,-32.5,"rich_2d",10
"44",44,-31.5,"rich_2d",7
"45",45,-30.5,"rich_2d",6
"46",46,-29.5,"rich_2d",7
"47",47,-28.5,"rich_2d",7
"48",48,-27.5,"rich_2d",10
"49",49,-26.5,"rich_2d",9
"50",50,-25.5,"rich_2d",9
"51",51,-24.5,"rich_2d",10
"52",52,-23.5,"rich_2d",10
"53",53,-22.5,"rich_2d",8
"54",54,-21.5,"rich_2d",9
"55",55,-20.5,"rich_2d",9
"56",56,-19.5,"rich_2d",10
"57",57,-18.5,"rich_2d",9
"58",58,-17.5,"rich_2d",8
"59",59,-16.5,"rich_2d",7
"60",60,-15.5,"rich_2d",6
"61",61,-14.5,"rich_2d",7
"62",62,-13.5,"rich_2d",8
"63",63,-12.5,"rich_2d",7
"64",64,-11.5,"rich_2d",7
"65",65,-10.5,"rich_2d",11
"66",66,-9.5,"rich_2d",10
"67",67,-8.5,"rich_2d",10
"68",68,-7.5,"rich_2d",11
"69",69,-6.5,"rich_2d",14
"70",70,-5.5,"rich_2d",9
"71",71,-4.5,"rich_2d",11
"72",72,-3.5,"rich_2d",7
"73",73,-2.5,"rich_2d",9
"74",74,-1.5,"rich_2d",9
"75",75,-0.5,"rich_2d",6
"76",76,0.5,"rich_2d",8
"77",77,1.5,"rich_2d",7
"78",78,2.5,"rich_2d",5
"79",79,3.5,"rich_2d",5
"80",80,4.5,"rich_2d",7
"81",81,5.5,"rich_2d",10
"82",82,6.5,"rich_2d",6
"83",83,7.5,"rich_2d",7
"84",84,8.5,"rich_2d",13
"85",85,9.5,"rich_2d",7
"86",86,10.5,"rich_2d",6
