lat,type,rich
-74.5,rich_2d,1
-74.5,max_rich,1
-74.5,richness_lat,1
-73.5,rich_2d,1
-73.5,max_rich,1
-73.5,richness_lat,2
-72.5,rich_2d,1
-72.5,max_rich,1
-72.5,richness_lat,2
-71.5,rich_2d,1
-71.5,max_rich,1
-71.5,richness_lat,2
-70.5,rich_2d,1
-70.5,max_rich,1
-70.5,richness_lat,2
-69.5,rich_2d,1
-69.5,max_rich,1
-69.5,richness_lat,3
-68.5,rich_2d,1
-68.5,max_rich,1
-68.5,richness_lat,3
-67.5,rich_2d,2
-67.5,max_rich,2
-67.5,richness_lat,5
-66.5,rich_2d,2
-66.5,max_rich,3
-66.5,richness_lat,6
-65.5,rich_2d,2
-65.5,max_rich,3
-65.5,richness_lat,6
-64.5,rich_2d,3
-64.5,max_rich,3
-64.5,richness_lat,6
-63.5,rich_2d,3
-63.5,max_rich,3
-63.5,richness_lat,6
-62.5,rich_2d,3
-62.5,max_rich,3
-62.5,richness_lat,6
-61.5,rich_2d,3
-61.5,max_rich,3
-61.5,richness_lat,6
-60.5,rich_2d,3
-60.5,max_rich,4
-60.5,richness_lat,7
-59.5,rich_2d,4
-59.5,max_rich,4
-59.5,richness_lat,7
-58.5,rich_2d,4
-58.5,max_rich,4
-58.5,richness_lat,7
-57.5,rich_2d,4
-57.5,max_rich,4
-57.5,richness_lat,7
-56.5,rich_2d,4
-56.5,max_rich,4
-56.5,richness_lat,7
-55.5,rich_2d,4
-55.5,max_rich,4
-55.5,richness_lat,7
-54.5,rich_2d,4
-54.5,max_rich,4
-54.5,richness_lat,7
-53.5,rich_2d,4
-53.5,max_rich,4
-53.5,richness_lat,7
-52.5,rich_2d,4
-52.5,max_rich,4
-52.5,richness_lat,9
-51.5,rich_2d,4
-51.5,max_rich,4
-51.5,richness_lat,9
-50.5,rich_2d,4
-50.5,max_rich,4
-50.5,richness_lat,10
-49.5,rich_2d,4
-49.5,max_rich,5
-49.5,richness_lat,10
-48.5,rich_2d,4
-48.5,max_rich,5
-48.5,richness_lat,11
-47.5,rich_2d,4
-47.5,max_rich,6
-47.5,richness_lat,11
-46.5,rich_2d,4
-46.5,max_rich,6
-46.5,richness_lat,11
-45.5,rich_2d,4
-45.5,max_rich,6
-45.5,richness_lat,12
-44.5,rich_2d,4
-44.5,max_rich,7
-44.5,richness_lat,12
-43.5,rich_2d,6
-43.5,max_rich,8
-43.5,richness_lat,14
-42.5,rich_2d,6
-42.5,max_rich,8
-42.5,richness_lat,14
-41.5,rich_2d,6
-41.5,max_rich,8
-41.5,richness_lat,14
-40.5,rich_2d,7
-40.5,max_rich,8
-40.5,richness_lat,14
-39.5,rich_2d,7
-39.5,max_rich,9
-39.5,richness_lat,14
-38.5,rich_2d,7
-38.5,max_rich,11
-38.5,richness_lat,15
-37.5,rich_2d,8
-37.5,max_rich,12
-37.5,richness_lat,16
-36.5,rich_2d,8
-36.5,max_rich,14
-36.5,richness_lat,21
-35.5,rich_2d,11
-35.5,max_rich,15
-35.5,richness_lat,21
-34.5,rich_2d,10
-34.5,max_rich,14
-34.5,richness_lat,21
-33.5,rich_2d,6
-33.5,max_rich,14
-33.5,richness_lat,19
-32.5,rich_2d,10
-32.5,max_rich,16
-32.5,richness_lat,21
-31.5,rich_2d,7
-31.5,max_rich,16
-31.5,richness_lat,22
-30.5,rich_2d,6
-30.5,max_rich,15
-30.5,richness_lat,23
-29.5,rich_2d,7
-29.5,max_rich,15
-29.5,richness_lat,23
-28.5,rich_2d,7
-28.5,max_rich,16
-28.5,richness_lat,23
-27.5,rich_2d,10
-27.5,max_rich,16
